EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,AMC,20150506,69.509137,69.688336,67.01031,67.418488
20150204,AMC,20150205,71.40681,71.952055,71.674478,70.316329
20141029,AMC,20141030,62.424535,62.17772,63.095873,64.023897
20140730,AMC,20140731,56.068321,55.911075,57.444233,57.139566
20140506,AMC,20140507,55.868244,55.330297,56.552904,56.709398
20140205,AMC,20140206,48.552692,48.21214,50.946271,51.335468
20131030,AMC,20131031,51.681327,51.29391,51.390766,51.603842
20130731,AMC,20130801,49.050621,49.118064,50.312777,50.245334
20130501,AMC,20130502,47.217841,46.393497,46.249714,46.671472
20130206,AMC,20130207,42.238965,42.238965,42.953911,43.030169
20121031,AMC,20121101,38.065088,37.903914,37.022207,36.557654
20120731,AMC,20120801,32.76164,32.328086,34.307359,34.429883
20120502,AMC,20120503,31.268258,30.81876,32.054881,32.026789
20120201,AMC,20120202,26.827641,27.255394,28.166699,28.538659
20111031,AMC,20111101,25.04138,24.285345,24.054846,23.971866
20110801,BMO,20110801,25.310761,25.338182,25.90491,25.265056
20110427,AMC,20110428,28.817803,28.99939,30.651827,30.724463
20110209,AMC,20110210,29.368306,29.187911,28.14162,28.312994
20101027,AMC,20101028,29.269753,29.099529,27.262891,27.316645
20100804,AMC,20100805,25.39192,25.445284,26.156791,25.774356
20100429,BMO,20100429,29.392811,29.834543,29.392811,28.862732
20100428,AMC,20100429,29.392811,29.834543,29.392811,28.862732
20100210,AMC,20100211,25.222606,25.108477,25.819591,25.924942
20091104,AMC,20091105,25.929177,25.824555,25.327592,25.222969
20090805,AMC,20090806,24.391613,24.443565,23.612329,24.062583
20090507,AMC,20090508,22.170129,23.716883,22.445109,21.216299
20090128,AMC,20090129,23.090469,25.143332,19.934828,18.382457
20081022,AMC,20081023,26.648584,23.545837,22.17796,21.293845
20080723,AMC,20080724,37.69601,38.15884,37.472859,37.671217
20080423,AMC,20080424,40.209205,39.864908,40.930594,40.996174
20080129,AMC,20080130,42.811813,42.470425,39.414182,40.007548
20071017,AMC,20071018,46.404171,46.452577,44.814876,43.959724
20070718,AMC,20070719,48.40518,48.517343,47.355682,45.961689
20070418,AMC,20070419,48.807237,48.783352,48.671884,49.75472
20070130,AMC,20070131,50.260424,50.632256,47.59432,48.258869
20061018,AMC,20061019,49.956391,49.80689,48.500738,48.178134
20060719,AMC,20060720,43.348666,43.911738,44.70942,44.30276
20060418,AMC,20060419,39.182545,40.371545,42.601888,43.075933
20060131,AMC,20060201,40.296388,40.188293,40.226898,40.226898
20051019,AMC,20051020,40.985749,41.768916,40.709336,40.847543
20050720,AMC,20050721,47.59484,47.342852,46.731977,46.632709
20050420,AMC,20050421,40.391614,40.664992,40.847246,41.439564
20050202,AMC,20050203,38.44845,38.576786,38.44845,39.520445
20041020,AMC,20041021,34.896148,34.79104,35.354123,35.158922
20040719,NaN,20040720,34.48427,35.544175,34.81269,34.409627
20040420,AMC,20040421,34.888682,34.295338,34.117333,34.629092
20040204,AMC,20040205,33.49658,33.017428,33.437609,34.285342
20031015,AMC,20031016,28.365584,28.710074,29.245138,29.35508
20030716,AMC,20030717,27.441957,27.310865,28.57809,28.614504
20030415,AMC,20030416,26.040367,26.004188,26.481727,27.111212
20030205,AMC,20030206,24.777297,24.705456,23.002871,22.571836
20021016,AMC,20021017,26.552497,26.84546,28.488914,28.896204
20020718,BMO,20020718,24.316464,24.216982,24.870725,24.927574
20020417,BMO,20020417,27.3138,27.596477,29.016938,28.465713
20020206,BMO,20020206,22.82926,23.075113,22.618529,23.45443
20011018,BMO,20011018,23.734257,23.475821,22.798298,22.623678
20010719,BMO,20010719,28.715333,28.618087,25.006095,23.026447
20010419,BMO,20010419,28.343652,29.394954,30.605335,29.450287
20010207,BMO,20010207,27.671269,27.561135,28.098039,28.414675
20001019,BMO,20001019,21.540931,22.397429,23.939126,23.639352
20000720,BMO,20000720,16.518452,16.007572,17.029332,16.859038
20000420,BMO,20000420,14.213942,13.790908,15.229223,15.609954
20000209,BMO,20000209,15.77693,14.769892,13.385214,13.762853
19991020,BMO,19991020,15.692033,15.775501,16.109374,16.151108
19990721,BMO,19990721,24.769357,24.353764,23.231662,23.106984
19990421,BMO,19990421,25.332229,26.077295,25.166659,24.876911
