EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,15.84,15.96,15.99,15.81
20150121,AMC,20150122,14.726718,14.558016,15.252672,15.034351
20141022,AMC,20141023,14.390341,14.173352,14.271984,14.331162
20140723,AMC,20140724,15.045539,14.937791,15.270831,15.241445
20140423,AMC,20140424,14.474819,14.319072,14.095184,13.793423
20140122,AMC,20140123,16.376426,16.395772,15.776697,15.293047
20131023,AMC,20131024,13.818987,13.713205,13.953619,14.001702
20130717,AMC,20130718,11.997999,12.102994,12.780685,12.866589
20130417,AMC,20130418,10.201958,10.050538,10.012683,9.936973
20130116,AMC,20130117,10.359824,10.350432,10.453748,10.312862
20121017,AMC,20121018,10.776098,10.804041,10.543253,10.422173
20120718,AMC,20120719,10.875088,10.86584,10.708632,10.764118
20120418,AMC,20120419,10.639681,10.428539,10.428539,10.602961
20120118,AMC,20120119,9.915582,10.216331,9.715083,9.997605
20111019,AMC,20111020,8.116462,8.116462,8.369538,8.731072
20110720,AMC,20110721,8.366411,8.509427,8.786519,8.875904
20110420,AMC,20110421,8.099614,8.232395,8.232395,8.356323
20110119,AMC,20110120,7.805607,7.612876,7.50775,7.437666
20101021,NaN,20101022,6.646599,6.84617,6.707338,6.663953
20100721,AMC,20100722,8.528242,8.322328,9.008706,9.18888
20100422,AMC,20100423,9.425768,9.749035,9.723514,9.740527
20100421,AMC,20100422,9.187572,9.425768,9.749035,9.723514
20100121,AMC,20100122,8.082331,8.596967,8.394487,8.065458
20091021,AMC,20091022,6.810218,6.567891,7.361721,7.261447
20090715,AMC,20090716,4.685808,4.900677,5.512229,5.123811
20090416,AMC,20090417,5.765439,5.814368,5.504486,5.015198
20090122,BMO,20090122,6.456171,6.770124,6.697673,7.059927
20081016,AMC,20081017,8.93702,9.607895,9.184605,9.847494
20080717,NaN,20080718,6.92986,8.319007,8.414263,8.120557
20080417,NaN,20080418,7.712567,8.098196,8.617613,8.436604
20080117,AMC,20080118,7.121542,7.07469,7.07469,7.347994
20071017,AMC,20071018,8.580924,8.426034,8.650625,8.573179
20070719,NaN,20070720,7.857395,7.7882,7.711317,7.695941
20070419,NaN,20070420,9.437672,9.277453,9.361378,9.193529
20070119,NaN,20070122,9.423113,9.362515,9.241317,9.248892
20061019,NaN,20061020,10.241589,10.303163,9.899522,9.920045
20060720,NaN,20060721,10.319987,9.932479,9.823701,9.986869
20060420,NaN,20060421,11.578749,11.423285,11.490879,11.044763
20060119,NaN,20060120,11.031934,11.048071,11.096485,11.171782
20051020,NaN,20051021,9.928545,9.82156,9.944595,10.254863
20050721,NaN,20050722,11.438581,11.029111,11.459853,11.172689
20050421,NaN,20050422,9.20549,9.268937,9.099736,9.348249
20050120,NaN,20050121,10.233495,9.944414,10.091585,9.907621
20041020,AMC,20041021,9.442701,9.526448,9.673011,9.472016
20040721,AMC,20040722,8.901199,8.6514,8.643077,8.568135
20040423,AMC,20040426,8.760273,8.615378,8.573971,8.830654
20040122,NaN,20040123,8.23589,7.861348,8.23589,8.429341
20031016,AMC,20031017,7.438777,7.528041,7.442497,7.438777
20030716,AMC,20030717,7.927701,7.972057,7.465718,7.491586
20030416,AMC,20030417,7.366017,7.340297,7.421125,7.347645
20030115,AMC,20030116,7.537197,7.528436,7.472927,7.309335
20021017,AMC,20021018,6.187392,6.303699,6.280432,6.233912
20020718,NaN,20020719,6.217444,5.882305,5.784072,5.651175
20020417,AMC,20020418,6.219314,6.161893,6.288231,6.130305
20020116,AMC,20020117,5.417655,5.31272,5.3401,5.155326
