EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150417,BMO,20150417,14.5,14.55,14.28,14.37
20150123,BMO,20150123,12.427636,13.025119,12.945454,13.254154
20141017,BMO,20141017,11.279632,11.309393,11.378838,11.517724
20140718,BMO,20140718,11.599577,11.332807,11.579817,11.520534
20140417,BMO,20140417,11.443566,11.453406,11.059818,11.443566
20140117,BMO,20140117,11.955311,11.641729,11.690726,11.925913
20131018,BMO,20131018,11.121661,11.160684,10.741184,10.614358
20130719,BMO,20130719,11.645036,11.790721,11.751872,11.936405
20130419,BMO,20130419,9.524389,9.398686,9.572735,9.611413
20130118,BMO,20130118,9.751287,9.886053,9.597268,9.712782
20121019,BMO,20121019,9.289017,9.30825,8.971691,9.048618
20120720,BMO,20120720,8.520444,8.213055,7.771183,7.598277
20120419,BMO,20120419,9.708624,9.555128,8.806835,8.710899
20120120,BMO,20120120,8.51083,8.405404,8.664179,8.865448
20111017,BMO,20111017,6.240566,6.278852,5.991709,6.384138
20110715,BMO,20110715,9.288512,9.059165,9.173839,8.934937
20110421,BMO,20110421,10.319595,10.243223,9.880463,10.090482
20110121,BMO,20110121,11.44575,11.436212,11.24545,10.863925
20101015,BMO,20101015,10.768544,10.387019,9.56674,9.623969
20100716,BMO,20100716,11.693742,11.55067,11.24545,10.911615
20100416,BMO,20100416,14.831785,14.612408,13.372452,13.391528
20100119,BMO,20100119,13.448757,13.000465,12.733398,12.876469
20091016,BMO,20091016,12.981388,12.866931,12.876469,12.895546
20090717,BMO,20090717,11.53889,11.905049,11.351113,11.585828
20090417,BMO,20090417,11.736053,12.092826,11.829946,10.402843
20090116,BMO,20090116,8.027458,7.004074,8.280963,7.529854
20081017,BMO,20081017,10.496726,10.628171,10.834729,10.656338
20080715,BMO,20080715,6.103772,4.591497,5.365852,6.832583
20080417,BMO,20080417,10.484321,11.21475,11.259282,11.633403
20080117,BMO,20080117,16.174859,16.650335,14.510707,14.132093
20071018,BMO,20071018,21.138502,21.586795,20.422967,20.89712
20070719,BMO,20070719,32.618906,32.041584,31.837822,30.683164
20070418,AMC,20070419,33.269009,34.569562,33.008897,33.193493
20070117,AMC,20070118,33.368496,33.136141,33.244018,33.219123
20061018,AMC,20061019,31.802844,31.843884,31.400692,31.605872
20060719,AMC,20060720,31.980097,32.775138,32.312718,32.393851
20060419,AMC,20060420,33.47725,33.413088,33.012069,32.306269
20060118,AMC,20060119,31.011585,30.892624,30.63089,29.504631
20051017,BMO,20051017,27.575166,28.892381,28.813975,28.320019
20050718,BMO,20050718,34.291676,34.113357,32.601513,32.058805
20050421,BMO,20050421,30.286513,30.09468,30.723893,30.923396
20050119,BMO,20050119,32.049673,32.452389,32.703133,32.566358
20041021,BMO,20041021,32.419987,31.712754,31.675132,31.607418
20040721,BMO,20040721,33.187915,33.620485,32.926889,32.777733
20040420,BMO,20040420,32.4909,32.513077,31.788593,31.788593
20040121,BMO,20040121,32.988573,32.929927,32.768645,32.805297
20031022,BMO,20031022,31.863648,31.711117,31.529536,31.812804
20030717,BMO,20030717,30.750701,30.736285,30.260423,30.318096
20030414,BMO,20030414,28.498975,28.663752,28.907333,29.544942
20030117,BMO,20030117,26.550265,26.64976,26.358388,25.974628
20021016,BMO,20021016,23.491408,24.49224,24.175076,24.893982
20020715,BMO,20020715,26.242041,25.73092,25.73092,25.261816
20020416,BMO,20020416,26.306715,26.070282,25.068914,25.360978
20020116,BMO,20020116,23.801533,24.029398,24.063925,24.132973
20011017,BMO,20011017,22.206245,22.43256,21.95936,21.808482
20010718,BMO,20010718,23.557275,23.728731,23.763015,23.145796
20010417,BMO,20010417,20.946981,20.674418,20.987869,21.471681
20010117,BMO,20010117,19.288518,20.261405,20.303701,19.626912
20001019,BMO,20001019,13.044063,12.96018,14.344275,13.715139
20000718,AMC,20000719,11.958592,12.124684,11.875546,12.124684
20000413,BMO,20000413,12.738434,13.395901,13.02608,12.122057
20000118,BMO,20000118,17.479637,17.885197,17.276861,17.114638
19991013,NaN,19991014,19.24241,18.598314,18.074983,17.873706
19990714,BMO,19990714,24.926762,24.66669,24.086532,24.48664
