EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,AMC,20150424,37.84,37.689999,40.91,40.060001
20150204,AMC,20150205,34.279999,33.919998,36.700001,37.57
20141023,AMC,20141024,38.400002,39.009998,34.369999,34.919998
20140717,AMC,20140718,50.77,51.450001,48.200001,47.57
20140417,AMC,20140421,42.41,42.860001,44.970001,45.419998
20140128,AMC,20140129,40.299999,40.200001,41.59,41.419998
20131017,AMC,20131018,35.490002,35.5,36.5,37.029999
20130718,AMC,20130719,36.16,37.32,38.509998,38.419998
20130418,AMC,20130419,38.009998,37.740002,35.860001,35.900002
20130129,AMC,20130130,37.189999,37.200001,36.990002,36.810001
20121022,AMC,20121023,31.25,30.530001,31.299999,31.02
20120719,AMC,20120720,31.459999,31.870001,28.6,28.030001
20120419,AMC,20120420,35.599998,35.43,35.630001,35.009998
20120126,AMC,20120127,34.209999,34.369999,34.130001,34.139999
20111024,AMC,20111025,33.98,34.5,31.190001,30.6
20110727,AMC,20110728,36.950001,36.84,36.400002,35.48
20110419,AMC,20110420,37.66,37.529999,39.630001,39.84
20110127,AMC,20110128,36.75,37.040001,34.77,34.779999
20101019,AMC,20101020,29.85,29.34,32.029999,32.119999
20100721,AMC,20100722,32.77,32.0,30.42,31.68
20100421,AMC,20100422,30.99,31.379999,32.470001,33.369999
20100128,AMC,20100129,26.0,25.48,24.110001,23.75
20091021,AMC,20091022,26.17,26.030001,26.620001,25.65
20090722,AMC,20090723,19.02,18.34,20.469999,20.42
20090422,AMC,20090423,20.91,21.33,20.66,22.4
20090129,AMC,20090130,21.26,20.59,22.700001,22.24
20081022,AMC,20081023,32.830002,30.91,26.26,25.719999
20080724,NaN,20080725,37.880001,37.200001,37.709999,37.220001
20080424,AMC,20080425,31.82,31.9,33.220001,32.439999
20080206,AMC,20080207,28.25,28.059999,32.869999,32.75
20071022,AMC,20071023,28.65,29.25,26.92,25.65
20070719,AMC,20070720,37.43,38.959999,37.080002,36.5
20070419,AMC,20070420,30.09,30.49,35.48,36.060001
20070212,AMC,20070213,30.549999,30.540001,29.870001,31.25
20061024,AMC,20061025,24.02,24.59,26.530001,27.02
20060720,AMC,20060721,23.32,20.98,21.059999,22.6
20060419,AMC,20060420,23.75,24.51,25.495001,25.795
20060207,AMC,20060208,21.309999,21.48,21.995001,22.385
20051019,AMC,20051020,17.025,17.5,16.41,16.905001
20050720,AMC,20050721,12.545,13.11,15.71,15.62
20050420,AMC,20050421,15.1775,15.4075,14.3525,13.915
20050208,AMC,20050209,14.35,14.64,14.8975,15.045
20041020,AMC,20041021,10.03,10.07,10.5325,10.6
20040721,AMC,20040722,8.375,8.35,8.11,8.0175
20040428,AMC,20040429,8.8975,8.475,8.1675,8.625
20040218,AMC,20040219,6.28,6.125,6.7,7.1825
20031103,AMC,20031104,2.875,2.91,2.835,2.9375
20030804,NaN,20030805,2.5725,2.605,2.6275,2.5375
20030501,AMC,20030502,1.7,1.6875,1.9,1.875
20030220,AMC,20030221,1.0675,1.05,1.085,1.1175
20021104,AMC,20021105,1.875,1.8175,1.775,1.7875
20020814,AMC,20020815,1.95,1.95,1.9775,1.95
20020506,AMC,20020507,2.755,2.77,2.77,2.77
20020319,AMC,20020320,2.3325,2.3325,2.77,2.6375
20011022,AMC,20011023,2.515,2.5,2.5125,2.6
20010723,AMC,20010724,3.325,3.35,3.25,3.425
20010418,AMC,20010419,2.05,2.0,2.25,2.2475
20010207,AMC,20010208,2.625,2.625,2.625,2.71875
20001017,AMC,20001018,2.17188,1.96875,2.0625,2.125
20000719,AMC,20000720,3.03125,3.03125,3.125,3.125
20000419,AMC,20000420,3.35938,3.1875,2.96875,3.17188
20000207,AMC,20000208,4.46875,4.75,4.73438,4.78125
