EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150506,BMO,20150506,51.389288,50.695511,50.120663,51.300088
20150204,BMO,20150204,53.675217,54.205489,53.675217,53.989451
20141125,BMO,20141125,50.093512,49.811266,49.451163,49.353835
20140807,BMO,20140807,44.524966,43.801532,44.515322,45.672814
20140429,BMO,20140429,44.384621,44.365509,44.54706,45.301934
20140204,BMO,20140204,43.432628,42.789041,42.145454,41.908842
20131126,BMO,20131126,43.949729,43.687288,43.584185,43.256134
20130730,BMO,20130730,43.778916,43.463362,42.887932,42.563095
20130430,BMO,20130430,42.274247,42.393823,42.964101,42.384627
20130205,BMO,20130205,36.536935,36.345735,36.709922,36.755445
20121119,BMO,20121119,34.443765,34.912266,35.28166,35.389774
20120727,BMO,20120727,36.036501,36.393388,36.901949,36.95548
20120427,BMO,20120427,35.026838,34.850338,34.894463,34.753261
20120126,BMO,20120126,35.482767,35.788504,36.12918,36.609621
20111028,BMO,20111028,34.674301,36.273588,35.573361,34.682945
20110729,BMO,20110729,31.590434,31.385081,31.872798,32.155163
20110504,NaN,20110505,32.705557,32.384001,32.020136,32.324767
20110429,BMO,20110429,32.214761,32.265534,32.46862,32.646324
20110127,BMO,20110127,32.63266,33.193702,33.059722,32.306083
20101029,BMO,20101029,28.862633,28.7136,29.069622,28.589405
20101028,NaN,20101029,28.862633,28.7136,29.069622,28.589405
20100802,NaN,20100803,28.592782,28.813734,28.928301,29.173805
20100730,BMO,20100730,28.936486,28.510949,28.592782,28.813734
20100430,BMO,20100430,28.162824,28.575079,27.548481,28.332576
20100128,BMO,20100128,25.564287,25.81993,25.81993,25.771996
20091030,BMO,20091030,24.968515,25.134289,24.242273,24.029138
20090731,BMO,20090731,26.497116,26.676572,26.192821,25.030257
20090430,AMC,20090501,27.722587,26.750678,27.483468,26.920377
20090129,BMO,20090129,32.306546,32.41342,35.512773,34.650145
20081030,AMC,20081031,38.004554,39.958553,39.625314,41.374827
20080801,BMO,20080801,31.744626,31.849765,31.812216,32.052535
20080424,AMC,20080425,27.109563,27.154201,27.072366,27.109563
20080131,BMO,20080131,24.405867,24.192492,24.847337,25.318237
20071026,AMC,20071029,24.51162,24.810101,24.642659,24.60626
20070727,AMC,20070730,21.394584,20.876451,21.67524,21.26505
20070427,AMC,20070430,22.823959,22.816848,22.326085,22.48256
20070125,BMO,20070125,24.560785,24.729395,23.001148,22.93792
20061027,AMC,20061030,24.538014,24.03724,24.656254,24.781448
20060728,AMC,20060731,23.682234,24.308166,22.856829,22.77429
20060428,NaN,20060501,23.077242,23.206544,22.532807,23.138491
20060126,BMO,20060126,20.785714,20.772253,22.603119,22.374261
20051027,AMC,20051028,19.523391,19.084364,19.842683,19.889246
20050728,AMC,20050729,21.41865,21.471307,21.517382,21.484471
20050429,AMC,20050502,18.059205,17.811908,17.968096,18.16333
20050127,AMC,20050128,19.279799,19.125302,19.06093,19.505105
20041028,AMC,20041029,19.386333,19.399065,19.195334,19.386333
20040729,AMC,20040730,16.798173,16.861086,16.930293,17.09387
20040429,AMC,20040430,17.61445,17.278936,17.142245,17.067686
20040129,BMO,20040129,18.529469,18.345097,18.222181,18.283639
20031030,AMC,20031031,17.075191,16.740978,17.227105,17.755767
20030724,AMC,20030725,16.007987,16.21214,16.464329,16.098054
20030424,NaN,20030425,14.067314,14.174064,14.0258,14.381635
20030130,NaN,20030131,13.698076,13.657169,13.803267,13.645481
20021108,AMC,20021111,13.738566,13.824972,13.50815,13.594556
20020725,AMC,20020726,11.873273,12.219814,12.697017,12.918576
20020425,AMC,20020426,13.180165,13.168962,13.191367,13.376214
20020124,BMO,20020124,12.84116,12.868775,12.763837,12.592621
20011025,NaN,20011026,12.688849,12.743308,12.84678,12.476461
20010726,AMC,20010727,12.006548,12.162337,12.162337,12.113988
20010426,AMC,20010427,12.820637,12.926592,12.608725,12.714681
20010125,NaN,20010126,11.625066,11.886304,11.886304,11.807933
20001026,AMC,20001027,11.355475,11.612823,11.419812,11.162464
20000728,AMC,20000731,9.944428,9.944428,10.039439,10.166119
20000427,NaN,20000428,9.899195,9.836936,9.774676,9.868065
20000127,NaN,20000128,9.560199,9.682766,9.437632,9.253782
