EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,BMO,20150423,48.720001,48.84,49.759998,48.57
20150129,BMO,20150129,45.940758,44.9039,45.033505,45.462205
20141024,BMO,20141024,40.674431,41.042119,40.624744,40.734058
20140724,BMO,20140724,41.047328,40.750243,41.809848,41.948487
20140424,BMO,20140424,36.117785,36.107924,35.772587,35.555603
20140205,BMO,20140205,36.500421,37.14923,37.503127,37.20821
20131023,BMO,20131023,33.008038,32.900268,34.810793,34.928367
20130724,BMO,20130724,32.937824,33.015878,32.010963,32.420733
20130424,BMO,20130424,27.353291,27.664234,27.401877,27.916876
20130131,BMO,20130131,27.001288,27.069032,27.407759,27.717451
20121024,BMO,20121024,23.223869,23.223869,22.694524,22.973635
20120725,BMO,20120725,21.20109,20.894799,21.890246,22.215678
20120425,BMO,20120425,23.948139,24.244858,24.043855,23.995996
20120201,BMO,20120201,24.216143,23.699277,23.708849,23.603561
20111026,BMO,20111026,24.532005,23.402558,23.268555,24.656437
20110727,BMO,20110727,23.105837,23.249413,22.493256,22.971836
20110420,BMO,20110420,26.388896,26.226179,26.149606,26.360182
20110202,BMO,20110202,23.431272,24.244858,25.374307,25.020157
20101029,BMO,20101029,20.129072,20.00464,20.205644,20.205644
20100727,BMO,20100727,17.831887,18.186037,18.655045,18.511471
20100430,BMO,20100430,20.282217,20.904371,20.100356,20.205644
20100208,BMO,20100208,17.573455,17.994604,17.276734,17.420309
20091105,BMO,20091105,17.496882,17.420309,17.295878,17.669169
20090806,BMO,20090806,20.473648,20.732081,21.057516,21.890246
20090507,BMO,20090507,19.238913,20.684224,19.181484,19.506916
