EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,BMO,20150505,49.161894,49.409686,47.546294,47.229121
20150211,BMO,20150211,51.736213,52.896615,51.302815,51.808312
20141029,BMO,20141029,47.505817,47.486303,47.115547,48.364416
20140730,BMO,20140730,44.563456,43.838297,42.948767,42.136592
20140430,BMO,20140430,46.816283,46.52622,46.874297,47.328731
20140206,BMO,20140206,40.395361,40.232479,40.165405,40.337871
20131030,BMO,20131030,40.452713,40.528661,40.034988,39.978028
20130731,BMO,20130731,40.75375,41.083091,40.913715,41.252467
20130430,BMO,20130430,41.104644,41.506075,41.954183,41.394049
20130130,BMO,20130130,35.656128,35.989363,36.23929,36.498471
20121031,BMO,20121031,34.70488,34.778331,35.320021,35.219028
20120801,BMO,20120801,37.383282,37.119059,36.690832,36.38105
20120501,BMO,20120501,33.065391,33.291309,33.146721,32.938877
20120202,BMO,20120202,30.45932,30.638493,30.826623,31.050589
20111027,NaN,20111028,28.869461,29.687194,29.189444,28.82502
20110728,BMO,20110728,27.569387,27.542963,27.278719,26.99686
20110503,BMO,20110503,27.264144,27.237938,27.613574,27.700929
20110202,BMO,20110202,26.103066,26.419125,25.804323,25.514242
20110201,AMC,20110202,26.103066,26.419125,25.804323,25.514242
20101026,BMO,20101026,25.584673,25.614777,25.631978,25.481456
20100729,BMO,20100729,23.775441,23.6388,23.41249,23.177638
20100504,BMO,20100504,22.249931,22.643998,22.444847,22.28383
20100202,BMO,20100202,20.564772,20.644612,20.842107,20.619399
20091029,BMO,20091029,18.329948,18.359142,18.521797,18.213169
20090730,BMO,20090730,17.691114,17.699391,17.943606,17.786316
20090505,BMO,20090505,16.520377,16.581929,16.602446,16.167484
20090203,BMO,20090203,18.149997,18.345421,18.402419,18.475703
20081029,NaN,20081030,16.813907,17.008053,17.71588,17.594538
20080731,BMO,20080731,17.485184,17.875263,18.144699,17.855156
20080429,BMO,20080429,18.634481,18.686466,18.518516,18.978379
20080205,BMO,20080205,18.274281,18.548574,18.306083,18.373663
20071030,BMO,20071030,18.549456,18.66413,18.628542,18.93302
20070731,BMO,20070731,16.873556,16.775271,16.877488,17.156617
20070501,BMO,20070501,19.31032,19.083463,19.079551,19.142132
20070207,BMO,20070207,18.474453,18.618419,18.739041,18.77795
20061026,NaN,20061027,18.114407,17.955678,17.812434,17.831793
20060801,BMO,20060801,16.34317,16.246921,16.531818,16.32007
20060501,NaN,20060502,14.94848,14.994416,15.086289,15.063321
20060208,NaN,20060209,15.772912,15.582602,15.350425,15.247068
20051026,BMO,20051026,14.412667,14.43537,14.200771,13.943469
20050727,BMO,20050727,14.717441,14.822782,14.96198,15.108703
20050428,BMO,20050428,13.220349,13.328774,13.171744,13.18296
20050210,BMO,20050210,13.059582,13.033409,13.15305,13.168006
20041102,BMO,20041102,12.052249,12.181486,12.067019,12.325493
20040805,BMO,20040805,11.8298,11.8298,11.745433,11.756437
20040503,BMO,20040503,11.445227,11.437941,11.620074,11.685643
20040211,BMO,20040211,12.385118,12.399604,12.188328,12.170115
20031023,BMO,20031023,11.355227,11.337232,11.391219,11.373223
20030731,NaN,20030801,9.953151,10.056755,9.85312,9.788813
20030430,BMO,20030430,9.070205,9.059567,9.336141,9.297137
20030210,BMO,20030210,8.701181,8.753916,8.500791,8.258212
20021025,BMO,20021025,7.780988,7.707813,7.592823,7.662513
20020726,BMO,20020726,7.533084,7.961768,8.269452,8.314394
20020430,BMO,20020430,8.687955,8.814862,8.917759,8.948628
20020206,BMO,20020206,7.644755,7.654957,7.709368,7.770581
20011025,BMO,20011025,7.214878,7.053049,7.191278,7.305907
20010726,BMO,20010726,7.058642,7.202354,7.199012,7.232433
20010501,BMO,20010501,7.119569,7.28514,7.162617,7.103012
20010206,BMO,20010206,6.513712,6.526831,6.576028,6.71706
20001025,AMC,20001026,6.145768,6.02407,5.902372,6.064636
20000728,BMO,20000728,6.390306,6.430121,6.430121,6.330584
20000426,AMC,20000427,7.015627,7.132879,6.820205,6.68341
20000125,AMC,20000126,6.227731,6.189407,6.170245,6.13192
19991022,BMO,19991022,6.758328,6.701852,6.683026,7.003059
19990728,NaN,19990729,7.655991,7.618916,7.489153,7.452078
