EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,76.68,76.18,84.620003,86.540001
20150129,BMO,20150129,79.889999,76.82,72.5,73.449997
20141022,BMO,20141022,67.300003,67.599998,66.169998,66.360001
20140722,BMO,20140722,76.75,75.279999,77.040001,79.129997
20140429,BMO,20140429,79.400002,80.5,75.790001,72.599998
20140128,BMO,20140128,87.059998,87.980003,100.459999,96.410004
20131024,BMO,20131024,107.150002,107.330002,99.559998,101.93
20130725,BMO,20130725,85.160004,83.739998,80.099998,81.669998
20130425,BMO,20130425,91.400002,87.190002,86.769997,86.669998
20130130,BMO,20130130,75.959999,76.760002,75.309998,77.550003
20121025,BMO,20121025,67.029999,67.779999,63.619999,65.760002
20120726,BMO,20120726,67.309998,67.800003,70.989998,69.68
20120426,BMO,20120426,58.049999,58.490002,61.700001,66.010002
20120125,BMO,20120125,69.050003,71.669998,66.139999,64.5
20111027,BMO,20111027,61.490002,62.639999,69.089996,68.559998
20110727,BMO,20110727,67.510002,67.800003,64.0,64.080002
20110428,BMO,20110428,66.769997,67.82,67.199997,67.949997
20110127,BMO,20110127,54.939999,57.810001,59.080002,56.75
20101026,BMO,20101026,39.209999,39.25,42.529999,42.919998
20100727,BMO,20100727,41.029999,41.900002,43.0,42.25
20100429,BMO,20100429,37.130001,38.439999,35.580002,35.279999
20100128,BMO,20100128,37.93,37.939999,40.18,40.389999
20091029,NaN,20091030,23.9,24.799999,25.09,24.35
20090729,BMO,20090729,24.799999,24.58,25.280001,25.040001
20090429,BMO,20090429,23.059999,23.799999,27.6,29.68
20090128,NaN,20090129,17.49,20.65,19.52,19.15
20081023,NaN,20081024,26.299999,20.110001,18.6,16.139999
20080729,BMO,20080729,39.259998,38.529999,35.330002,34.290001
20080424,BMO,20080424,33.57,34.450001,39.099998,38.939999
20080124,BMO,20080124,22.6,23.049999,28.75,28.129999
20071023,NaN,20071024,33.490002,33.5,33.16,32.849998
20070726,NaN,20070727,37.790001,34.130001,33.220001,33.240002
20070426,NaN,20070427,43.200001,43.650002,44.580002,42.93
20070125,NaN,20070126,45.830002,44.16,43.830002,44.25
20061024,NaN,20061025,50.369999,47.290001,48.900002,50.200001
20060725,NaN,20060726,37.830002,36.880001,39.040001,39.970001
20060425,NaN,20060426,25.52,28.309999,29.84,28.85
20060124,NaN,20060125,28.25,26.34,26.4,28.65
20051025,NaN,20051026,27.52,28.559999,28.940001,27.43
20050725,NaN,20050726,32.09,26.66,26.459999,26.48
20050426,NaN,20050427,23.6,24.120001,25.190001,25.200001
20050124,NaN,20050125,25.83,25.200001,27.18,28.65
20041018,BMO,20041018,23.17,23.610001,21.860001,21.620001
20040721,NaN,20040722,19.27,19.92,20.1,20.4
20040427,BMO,20040427,17.200001,17.26,15.39,14.71
20040120,NaN,20040121,23.15,24.4,23.92,22.799999
20031022,BMO,20031022,15.75,16.040001,16.209999,16.549999
20030717,BMO,20030717,16.43,15.88,14.4,15.0
20030422,NaN,20030423,10.49,10.57,10.76,10.51
20030122,NaN,20030123,7.96,8.14,8.1,8.1
20021017,NaN,20021018,7.06,7.11,7.25,7.36
20020723,NaN,20020724,6.8,6.64,7.47,7.42
20020423,NaN,20020424,7.37,7.92,8.63,8.75
20020118,NaN,20020122,7.91,8.1,7.95,7.4
20011016,BMO,20011016,8.4,8.35,8.8,8.39
20010718,BMO,20010718,8.91,8.98,8.8,8.43
20010424,NaN,20010425,6.3,6.98,6.67,6.59
20010123,NaN,20010124,6.4375,6.0,5.9375,5.6875
20001024,BMO,20001024,5.0625,5.0625,5.0625,5.0625
20000718,BMO,20000718,5.0625,5.0625,5.0625,5.0
20000420,NaN,20000424,5.125,5.5,5.25,5.5
20000113,BMO,20000113,5.0,4.75,4.9375,5.0
