EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,AMC,20150501,20.389999,20.280001,21.25,21.18
20150210,AMC,20150211,17.480517,18.254341,18.155133,18.165054
20141030,AMC,20141031,16.185342,16.451322,16.707448,16.845365
20140731,AMC,20140801,17.28052,17.084928,16.410138,16.644848
20140501,AMC,20140502,15.40154,15.38213,15.828551,15.789733
20140211,AMC,20140212,15.064378,15.295545,15.738615,15.526712
20131029,AMC,20131030,18.451026,18.393666,16.108799,16.271321
20130730,BMO,20130730,16.106723,16.125717,16.856978,17.056412
20130430,AMC,20130501,13.799129,13.959365,14.741692,14.63801
20130212,AMC,20130213,13.31574,13.399839,13.240985,13.212952
20120724,BMO,20120724,15.430206,15.605131,15.899741,15.651164
20120424,BMO,20120424,16.469965,16.424216,16.524864,16.817663
20120207,AMC,20120208,17.73484,17.925929,16.133335,16.142435
20111025,AMC,20111026,15.923167,15.461232,15.624268,16.294527
20110726,BMO,20110726,17.456966,17.339804,18.286105,17.6282
20110426,AMC,20110427,19.146918,19.326449,19.119988,19.254637
20110201,AMC,20110202,18.143089,18.152035,18.581457,18.50094
20101026,AMC,20101027,16.140604,15.962353,16.283205,16.274292
20100727,BMO,20100727,14.486221,14.814849,14.823731,14.62833
20100427,BMO,20100427,15.734002,15.849042,16.813613,16.477341
20100203,BMO,20100203,16.381197,16.619245,15.13806,14.582617
20091020,BMO,20091020,17.384773,17.296882,17.235359,16.83985
20090721,BMO,20090721,15.820319,16.040046,15.416023,15.583014
20090421,BMO,20090421,13.113287,12.541998,14.220709,14.572271
20090205,BMO,20090205,12.172857,12.093755,11.0127,11.285161
20081021,BMO,20081021,16.835762,17.861157,14.679804,13.102272
20080722,BMO,20080722,22.663865,21.971503,23.86454,24.346565
20080422,BMO,20080422,18.018911,18.544755,19.280936,19.719139
20080131,BMO,20080131,18.334418,18.281834,19.631498,20.192399
20071023,NaN,20071024,16.605385,17.75149,18.713867,18.976334
20070724,NaN,20070725,18.110195,18.757612,18.748863,18.267673
20070424,AMC,20070425,19.991205,20.061196,18.888845,18.976334
20070131,AMC,20070201,19.00258,19.545011,20.603626,20.139936
20061023,AMC,20061024,17.166691,17.122966,17.446537,19.108111
