EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,BMO,20150429,68.963588,70.204655,71.74358,72.418721
20150128,BMO,20150128,63.54641,62.580596,61.250144,61.417681
20141029,BMO,20141029,75.910989,77.271962,78.065052,78.397948
20140730,BMO,20140730,76.106541,75.843866,77.244781,75.853596
20140423,BMO,20140423,74.869745,75.169299,76.62843,75.410877
20140129,BMO,20140129,70.581681,70.639265,69.81386,71.877373
20131030,BMO,20131030,68.274446,68.045691,68.398361,67.4738
20130724,BMO,20130724,68.445753,69.089414,68.426825,67.944077
20130424,BMO,20130424,57.513134,57.94521,57.062272,56.42355
20130130,BMO,20130130,54.613878,54.576605,55.200925,54.874787
20130121,BMO,20130121,53.62615,54.129332,54.25047,54.380924
20121024,BMO,20121024,50.617758,50.396077,49.998893,51.365942
20120725,BMO,20120725,51.154683,50.907425,50.156498,50.248073
20120425,BMO,20120425,51.121413,51.775299,52.99226,53.164816
20120125,BMO,20120125,51.423731,51.450757,51.666973,50.811115
20111026,BMO,20111026,43.854669,42.828567,42.926716,45.059221
20110727,BMO,20110727,49.233121,48.994383,48.357746,47.959852
20110427,BMO,20110427,52.300116,53.001777,52.186095,51.90543
20110126,BMO,20110126,53.348698,53.783843,51.27741,50.981515
20101027,BMO,20101027,44.955911,45.275236,46.121017,45.594564
20100728,BMO,20100728,45.474619,45.782628,46.287427,47.57937
20100428,BMO,20100428,49.656705,49.045753,49.164548,50.5901
20100127,BMO,20100127,43.312551,43.531427,44.305919,44.145968
20091021,BMO,20091021,42.295767,42.245712,40.493817,40.927621
20090722,BMO,20090722,39.16793,39.134848,36.604149,37.952201
20090422,BMO,20090422,38.571964,40.071892,38.039201,37.32612
20090128,BMO,20090128,32.178371,33.65541,38.183916,35.773584
20081022,BMO,20081022,43.149453,42.223498,41.563253,40.814438
20080723,BMO,20080723,41.058834,43.04826,42.616817,41.19466
20080423,BMO,20080423,42.564371,42.048967,42.239271,43.595177
20080123,BMO,20080123,35.721994,37.131035,41.098397,40.980322
20071024,BMO,20071024,38.146903,38.154713,39.435387,40.552072
20070725,NaN,20070726,39.412326,40.163849,39.784213,39.319355
20070425,NaN,20070426,40.848877,40.256752,40.410551,39.995295
20070131,NaN,20070201,40.941692,40.911121,40.987549,41.308539
20070124,BMO,20070124,41.728884,41.438465,41.193901,40.597772
20061025,BMO,20061025,44.102173,43.957875,42.917405,41.892128
20061016,NaN,20061017,44.231283,44.140145,44.147742,44.322418
20060726,BMO,20060726,43.757501,43.561175,44.119944,44.150148
20060717,AMC,20060718,42.519152,42.458744,42.919349,43.598932
20060426,BMO,20060426,40.224902,40.675264,42.048872,42.709405
20060412,AMC,20060413,39.226597,39.264129,39.564369,39.616911
20060125,BMO,20060125,39.759539,40.558315,40.17759,39.908843
20060123,AMC,20060124,39.572909,39.759539,40.558315,40.17759
20051026,BMO,20051026,37.817715,37.3797,37.780596,37.483638
20051017,AMC,20051018,36.763512,36.466552,36.592761,37.127285
20050727,BMO,20050727,36.220788,36.479032,36.604467,36.855335
20050718,AMC,20050719,36.294571,36.161759,35.933029,36.397872
20050427,BMO,20050427,31.625267,31.112226,31.588619,31.742533
20050413,AMC,20050414,33.640782,33.157059,32.497435,32.057687
20050126,BMO,20050126,33.594395,33.623545,33.448652,33.907749
20050125,AMC,20050126,33.594395,33.623545,33.448652,33.907749
20041027,BMO,20041027,33.58363,33.880766,34.061947,34.533017
20041012,AMC,20041013,34.235881,34.351837,33.953237,33.482169
20040728,BMO,20040728,30.979542,31.087611,31.037179,31.037179
20040712,AMC,20040713,31.541495,31.815269,31.908928,31.808065
20040428,BMO,20040428,30.442524,30.829233,30.757621,30.650201
20040412,AMC,20040413,30.270655,30.277815,29.611817,29.482914
20040128,BMO,20040128,29.637822,29.54527,28.883171,28.833335
20040121,AMC,20040122,29.23202,28.975723,28.804857,28.933006
20031022,BMO,20031022,27.877153,27.572833,27.155277,27.119891
20031014,AMC,20031015,27.997467,28.096548,27.650682,27.976234
20030723,BMO,20030723,23.65952,23.849356,24.489185,25.199321
20030714,NaN,20030715,23.2025,23.891543,23.793109,24.257159
20030423,BMO,20030423,22.231897,22.790313,22.783331,22.748431
20030410,NaN,20030411,21.094126,21.317493,21.359373,21.659522
20030122,NaN,20030123,22.461562,21.803169,21.948709,21.588326
