EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,63.049999,62.98,64.169998,64.379997
20150204,AMC,20150205,72.669998,73.760002,60.02,61.119999
20141022,AMC,20141023,65.809998,65.089996,66.099998,64.260002
20140723,AMC,20140724,60.23,60.139999,67.440002,67.720001
20140423,AMC,20140424,61.540001,61.669998,60.669998,61.150002
20140205,AMC,20140206,57.23,57.0,62.740002,63.900002
20131023,AMC,20131024,48.450001,47.41,52.490002,52.639999
20130724,AMC,20130725,49.330002,49.209999,48.970001,48.5
20130424,AMC,20130425,49.689999,49.77,45.43,45.43
20130220,AMC,20130221,46.959999,46.0,49.0,48.709999
20121024,AMC,20121025,41.759998,41.650002,39.0,39.790001
20120725,AMC,20120726,33.610001,33.57,35.25,35.060001
20120425,AMC,20120426,30.559999,31.209999,32.77,33.130001
20120222,AMC,20120223,37.169998,36.91,35.66,35.740002
20111027,BMO,20111027,36.009998,36.66,35.77,34.169998
20110728,BMO,20110728,33.830002,33.525002,38.130001,37.82
20110505,BMO,20110505,39.055,38.505001,37.32,37.48
20110303,BMO,20110303,39.740002,38.884998,40.849998,40.150002
20101028,BMO,20101028,41.014999,41.075001,40.095001,40.375
20100729,BMO,20100729,28.445,27.635,30.629999,30.815001
20100429,BMO,20100429,27.190001,27.555,31.32,31.84
20100218,BMO,20100218,26.285,26.655001,22.115,24.235001
20091029,BMO,20091029,24.719999,23.875,23.549999,22.635
20090730,BMO,20090730,18.209999,18.115,18.285,20.035
20090430,BMO,20090430,5.91,5.95,7.61,7.23
