EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,AMC,20150429,53.989262,54.148083,54.118305,53.949556
20150227,AMC,20150302,54.028968,54.028968,53.919778,53.810588
20141028,AMC,20141029,52.323787,52.323787,52.323787,52.441148
20140730,AMC,20140731,54.861292,56.560536,54.123337,54.123334
20140428,AMC,20140429,49.892249,50.325844,49.940429,50.634178
20140225,AMC,20140226,47.483392,47.743549,47.685739,47.65683
20131030,AMC,20131031,45.01548,44.417802,43.96243,44.174698
20130731,AMC,20130801,45.825116,45.683854,46.522006,46.353137
20130430,BMO,20130430,45.007492,45.587026,46.288078,45.11031
20130429,AMC,20130430,45.007492,45.587026,46.288078,45.11031
20130219,AMC,20130220,40.922697,41.37137,41.212466,41.025519
20120731,AMC,20120801,40.410678,39.945136,39.406571,39.342673
20120502,AMC,20120503,37.148252,37.030496,36.7959,36.558564
20120222,AMC,20120223,35.653628,35.671745,35.852912,35.91632
20111102,AMC,20111103,31.953087,32.657018,33.118062,32.947305
20110803,AMC,20110804,30.020021,30.081882,28.834409,28.629467
20110504,AMC,20110505,31.071786,31.089321,30.780023,30.824208
20110224,AMC,20110225,27.389465,27.433303,28.108396,28.362649
20101101,BMO,20101101,27.008134,26.982248,26.637097,27.034021
20100804,AMC,20100805,24.827184,25.075284,24.695618,24.876821
20100505,AMC,20100506,23.346512,23.278692,22.48306,22.234959
20100225,AMC,20100226,22.032528,21.710391,21.39673,21.659526
20091102,BMO,20091102,20.368317,20.609806,20.301699,20.559844
20090805,AMC,20090806,20.056662,20.122665,19.860359,20.434936
20090506,AMC,20090507,17.58155,17.664054,17.424794,17.532048
20090226,AMC,20090227,16.101045,15.562166,16.754232,16.223518
20081105,AMC,20081106,17.952142,17.511942,16.408096,17.241034
20080805,AMC,20080806,19.792977,19.897025,20.185154,19.849002
20080506,AMC,20080507,19.069478,19.037747,18.910829,19.172598
20080227,AMC,20080228,19.354401,19.024363,18.545022,18.002815
20071031,AMC,20071101,20.280627,20.522062,20.148226,20.226108
20070801,AMC,20070802,18.330773,18.901921,18.562319,17.659288
20070502,AMC,20070503,21.672719,21.710942,21.64214,21.764455
20070227,AMC,20070228,20.715743,19.418639,19.873764,19.979959
20061109,AMC,20061110,19.540791,19.397937,19.337789,19.285159
20060803,AMC,20060804,18.544347,18.492173,18.283476,18.20894
20060504,AMC,20060505,16.722888,16.878004,17.136529,17.129142
20060228,AMC,20060301,16.473728,16.44448,16.364048,16.261682
20051102,AMC,20051103,15.151939,15.173646,15.549912,15.738045
20050802,AMC,20050803,15.907491,16.337036,16.4659,16.215332
20050503,AMC,20050504,14.443206,14.514076,14.627467,14.414859
20050314,AMC,20050315,14.312797,14.410926,14.915589,14.936616
20041103,AMC,20041104,12.58812,12.685164,12.913913,12.934709
20040804,AMC,20040805,12.010318,12.113029,11.620016,11.592627
20040505,AMC,20040506,12.052456,11.910504,11.924022,11.565762
20040309,AMC,20040310,12.975306,12.735022,12.414645,12.241107
20031106,AMC,20031107,11.256206,11.269394,11.203453,11.223236
20030811,AMC,20030812,9.869664,10.240508,10.383641,10.299062
20030508,AMC,20030509,9.55253,9.558945,9.430637,9.520453
20030128,AMC,20030129,8.642579,8.897505,8.710974,8.638303
20021029,AMC,20021030,7.920237,7.981397,8.415634,8.673668
20020723,AMC,20020724,10.449415,9.497826,8.883508,8.103717
20020430,NaN,20020501,14.483551,14.787903,14.69242,14.755658
20020129,NaN,20020130,12.639539,12.468256,12.639539,12.370993
20011026,AMC,20011029,11.893727,11.782734,11.741842,11.683425
20010731,AMC,20010801,13.24422,13.163216,13.354155,13.377521
20010501,NaN,20010502,12.893081,12.904542,12.930328,13.096677
20010130,AMC,20010131,13.54253,13.499943,13.284172,13.122291
20001027,AMC,20001030,12.66181,13.259729,13.558688,13.38283
20000802,BMO,20000802,10.25727,10.361581,10.551509,10.88564
20000502,BMO,20000502,9.460163,9.391487,9.266313,9.162002
20000201,AMC,20000202,9.121893,9.037117,9.048106,9.288473
19991102,NaN,19991103,8.839758,8.799744,8.816699,8.85061
19990727,BMO,19990727,8.546124,8.562655,8.678366,8.678366
