EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,BMO,20150505,57.380001,57.52,55.259998,55.849998
20150224,BMO,20150224,52.367195,52.415647,55.235567,58.423727
20141031,BMO,20141031,45.22533,46.155616,46.572306,45.283474
20140801,BMO,20140801,43.907432,43.607027,40.137844,41.416987
20140501,BMO,20140501,47.9968,48.762346,49.053059,48.646062
20140213,BMO,20140213,44.556691,44.605142,48.248754,47.52197
20131101,BMO,20131101,46.962254,46.859696,46.430818,48.370098
20130806,BMO,20130806,38.785582,38.897466,40.454481,40.88336
20130503,BMO,20130503,32.529543,33.079627,33.33136,33.639036
20130220,BMO,20130220,35.867342,36.053808,33.424594,33.396624
20121101,BMO,20121101,27.329854,27.600015,27.887606,27.60873
20120802,BMO,20120802,23.40816,22.501812,22.94627,25.177278
20120503,BMO,20120503,25.185994,25.177278,25.273143,24.619527
20120213,BMO,20120213,23.556313,23.129284,25.029125,25.15985
20111102,BMO,20111102,20.941849,20.680402,19.965783,19.913494
20110801,BMO,20110801,18.571402,18.562687,17.429754,16.854572
20110502,BMO,20110502,20.540964,20.976708,20.08779,20.680402
20110215,BMO,20110215,20.523534,20.174939,20.349238,20.802412
20101101,BMO,20101101,17.356968,17.185681,15.921429,16.117184
20100802,BMO,20100802,17.055178,17.234619,17.985015,17.936076
20100503,BMO,20100503,22.030624,20.921344,19.477648,18.857758
20100216,BMO,20100216,17.944233,17.862668,17.128586,17.063334
20091102,AMC,20091103,15.611482,15.766455,17.658756,17.177524
20090730,AMC,20090731,11.777942,12.552807,15.652265,16.549477
20090504,AMC,20090505,11.614812,11.916602,11.149894,11.57403
20090211,AMC,20090212,6.035787,5.91344,6.280481,6.590427
20081030,AMC,20081031,9.820389,9.836703,9.869328,9.738824
20080730,AMC,20080731,14.706115,14.216727,12.071575,12.283643
20080505,BMO,20080505,20.211732,18.555968,19.241112,18.694628
20080213,AMC,20080214,20.032289,21.296542,20.407487,19.893629
20071031,AMC,20071101,32.723755,32.283308,30.855925,28.865745
20070731,AMC,20070801,27.968535,28.3682,30.929331,33.441525
20070430,AMC,20070501,24.167618,23.466163,27.731996,28.441608
20070213,AMC,20070214,21.614644,21.573862,21.598331,22.968618
20061031,AMC,20061101,22.389509,22.144814,21.883808,21.614644
20060802,AMC,20060803,19.0372,19.412397,20.39933,20.2362
20060501,AMC,20060502,29.31435,29.126752,27.381268,26.777691
20060215,AMC,20060216,28.335576,28.506861,28.515017,28.457921
20051102,AMC,20051103,23.131748,24.428627,23.98002,24.265497
20050726,AMC,20050727,18.902617,18.861836,17.956467,18.152222
20050428,AMC,20050429,15.558466,15.529919,15.448354,15.790925
20050215,BMO,20050215,14.726506,14.661254,15.905115,15.901038
20041101,BMO,20041101,13.054429,12.785266,12.8913,13.046273
20040729,BMO,20040729,14.579689,14.514437,15.289303,15.566621
20040426,BMO,20040426,14.441029,15.126173,16.039698,16.05601
20040211,BMO,20040211,11.908446,12.295878,13.070742,13.201245
20031027,BMO,20031027,8.303286,8.31552,9.693964,10.052848
20030724,BMO,20030724,7.442778,7.483561,7.491718,7.503952
20030424,BMO,20030424,6.198917,6.239699,6.219308,6.211151
20030211,BMO,20030211,6.341655,6.137743,6.096961,6.117352
20021024,BMO,20021024,6.647522,6.647522,6.708696,6.606741
20020724,BMO,20020724,5.603494,5.505617,5.91344,5.750311
20020423,AMC,20020424,5.179358,5.179358,6.031709,5.91344
20020206,AMC,20020207,5.220141,5.260923,5.260923,5.301705
20011022,AMC,20011023,3.935496,3.915105,3.919183,3.919183
20010719,BMO,20010719,3.311527,3.262588,3.486891,3.792758
20010425,AMC,20010426,2.181856,2.181856,2.181856,2.283811
20010207,AMC,20010208,2.744652,3.009737,2.866999,2.891468
20001023,NaN,20001024,2.497919,2.395963,2.446941,2.395963
20000724,NaN,20000725,3.262588,3.262588,3.262588,3.21161
20000424,NaN,20000425,2.931231,2.803786,2.803786,2.854764
20000210,NaN,20000211,3.670411,3.670411,3.670411,3.568455
19991021,NaN,19991022,3.4665,3.670411,3.619433,3.644922
19990722,NaN,19990723,4.893882,4.94486,4.94486,4.94486
