EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,AMC,20150430,40.41,41.25,39.189999,39.650002
20150226,AMC,20150227,38.150002,38.209999,35.580002,35.91
20141110,AMC,20141111,30.612486,31.049946,32.685653,33.703216
20140731,AMC,20140801,33.760277,32.295746,29.005308,28.85315
20140429,AMC,20140430,31.087983,31.221125,32.333786,30.213071
20140304,AMC,20140305,30.27964,31.183085,32.362315,32.200648
20131104,AMC,20131105,20.10462,20.346546,20.897132,21.322579
20130730,AMC,20130731,17.209892,17.259947,17.518554,18.169242
20130501,AMC,20130502,17.476844,16.692677,16.726042,16.62594
20130306,AMC,20130307,15.716643,15.533111,16.43407,16.517491
20121101,AMC,20121102,10.508337,10.568687,10.455534,10.523423
20120730,AMC,20120731,11.247615,11.11183,9.852042,9.701162
20120430,AMC,20120501,12.439515,12.326362,11.541819,11.489016
20120305,AMC,20120306,10.71202,10.862891,10.77237,11.028856
20111031,AMC,20111101,8.856277,8.298042,8.599791,9.029781
20110802,AMC,20110803,11.307966,10.870438,10.508337,9.995366
20110502,AMC,20110503,11.29288,10.976045,11.775672,11.828484
20110307,AMC,20110308,10.553602,10.244313,10.063263,10.810087
20101101,AMC,20101102,7.41543,7.377713,7.392798,7.422977
20100802,AMC,20100803,6.608256,6.570538,6.781767,6.781767
20100503,AMC,20100504,6.65352,6.894921,7.392798,7.324909
20100308,BMO,20100308,5.386185,5.484253,5.861438,5.680388
20091102,AMC,20091103,4.337609,4.624274,4.677078,4.594095
20090803,AMC,20090804,3.560614,3.620964,3.620964,3.771835
20090504,AMC,20090505,2.112228,2.165031,2.383799,2.489414
20090309,AMC,20090310,0.927875,0.965593,0.950499,1.033482
20081106,AMC,20081107,1.961357,1.983989,1.885921,1.89346
20080804,AMC,20080805,3.771835,3.703946,3.741664,3.756749
20080505,AMC,20080506,4.873213,4.888299,5.144785,5.039178
20080310,AMC,20080311,4.496028,4.337609,4.352703,4.096218
20071108,AMC,20071109,6.117917,5.997224,5.054264,4.692163
20070806,AMC,20070807,9.067499,9.723794,9.655906,9.429591
20070509,AMC,20070510,13.571072,13.654047,12.899684,12.861966
20070312,AMC,20070313,13.269322,13.012836,12.14532,12.447062
