EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,AMC,20150424,18.99,19.5,17.610001,17.469999
20150224,AMC,20150225,21.299999,20.879999,22.440001,22.75
20141023,AMC,20141024,14.9,14.55,14.87,15.05
20140723,AMC,20140724,16.01,15.82,17.870001,17.469999
20140424,AMC,20140425,16.32,16.08,18.16,18.209999
20140213,AMC,20140214,13.72,13.9,14.0,14.34
20131024,AMC,20131025,16.32,16.540001,11.41,10.77
20130724,AMC,20130725,16.790001,17.01,17.549999,17.26
20130418,AMC,20130419,11.4,11.02,12.89,12.84
20130207,BMO,20130207,10.47,10.62,10.5,10.47
20121018,AMC,20121019,11.25,11.1,10.91,10.05
20120724,AMC,20120725,8.75,8.45,9.76,10.6
20120424,AMC,20120425,6.68,6.78,6.99,6.88
20120215,AMC,20120216,7.79,7.94,7.21,7.21
20111024,AMC,20111025,10.64,11.17,6.31,6.49
20110721,AMC,20110722,17.120001,17.51,15.17,15.17
20110425,AMC,20110426,14.13,14.01,15.15,15.81
20110215,AMC,20110216,12.92,12.75,13.82,14.1
20101021,AMC,20101022,11.85,11.52,10.03,10.55
20100722,AMC,20100723,11.96,12.44,13.16,14.57
20100422,AMC,20100423,16.620001,16.690001,17.26,16.51
20100216,AMC,20100217,16.290001,16.08,15.92,16.129999
20091022,AMC,20091023,16.34,16.15,18.49,16.75
20090723,AMC,20090724,13.51,13.58,15.86,16.18
20090420,AMC,20090421,9.84,9.46,10.86,10.75
20090205,AMC,20090206,13.76,13.75,11.0,10.77
20090108,AMC,20090109,10.51,10.35,13.53,12.76
20081016,AMC,20081017,11.34,11.52,10.39,10.95
20080618,AMC,20080619,31.83,30.65,33.900002,33.220001
20080318,AMC,20080319,30.73,32.0,32.869999,33.610001
20071219,AMC,20071220,55.84,55.52,60.0,59.189999
20071017,AMC,20071018,54.459999,53.25,57.580002,56.869999
20070705,AMC,20070706,48.599998,49.639999,46.639999,46.580002
20070404,AMC,20070405,48.66,48.290001,46.509998,45.540001
20070104,NaN,20070105,46.0,45.740002,44.669998,43.849998
20061017,AMC,20061018,39.16,39.310001,44.630001,45.389999
20060626,AMC,20060627,50.77,50.25,50.34,52.259998
20060320,AMC,20060321,39.830002,39.52,47.139999,47.150002
20051221,AMC,20051222,45.93,46.0,45.209999,46.110001
20051011,AMC,20051012,38.27,37.720001,40.459999,39.610001
20050620,AMC,20050621,42.23,41.689999,39.380001,39.27
20050317,AMC,20050318,32.0,31.950001,31.76,32.41
20041220,AMC,20041221,34.709999,32.950001,32.400002,33.0
20041007,AMC,20041008,28.309999,27.450001,27.379999,28.23
20040617,AMC,20040618,20.23,20.25,24.09,24.309999
20040322,AMC,20040323,25.0,24.0,23.51,23.459999
20031218,AMC,20031219,24.145,24.125,23.75,24.34
20031009,AMC,20031010,21.25,21.225,21.795,22.59
20030619,AMC,20030620,16.915001,16.0,15.495,15.165
20030318,AMC,20030319,8.295,8.775,9.1,8.82
20021219,AMC,20021220,8.755,8.85,8.025,7.995
20021008,AMC,20021009,6.26,6.06,7.73,8.82
20020620,AMC,20020621,11.05,11.15,8.365,8.945
20020321,AMC,20020322,11.17,10.795,12.07,13.05
20011220,NaN,20011221,18.125,14.5,15.2,15.535
20011004,NaN,20011005,11.99667,11.26667,11.86667,11.76667
20010621,AMC,20010622,11.34333,10.72667,11.97667,12.21667
20010322,NaN,20010323,5.0,5.08333,5.25,5.33333
20001221,AMC,20001222,3.0,3.0625,3.0,3.04167
20001003,AMC,20001004,2.64583,2.66667,2.66667,2.66667
20000620,AMC,20000621,1.375,1.45833,1.5,1.52083
20000320,NaN,20000321,1.33333,1.26042,1.39583,1.39583
19991220,NaN,19991221,1.33333,1.54167,1.54167,1.45833
19991005,NaN,19991006,2.04167,2.04167,1.95833,1.89583
