EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150506,AMC,20150507,58.939999,60.32,53.040001,54.549999
20150204,AMC,20150205,49.23,48.75,52.610001,51.799999
20141103,AMC,20141104,56.720001,57.52,56.25,53.150002
20140827,AMC,20140828,39.349998,39.32,38.810001,39.380001
20140507,AMC,20140508,35.389999,34.0,35.369999,35.880001
20140206,AMC,20140207,32.529999,32.029999,35.970001,38.16
20131107,AMC,20131108,24.4,23.790001,27.129999,26.9
20130910,AMC,20130911,14.27,15.7,16.780001,17.459999
20130508,AMC,20130509,12.06,11.84,11.51,11.62
20130207,AMC,20130208,7.11,7.14,7.89,7.3
20121108,AMC,20121109,4.0,4.0,4.49,4.54
20120906,AMC,20120907,5.01,5.05,4.85,4.67
20120508,AMC,20120509,3.85,4.1,4.05,4.14
20120207,AMC,20120208,5.19,5.2,5.05,4.96
20111103,AMC,20111104,3.9,3.98,3.97,3.94
20110907,NaN,20110908,3.85,4.02,3.92,3.79
20110511,NaN,20110512,5.54,5.41,5.38,5.29
20110210,NaN,20110211,5.36,5.61,5.68,5.75
20101111,NaN,20101112,6.07,5.62,5.5,5.62
20100913,NaN,20100914,4.23,4.11,4.1,4.27
20100512,NaN,20100513,4.87,5.02,4.83,4.81
20100208,NaN,20100209,5.06,4.95,4.55,4.52
20091109,NaN,20091110,7.1,6.93,6.5,6.53
20090909,NaN,20090910,8.35,8.91,8.46,7.74
20090512,NaN,20090513,5.7,5.89,6.3,6.28
20090211,NaN,20090212,4.91,5.0,4.82,4.98
20081113,NaN,20081114,2.726,2.75,2.678,2.6
20080929,AMC,20080930,2.39,2.3,2.25,2.6
20080515,NaN,20080516,3.75,3.65,3.63,3.45
20080208,NaN,20080211,3.14,3.24,3.25,3.31
20071112,BMO,20071112,4.61,4.62,4.44,4.0
20070507,AMC,20070508,6.55,6.7,6.81,6.83
20070207,AMC,20070208,6.75,6.75,6.46,6.35
20061108,AMC,20061109,6.5,6.4,6.33,6.25
20060913,AMC,20060914,5.8,5.86,5.65,5.35
20060510,BMO,20060510,7.01,7.15,7.07,6.87
20060208,BMO,20060208,7.75,7.64,7.51,7.45
20051108,NaN,20051109,5.02,5.89,6.16,6.22
20050913,NaN,20050914,4.5,4.24,4.64,4.5
20050509,AMC,20050510,6.08,6.15,4.28,4.26
20050208,NaN,20050209,9.82,8.34,8.16,8.07
20041109,NaN,20041110,11.1,8.6,8.69,8.83
20040820,BMO,20040820,11.75,11.52,11.89,11.62
20040512,NaN,20040513,16.040001,16.190001,16.25,16.16
20040120,BMO,20040120,16.25,16.65,18.6,19.0
20031029,BMO,20031029,17.24,17.549999,18.35,18.440001
20030825,BMO,20030825,19.42,18.709999,19.59,18.549999
20030424,NaN,20030425,15.75,14.08,14.29,14.91
20030127,BMO,20030127,13.6,13.34667,12.63333,13.66667
