EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150504,AMC,20150505,70.93,71.019997,68.230003,66.07
20150202,AMC,20150203,71.963443,72.192439,69.096059,69.19562
20141110,AMC,20141111,66.411496,66.143871,65.985273,66.411496
20140804,AMC,20140805,64.882611,66.037357,66.195267,65.711659
20140505,AMC,20140506,65.644463,66.283125,63.0407,63.070175
20140130,AMC,20140131,66.189127,66.874109,68.821429,67.979875
20131114,AMC,20131115,64.051264,63.622694,64.849956,61.35324
20130805,AMC,20130806,61.446323,61.320328,59.779323,59.944083
20130506,AMC,20130507,59.400822,59.371894,53.5861,53.017163
20130131,AMC,20130201,55.121623,54.517471,53.846194,52.829684
20121115,AMC,20121116,46.135856,46.717317,43.848126,43.848126
20120802,AMC,20120803,40.616515,40.76814,46.927901,48.235666
20120503,AMC,20120504,45.76022,44.103399,39.161182,39.067046
20120202,AMC,20120203,43.916306,44.3565,46.491905,45.883129
20111117,AMC,20111118,33.842112,33.144049,36.690208,35.629153
20110804,AMC,20110805,36.166407,35.34423,35.104046,33.515125
20110505,AMC,20110506,39.208714,37.967933,37.967933,39.181142
20110203,AMC,20110204,35.144095,35.436963,38.21005,38.795785
20101118,AMC,20101119,29.899105,30.572838,31.628957,32.275374
20100805,AMC,20100806,27.113865,26.624836,26.108641,26.633893
20100506,AMC,20100507,25.862547,24.835613,24.781564,26.934524
20100204,AMC,20100205,23.706802,23.437915,23.070437,22.290668
20091119,AMC,20091120,25.420523,24.511373,23.022865,23.156563
20090722,AMC,20090723,19.597628,19.579892,20.138557,20.741561
