EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150427,AMC,20150428,33.709999,33.419998,35.0,34.27
20150217,AMC,20150218,35.717464,35.36019,34.546399,34.347913
20141027,AMC,20141028,33.238799,33.278202,32.529493,32.096031
20140728,AMC,20140729,33.684028,34.192614,32.784224,32.911372
20140428,AMC,20140429,33.917495,34.383581,33.092135,32.567787
20140210,AMC,20140211,32.838354,33.233648,34.082082,33.966387
20131104,AMC,20131105,35.926422,36.462782,35.37091,35.303866
20130729,AMC,20130730,34.367329,33.901233,33.178313,34.205621
20130423,AMC,20130424,28.90292,29.139055,30.886454,30.612536
20130211,AMC,20130212,29.048904,28.833311,28.7302,29.489464
20121029,AMC,20121031,27.157113,26.747896,26.478184,26.831599
20120723,AMC,20120724,27.917239,27.160474,26.23759,25.92381
20120423,AMC,20120424,27.238064,26.789287,26.560318,26.505367
20120206,AMC,20120207,28.339109,28.439119,27.293553,27.220819
20111024,AMC,20111025,28.309856,28.454294,27.858487,26.648818
20110725,AMC,20110726,30.807279,30.161915,27.696972,26.890265
20110425,AMC,20110426,29.923478,30.128372,30.101647,30.627246
20110207,AMC,20110208,26.693187,27.100312,27.171116,26.834795
20101025,AMC,20101026,24.916719,24.573708,24.960694,25.347682
20100726,AMC,20100727,24.173322,24.592664,23.657881,23.369583
20100426,AMC,20100427,28.309546,27.328265,27.319581,27.224059
20100208,AMC,20100209,24.863322,24.684902,25.559729,25.116557
20091026,AMC,20091027,27.141497,26.986959,22.854494,23.610014
20090727,AMC,20090728,25.499866,25.61945,25.556814,25.989597
20090420,AMC,20090421,20.372997,20.220199,19.807078,19.439234
20090205,AMC,20090206,22.917199,23.602642,22.405935,22.237385
20081027,AMC,20081028,20.895351,20.744462,21.945984,22.912789
20080728,AMC,20080729,27.503442,26.841314,26.040081,25.750744
20080421,AMC,20080422,22.179926,22.573321,24.22449,24.640052
20080204,AMC,20080205,22.818863,22.824372,24.418056,23.866606
20071022,AMC,20071023,20.595405,20.782082,20.869935,21.616665
20070724,AMC,20070725,19.415915,18.912886,21.351493,21.936545
