EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,BMO,20150422,37.858737,37.730065,37.086716,36.779886
20150128,BMO,20150128,41.952343,41.844496,41.677822,39.667954
20141020,AMC,20141021,41.128672,41.750508,41.391006,41.031508
20140723,BMO,20140723,40.051231,40.176483,39.29973,40.186116
20140422,BMO,20140422,35.948525,36.215941,36.999095,36.540663
20140128,BMO,20140128,38.551017,38.522613,38.541548,37.452806
20131022,BMO,20131022,40.927637,40.364672,40.261461,39.576519
20130724,BMO,20130724,39.337446,39.114046,40.407918,41.199133
20130423,BMO,20130423,42.002475,42.372216,44.008317,43.823446
20130129,BMO,20130129,40.595732,40.136712,40.797698,39.842939
20121022,BMO,20121022,34.881089,34.589654,35.336455,35.145202
20120724,BMO,20120724,31.666286,31.666286,31.964341,32.289495
20120423,BMO,20120423,27.26975,27.779048,27.25188,27.770112
20120131,BMO,20120131,29.246276,29.18437,27.017651,26.902683
20111024,BMO,20111024,29.253918,29.709097,29.525276,28.150989
20110725,BMO,20110725,30.750408,30.466159,30.104391,29.647871
20110426,BMO,20110426,33.091511,33.116985,33.76234,33.074528
20110208,BMO,20110208,30.638234,30.973259,31.676816,31.500928
20101028,BMO,20101028,28.860252,28.390377,27.862798,28.068883
20100729,BMO,20100729,30.718264,30.409782,30.271778,30.085066
20100427,BMO,20100427,32.604831,32.836696,31.005771,30.414121
20100209,BMO,20100209,24.126862,23.86701,24.032371,24.292223
20091026,NaN,20091027,22.060962,21.93698,22.835846,21.812999
20090728,BMO,20090728,21.093605,21.322138,21.65732,21.680172
