EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,56.779999,57.0,57.560001,57.060001
20150121,AMC,20150122,52.034927,52.154547,54.237938,52.443631
20141029,AMC,20141030,53.8004,54.45626,54.823938,55.777919
20140723,AMC,20140724,49.779313,49.779313,50.988123,50.205367
20140423,AMC,20140424,50.520395,49.898149,49.503071,49.137627
20140122,AMC,20140123,53.500441,53.057312,52.427084,51.757467
20131023,NaN,20131024,42.978619,42.664477,43.91123,45.010728
20130724,NaN,20130725,43.179068,42.865964,42.836608,42.934455
20130424,AMC,20130425,43.592813,43.534298,39.847927,39.321301
20130123,AMC,20130124,41.10726,40.728078,42.50732,43.06151
20121024,NaN,20121025,35.967909,35.725734,37.00442,37.081914
20120725,AMC,20120726,31.467549,31.786088,30.666384,32.896141
20120425,AMC,20120426,33.565001,33.872672,35.420643,35.564865
20120125,AMC,20120126,32.814697,32.853022,32.958413,33.0638
20111019,AMC,20111020,27.142632,26.589285,27.505169,28.430593
20110720,AMC,20110721,30.150809,30.872302,32.267823,32.391233
20110420,AMC,20110421,34.27061,34.922932,35.39563,34.951296
20110119,AMC,20110120,32.229672,31.654983,33.29426,33.784159
20101020,AMC,20101021,26.303609,26.575747,26.838502,26.885422
20100721,AMC,20100722,23.489397,23.601519,24.059347,24.563893
20100421,AMC,20100422,27.868346,27.942786,28.361508,28.957026
20100120,AMC,20100121,23.215236,23.289377,24.762919,24.512696
20091021,NaN,20091022,22.702975,22.177145,23.791538,23.311832
20090722,AMC,20090723,16.619903,16.941283,17.896237,17.887055
20090422,AMC,20090423,14.686767,14.102945,15.0699,14.495201
20090121,AMC,20090122,13.080748,14.668217,15.021995,15.920049
20081021,AMC,20081022,21.9863,20.886985,18.769452,17.985513
20080722,AMC,20080723,24.429756,26.449857,26.485771,24.797865
20080422,AMC,20080423,21.004754,20.530828,24.644147,25.761897
20080123,NaN,20080124,25.192771,25.984773,23.252811,23.573172
20071023,NaN,20071024,28.97477,29.0812,30.863852,30.571179
20070724,NaN,20070725,28.427885,27.101544,28.507466,27.861979
20070424,NaN,20070425,27.36813,26.469081,27.191846,27.156589
20070124,NaN,20070125,27.627772,28.277835,27.583847,27.478432
20061018,NaN,20061019,26.881246,27.065123,26.916269,26.636074
20060727,NaN,20060728,23.768484,24.859983,25.322779,25.375171
20060426,NaN,20060427,26.707016,26.210668,26.506736,26.428365
20060125,NaN,20060126,23.207504,23.914446,24.493912,24.285305
20051027,NaN,20051028,19.148926,19.224023,19.420416,19.657257
20050718,NaN,20050719,17.642621,17.994093,17.585009,17.458247
20050418,NaN,20050419,16.512181,16.466221,16.684542,16.058294
20050119,NaN,20050120,17.123277,16.561674,17.163394,17.002934
20041020,NaN,20041021,13.952402,13.895249,14.358232,14.718331
20040713,NaN,20040714,14.133955,14.025676,13.837603,13.660925
20040413,NaN,20040414,14.130522,14.153262,13.823584,14.09074
20040114,AMC,20040115,13.736215,14.132991,13.913816,14.518443
20031021,AMC,20031022,14.167299,14.287934,14.521672,14.966516
20030716,AMC,20030717,13.895504,13.812768,13.305083,13.275004
20030415,AMC,20030416,10.497139,10.673405,10.403382,10.538393
20030115,AMC,20030116,11.961011,11.344274,9.953809,9.901473
20021022,NaN,20021023,10.739103,10.552662,10.865883,10.865883
20020716,NaN,20020717,9.583932,9.695421,9.784603,9.699134
20020416,NaN,20020417,12.319753,12.794019,12.819954,12.790309
20020115,NaN,20020116,12.964987,13.164561,12.887377,12.983464
20011023,NaN,20011024,11.253507,11.113436,11.002858,11.095008
20010717,NaN,20010718,10.56961,10.764318,10.646758,10.602674
20010417,NaN,20010418,11.279676,11.660546,12.111003,12.191574
20010116,NaN,20010117,14.148013,13.828542,14.102379,14.353388
20001025,NaN,20001026,11.696929,11.446603,11.036983,11.150767
20000718,AMC,20000719,8.944521,8.944521,8.762909,8.944521
20000418,NaN,20000419,6.198795,6.470272,6.492897,6.447655
20000119,BMO,20000119,6.310859,6.536248,6.333399,6.265777
19991020,NaN,19991021,6.351524,6.127086,6.127086,6.665734
19990713,AMC,19990714,8.789057,8.587781,8.632505,8.453594
