EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150507,BMO,20150507,16.620001,16.91,17.709999,18.15
20150220,BMO,20150220,16.870001,16.530001,16.16,15.61
20141028,BMO,20141028,14.43,14.53,14.9,15.0
20140805,BMO,20140805,14.7,15.19,15.62,15.98
20140502,BMO,20140502,17.08,17.02,16.76,16.309999
20140220,BMO,20140220,18.52,18.110001,18.9,18.639999
20131031,BMO,20131031,15.65,15.25,16.01,16.450001
20130801,BMO,20130801,14.86,15.4,14.41,14.24
20130502,BMO,20130502,18.700001,17.99,16.83,16.65
20130222,BMO,20130222,16.950001,17.01,18.110001,17.75
20121101,BMO,20121101,12.24,12.46,12.66,12.3
20120802,BMO,20120802,9.52,9.24,9.65,10.6
20120503,BMO,20120503,13.28,13.87,11.86,11.26
20120223,AMC,20120224,15.22,16.0,14.95,14.35
20111102,AMC,20111103,10.44,11.37,12.5,12.52
20110803,AMC,20110804,9.95,10.16,9.36,8.8
20110504,AMC,20110505,11.31,10.93,13.24,13.63
20110224,AMC,20110225,10.58,10.47,10.79,10.83
20101103,AMC,20101104,9.3,9.41,9.73,9.68
20100804,AMC,20100805,11.04,11.38,9.25,9.0
20100506,BMO,20100506,15.01,14.9,13.77,12.74
20100505,AMC,20100506,15.01,14.9,13.77,12.74
20100225,NaN,20100226,13.7,11.12,11.68,13.01
20100224,AMC,20100225,13.76,13.7,11.12,11.68
20091104,AMC,20091105,11.55,11.39,14.06,13.48
20090805,AMC,20090806,8.48,8.89,10.96,12.06
20090506,AMC,20090507,7.86,8.36,7.39,8.12
20090225,AMC,20090226,7.76,7.45,6.49,6.56
20081106,NaN,20081107,13.313233,13.293333,13.711237,13.571936
20080807,AMC,20080808,15.425762,14.899658,18.761062,20.557755
20080508,NaN,20080509,10.934428,13.972318,13.230162,14.387925
20080219,NaN,20080220,10.453302,11.5075,11.694693,10.95577
20071031,AMC,20071101,17.029256,17.69707,15.811478,16.106101
20070725,NaN,20070726,20.264718,20.431224,18.63884,19.011028
20070426,BMO,20070426,21.322763,21.166409,22.290203,22.573595
20070208,NaN,20070209,24.413925,22.902679,22.268931,22.268931
20061025,NaN,20061026,23.418833,23.09776,22.027518,21.365914
20060726,AMC,20060727,25.075865,25.037034,25.561267,26.697108
20060426,AMC,20060427,30.427597,30.534191,26.367353,26.929393
20060208,AMC,20060209,24.435582,25.064367,24.155046,24.155046
20051026,AMC,20051027,19.97184,20.222815,18.002648,19.778781
20050803,AMC,20050804,23.857463,23.684094,21.767406,20.669403
20050425,NaN,20050426,18.462953,18.856803,18.193983,18.39571
20050214,AMC,20050215,24.8609,24.966323,23.107028,23.624563
20041027,AMC,20041028,22.470488,22.495997,21.105941,22.323834
20040728,AMC,20040729,21.056561,20.789135,20.935579,20.534441
20040426,AMC,20040427,16.300638,16.345143,16.516795,15.976405
20040203,AMC,20040204,15.127808,14.918405,15.197616,15.292799
20031027,BMO,20031027,14.448376,14.6194,14.613063,15.518854
20030811,BMO,20030811,13.565067,13.729411,14.45634,14.443692
20030505,NaN,20030506,10.747193,10.961635,11.623874,11.794164
20030204,BMO,20030204,11.327972,11.233572,11.051069,11.025893
20021022,BMO,20021022,13.130732,13.344243,12.559282,13.268888
20020723,BMO,20020723,13.88196,13.405646,13.154953,12.572099
20020423,AMC,20020424,14.200783,14.288371,13.981831,13.887993
20020124,BMO,20020124,10.009952,10.240992,10.315927,10.315927
20011019,BMO,20011019,10.596543,10.702515,10.521744,10.845877
20010720,NaN,20010723,12.242596,12.317208,12.174196,11.813577
20010424,NaN,20010425,10.122241,10.550466,11.853758,12.412313
20010131,BMO,20010131,9.368037,9.600303,9.406751,9.522884
20001018,BMO,20001018,9.424857,9.617986,9.502107,9.347598
20000718,AMC,20000719,8.676365,8.676365,9.061984,9.254789
20000419,AMC,20000420,10.622156,10.468209,10.468209,10.699125
20000125,BMO,20000125,11.988515,11.873241,11.719539,11.68112
