EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150415,AMC,20150416,70.018989,70.805497,67.609693,66.713671
20150121,AMC,20150122,78.153769,79.780319,78.252947,79.026549
20141016,AMC,20141017,83.38212,84.331104,81.84991,83.411775
20140716,AMC,20140717,104.013362,106.250107,91.844313,93.135117
20140416,AMC,20140417,74.03956,74.540759,81.557515,82.206126
20140122,AMC,20140123,70.418902,70.712766,70.546239,68.058222
20131016,AMC,20131017,61.209384,61.453479,66.882164,67.106735
20130717,AMC,20130718,57.865528,57.807175,59.51883,60.987348
20130417,AMC,20130418,55.910745,54.189367,50.591005,50.87304
20130123,AMC,20130124,46.632809,46.341051,47.508084,48.295834
20121018,AMC,20121019,43.121975,41.682632,42.810766,42.236973
20120719,AMC,20120720,33.318872,34.11635,37.636907,38.784493
20120419,AMC,20120420,39.640317,39.358286,34.923548,35.390362
20120125,AMC,20120126,49.783804,50.902214,45.115661,45.417147
20111020,AMC,20111021,43.938901,44.25011,48.393086,49.540671
20110721,AMC,20110722,40.330816,40.428067,44.318187,42.674613
20110421,AMC,20110425,47.119074,47.644241,48.412537,48.976606
20110127,AMC,20110128,48.59732,49.910234,45.514398,44.12368
20101021,AMC,20101022,37.257621,36.100308,35.973882,36.382343
20100722,AMC,20100723,40.962958,41.916037,40.291914,41.244992
20100421,AMC,20100422,36.353168,36.557399,41.060213,43.384559
20100128,AMC,20100129,29.117545,27.989411,24.72171,25.538635
20091020,AMC,20091021,20.870491,20.889942,22.883629,22.222308
20090722,AMC,20090723,17.729219,18.468342,16.455206,16.620536
20090421,AMC,20090422,13.0319,13.333385,15.113114,15.015861
20090202,AMC,20090203,11.116017,10.970137,8.422109,9.034803
20081020,NaN,20081021,15.083939,14.023881,14.354541,9.812827
20080721,AMC,20080722,17.08735,17.437461,13.245857,14.16976
20080417,AMC,20080418,25.966549,25.188524,26.647319,27.736553
20080128,AMC,20080129,24.916217,25.178798,24.605005,24.459126
20071018,AMC,20071019,47.722041,48.92798,41.536751,42.898294
20070719,AMC,20070720,55.580085,54.422772,55.395302,55.37585
20070426,AMC,20070427,42.723238,43.958352,42.801039,42.256424
20070130,AMC,20070131,41.079664,41.653457,39.076251,39.620869
20061023,BMO,20061023,60.03427,47.799845,46.146544,47.537262
20061019,AMC,20061020,58.487947,60.03427,47.799845,46.146544
20060807,BMO,20060807,45.942314,46.331323,45.660279,44.590494
20060724,AMC,20060725,36.479594,39.095702,44.843354,44.493242
20060426,BMO,20060426,57.583494,58.701905,60.520534,61.405537
20060420,AMC,20060421,62.018231,63.73961,58.400419,57.583494
20060126,AMC,20060127,68.417476,68.738413,61.638945,64.469007
20060125,BMO,20060125,70.595941,72.424302,68.417476,68.738413
20051103,BMO,20051103,57.690473,60.423283,62.737905,63.350596
20051020,AMC,20051021,46.253523,45.105937,54.899313,56.007996
20050725,BMO,20050725,27.444793,30.537438,30.897275,32.463049
20050721,NaN,20050722,27.483695,27.444793,30.537438,30.897275
20050421,AMC,20050422,26.22913,27.114132,24.624456,24.624456
20050420,BMO,20050420,25.888746,26.413912,26.22913,27.114132
20050131,BMO,20050131,21.63879,24.225719,24.021489,24.215994
20050127,AMC,20050128,20.860767,21.63879,24.225719,24.021489
20041026,BMO,20041026,19.557577,19.19774,19.353344,19.897961
20041013,AMC,20041014,27.522595,27.425344,19.956314,19.868786
20040719,BMO,20040719,23.428245,23.039234,23.496322,24.303522
20040714,AMC,20040715,20.063291,19.431147,23.428245,23.039234
20040428,BMO,20040428,25.402481,24.916217,25.042645,23.992312
20040414,AMC,20040415,30.663868,31.616945,27.143309,25.791493
20040129,BMO,20040129,28.271444,28.286031,27.80463,26.404186
20040121,AMC,20040122,35.229894,33.839176,29.05433,29.068918
20031020,BMO,20031020,37.855725,36.314266,37.714708,37.836274
20031015,BMO,20031015,35.891214,36.683829,38.244739,37.855725
20030716,AMC,20030717,23.826982,23.681103,26.506301,26.734846
20030416,AMC,20030417,8.60689,8.655516,10.692966,11.412638
20030415,BMO,20030415,8.101174,8.407521,8.60689,8.655516
20030123,BMO,20030123,8.621477,8.995901,8.5534,7.999059
20030122,AMC,20030123,8.621477,8.995901,8.5534,7.999059
20021021,BMO,20021021,9.204996,9.57942,10.031645,9.632908
20021016,AMC,20021017,8.023372,7.610046,9.204996,9.57942
20020722,BMO,20020722,7.298837,7.332875,7.410678,6.997353
20020717,AMC,20020718,7.148095,7.293974,7.298837,7.332875
20020422,BMO,20020422,9.900355,9.730162,9.428677,8.679829
20020417,AMC,20020418,11.096566,11.213269,9.900355,9.730162
20020128,BMO,20020128,7.692711,7.717025,7.755926,7.517656
20020123,AMC,20020124,6.229054,6.627791,7.692711,7.717025
20011024,BMO,20011024,5.684437,5.664986,5.796278,5.981059
20011017,AMC,20011018,6.078312,5.733064,5.460755,5.485068
20010719,NaN,20010720,11.743298,11.932942,11.976705,11.704397
20010718,AMC,20010719,12.647751,11.743298,11.932942,11.976705
20010423,NaN,20010424,12.929785,12.60885,12.010744,12.37058
20010418,AMC,20010419,11.179231,13.027038,13.104841,12.929785
20010124,AMC,20010125,21.821139,22.459362,15.134996,15.955568
20010122,NaN,20010123,20.423128,20.058429,21.821139,22.459362
20001023,NaN,20001024,30.148427,30.02686,28.233758,24.404422
20001018,AMC,20001019,29.783728,27.352403,30.634691,30.148427
20000720,BMO,20000720,32.397402,29.175897,34.646377,33.461106
20000719,AMC,20000720,32.397402,29.175897,34.646377,33.461106
20000424,NaN,20000425,47.471615,43.338363,45.526555,43.763845
20000419,AMC,20000420,48.626494,51.300952,47.471615,43.338363
20000127,NaN,20000128,23.523067,34.129721,28.674441,32.54936
20000126,AMC,20000127,24.936269,23.523067,34.129721,28.674441
19991021,NaN,19991022,13.858551,13.189937,12.399756,12.703672
19991013,AMC,19991014,13.189937,11.244877,13.129153,12.536513
19990714,AMC,19990715,12.126232,13.220328,16.776141,16.008756
19990414,AMC,19990415,4.893041,5.622438,5.166565,5.500872
