EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,AMC,20150429,60.040001,60.299999,61.380001,60.91
20150205,AMC,20150206,56.34,55.849998,50.139999,49.169998
20141030,AMC,20141031,57.889999,58.709999,52.639999,53.529999
20140724,AMC,20140725,61.110001,61.119999,55.75,54.799999
20140501,AMC,20140502,50.18,50.549999,53.209999,52.950001
20140206,AMC,20140207,47.43,49.700001,47.130001,45.639999
20131106,AMC,20131107,40.310001,40.110001,44.959999,44.880001
20130725,AMC,20130726,42.48,41.959999,37.049999,36.610001
20130502,AMC,20130503,47.16,47.799999,46.169998,45.439999
20130124,AMC,20130125,35.119999,38.349998,40.790001,40.150002
20121023,AMC,20121024,33.41,31.870001,25.66,25.82
20120724,AMC,20120725,27.01,27.110001,29.67,30.139999
20120419,AMC,20120420,87.260002,83.75,66.529999,65.120003
20120124,AMC,20120125,60.490002,62.25,67.809998,68.889999
20111020,AMC,20111021,61.189999,63.599998,67.5,69.309998
20110726,AMC,20110727,66.699997,66.019997,72.239998,71.82
20110421,BMO,20110421,58.630001,60.0,61.73,61.080002
20110120,AMC,20110121,40.650002,39.400002,43.650002,44.259998
20101019,AMC,20101020,32.970001,32.790001,32.810001,34.110001
20100720,AMC,20100721,31.34,31.98,30.790001,31.610001
20100420,AMC,20100421,30.620001,31.24,34.779999,35.66
20100126,AMC,20100127,25.15,25.360001,24.530001,25.610001
20091015,AMC,20091016,20.610001,20.709999,22.25,22.120001
20090716,AMC,20090717,12.55,13.04,13.61,14.46
20090416,AMC,20090417,8.68,9.16,10.75,10.16
20090122,AMC,20090123,6.42,5.77,7.25,7.51
20081016,AMC,20081017,8.15,7.73,8.02,8.19
20080717,AMC,20080718,8.084995,8.600848,9.751595,9.969841
20080417,AMC,20080418,10.537106,10.349999,11.718837,11.640055
20080124,AMC,20080125,24.139194,24.413615,18.591981,19.581855
20071018,AMC,20071019,32.77482,32.911626,33.263413,33.644515
20070719,AMC,20070720,28.021786,28.089989,31.354001,32.34782
20070419,NaN,20070420,27.184106,27.592013,26.174051,25.84384
20070125,AMC,20070126,20.929321,20.435156,22.654051,23.555175
20061019,AMC,20061020,17.421721,17.169794,17.915886,18.43912
20060720,AMC,20060721,13.18741,13.032378,13.516853,13.97226
20060420,AMC,20060421,14.679593,15.018726,15.009036,14.94121
20060126,AMC,20060127,11.63709,11.918086,11.414231,11.482058
20051020,AMC,20051021,9.89298,9.757327,10.551866,10.590624
20050721,AMC,20050722,23.080389,23.012563,17.402342,16.888799
20050421,AMC,20050422,18.506946,18.875146,19.282105,19.40807
20050127,AMC,20050128,19.601859,19.97975,20.057266,20.725841
20041021,AMC,20041022,15.386927,15.115621,15.764817,15.89078
20040722,AMC,20040723,13.342442,13.18741,12.499455,12.111875
20040422,AMC,20040423,15.600096,16.423704,15.541959,15.251273
20040212,AMC,20040213,16.472151,16.569046,16.084571,15.987676
