EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150508,NaN,20150511,13.19,14.02,14.27,14.34
20150430,AMC,20150501,13.4,13.2,12.93,13.49
20150226,AMC,20150227,10.64,10.69,11.15,11.18
20141027,AMC,20141028,12.03,12.15,11.76,11.59
20140722,BMO,20140722,14.86,14.84,16.68,16.559999
20140501,BMO,20140501,15.3,15.13,15.55,15.17
20140219,NaN,20140220,15.21,15.05,15.81,15.49
20131030,AMC,20131031,13.04,13.04,12.17,12.38
20130724,AMC,20130725,17.309999,16.98,13.55,13.73
20130424,AMC,20130425,15.54,15.69,16.34,15.93
20130220,AMC,20130221,14.7,14.61,14.9,15.43
20121024,AMC,20121025,16.41,16.190001,12.76,12.73
20120725,AMC,20120726,13.92,13.89,16.24,15.79
20120425,AMC,20120426,21.49,22.040001,20.26,19.93
20120223,AMC,20120224,20.190001,20.42,19.41,19.43
20111027,AMC,20111028,16.450001,17.0,17.24,17.67
20110727,AMC,20110728,27.15,26.76,30.92,31.33
20110428,AMC,20110429,20.73,21.290001,20.110001,20.18
20110224,AMC,20110225,17.15,18.09,17.690001,17.65
20101104,AMC,20101105,14.13,14.8,14.46,15.82
20100805,AMC,20100806,12.4,12.58,13.95,13.97
20100506,AMC,20100507,9.82,9.59,9.84,10.21
20100225,AMC,20100226,7.61,7.79,7.05,7.22
20091105,AMC,20091106,6.31,6.84,5.75,5.46
20090806,AMC,20090807,4.06,4.27,5.49,5.99
20090507,AMC,20090508,3.7,3.48,2.52,2.72
20090219,AMC,20090220,1.18,1.21,1.15,1.15
20081112,AMC,20081113,2.15,1.9,1.05,1.14
20080807,AMC,20080808,4.3,4.32,4.46,4.57
20080724,AMC,20080725,9.88,8.95,4.95,4.4
20080507,AMC,20080508,10.02,9.96,11.4,11.14
20080414,AMC,20080415,17.950001,17.790001,10.11,9.73
20080219,AMC,20080220,33.43,32.080002,27.440001,26.120001
20071031,NaN,20071101,72.089996,74.75,47.740002,47.52
20070726,NaN,20070727,49.25,50.59,55.419998,57.040001
20070503,NaN,20070504,28.6,28.705,34.424999,34.724998
20070220,NaN,20070221,27.584999,28.0,26.99,26.225
20061102,NaN,20061103,18.91,18.75,19.5,20.635
20060803,NaN,20060804,13.895,14.5,13.705,13.22
20060504,NaN,20060505,15.75,16.174999,15.925,14.5
