EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,BMO,20150428,115.589996,116.089996,112.970001,114.410004
20150224,BMO,20150224,112.211978,111.095148,112.680651,115.323164
20141028,BMO,20141028,112.046969,109.979386,109.949566,107.514198
20140729,BMO,20140729,109.656209,110.092528,108.912475,108.436481
20140428,BMO,20140428,104.936674,104.08603,103.690377,103.16614
20140221,BMO,20140221,100.608992,100.510329,100.826057,101.023385
20131029,BMO,20131029,103.498647,101.609341,105.761883,104.659784
20130730,BMO,20130730,91.284279,90.410605,92.030341,90.449872
20130430,BMO,20130430,81.197697,81.501182,82.842405,82.480175
20130226,BMO,20130226,72.911063,71.05657,74.023761,75.458558
20120731,BMO,20120731,65.146669,66.097152,63.478478,63.720948
20120501,BMO,20120501,61.702758,61.586718,62.215251,61.896154
20120228,BMO,20120228,60.418043,60.35058,59.512111,57.825533
20111025,BMO,20111025,51.774651,52.168342,50.564785,51.419374
20110727,BMO,20110727,49.742469,48.689821,47.991245,47.914687
20110426,BMO,20110426,49.363321,49.611329,49.344243,50.317202
20110217,BMO,20110217,46.848895,47.276609,44.786363,46.905921
20101026,BMO,20101026,48.834158,49.364549,46.684166,46.949362
20100727,BMO,20100727,46.520992,46.993094,45.652321,46.133868
20100427,BMO,20100427,44.813081,44.897776,44.163753,44.662512
20100211,BMO,20100211,41.406106,41.049803,38.752592,39.183905
20091027,BMO,20091027,43.078032,42.919178,42.00342,41.255862
20090728,BMO,20090728,37.353142,37.651222,37.297254,38.098345
20090428,BMO,20090428,35.184478,34.720426,35.444347,36.149709
20090212,BMO,20090212,31.371864,31.639764,30.115511,30.374174
20081023,BMO,20081023,38.033823,35.816564,36.984996,34.767736
20080724,BMO,20080724,40.362049,40.637307,40.462974,40.178543
20080424,BMO,20080424,43.566056,43.218408,42.843312,43.456272
20080212,BMO,20080212,43.469307,43.770351,43.86158,43.441936
20071022,BMO,20071022,41.986699,41.540809,42.205097,42.305196
20070724,BMO,20070724,39.658786,39.921969,39.649709,39.350228
20070424,BMO,20070424,40.404953,40.269186,39.825671,39.979542
20070212,BMO,20070212,39.718837,39.655648,39.809106,39.628568
20061020,BMO,20061020,40.419006,40.428011,40.500042,40.382989
20060725,BMO,20060725,37.02646,37.888793,37.502539,37.852862
20060421,BMO,20060421,34.063857,34.64622,34.054896,34.404317
20060210,BMO,20060210,31.286568,31.304441,30.920173,30.249938
20051021,BMO,20051021,29.023664,28.622661,29.094955,29.4514
20050725,BMO,20050725,28.252149,28.349906,29.834055,29.771846
20050421,BMO,20050421,29.328262,28.902829,29.372577,28.583754
20050203,BMO,20050203,29.982624,29.973786,29.434593,29.673253
20041021,BMO,20041021,28.32828,28.592783,28.43408,28.231295
20040722,BMO,20040722,27.51606,27.533646,27.155509,26.689434
20040422,BMO,20040422,24.603955,24.8671,25.586359,25.691618
20040206,BMO,20040206,23.361062,23.658432,24.130727,23.947056
20031021,BMO,20031021,23.518983,23.981166,23.21377,22.934715
20030722,BMO,20030722,21.11397,21.305282,21.200929,21.33137
20030422,BMO,20030422,22.023871,21.937145,22.548558,22.552894
20030218,BMO,20030218,20.302252,20.492479,21.22744,21.089094
20021022,BMO,20021022,19.791923,20.65394,19.835025,20.149661
20020723,BMO,20020723,15.993217,15.782666,15.924466,17.939731
20020423,BMO,20020423,18.862975,18.545952,18.254631,18.464552
20020214,BMO,20020214,18.381044,18.351143,18.261438,18.95345
20011018,BMO,20011018,15.457985,14.866394,14.82809,14.687639
20010719,BMO,20010719,17.226152,17.068856,16.809528,16.745758
20010419,BMO,20010419,17.616433,17.798657,17.366404,17.006194
20010214,BMO,20010214,17.975828,17.468872,17.937806,17.891335
20001019,BMO,20001019,14.766509,14.6349,14.687544,14.792831
20000726,BMO,20000726,14.87579,15.190621,14.639666,14.888912
20000420,BMO,20000420,14.88025,14.906402,15.324827,15.874011
20000228,BMO,20000228,12.144403,12.144403,11.935915,11.779549
19991021,BMO,19991021,14.391565,14.079834,13.923969,14.131789
19990722,BMO,19990722,17.378174,17.507669,17.404073,17.48177
19990422,BMO,19990422,16.974811,16.81979,16.638932,16.483911
