EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,34.41671,34.744301,36.352465,35.17116
20150209,AMC,20150210,32.32497,31.940733,31.428421,30.8767
20141022,AMC,20141023,29.002183,29.099998,28.200099,28.209881
20140723,AMC,20140724,28.940898,28.707973,28.882667,28.669153
20140424,AMC,20140425,27.425893,27.56076,28.398853,28.601152
20140204,AMC,20140205,26.263972,26.646271,27.085916,27.315295
20131022,AMC,20131023,29.466772,29.238863,27.539039,26.80783
20130724,AMC,20130725,26.163298,26.059587,27.087263,27.172117
20130424,AMC,20130425,21.424907,21.434259,20.957318,20.517786
20130205,AMC,20130206,19.881205,20.020171,20.029435,19.67739
20121024,AMC,20121025,17.22921,17.091377,18.065401,17.835678
20120725,AMC,20120726,15.508706,15.745898,15.964844,16.037826
20120425,AMC,20120426,15.428921,15.718666,15.736774,15.890701
20120207,AMC,20120208,14.461678,14.497629,15.459346,15.225658
20111026,AMC,20111027,11.105699,11.434955,12.315936,12.182454
20110727,AMC,20110728,13.070553,12.858884,12.902982,12.841246
20110426,AMC,20110427,14.289798,14.456163,15.769563,15.594443
20110207,AMC,20110208,15.350053,15.332659,15.454417,15.437023
20101028,AMC,20101029,16.232994,15.83538,16.1552,15.610642
20100728,AMC,20100729,14.042614,13.853315,14.447029,14.472841
20100428,AMC,20100429,13.247147,13.846178,14.804627,14.727609
20100208,AMC,20100209,9.785231,10.057515,10.644629,10.882878
20091028,AMC,20091029,11.32292,10.933932,11.32292,10.51112
20090730,AMC,20090731,9.444397,9.537071,9.562347,9.486522
20090429,AMC,20090430,7.013683,7.340486,7.357245,7.474559
20090204,AMC,20090205,7.403129,7.261721,8.251578,8.709075
20081029,AMC,20081030,5.102259,5.218031,6.127672,6.582493
20080730,AMC,20080731,11.160961,11.18558,11.374332,11.686182
20080430,AMC,20080501,13.943366,13.796593,13.551974,13.935212
20080206,AMC,20080207,14.8066,14.74987,14.92006,14.895746
20071031,AMC,20071101,16.265505,16.676576,13.678176,13.178444
20070801,AMC,20070802,14.297384,14.754451,15.259632,14.377572
20070502,AMC,20070503,17.003306,17.370342,17.346405,17.274593
20070206,AMC,20070207,15.802125,15.857682,17.214872,16.794222
20061101,AMC,20061102,15.902073,15.459911,14.56769,15.025644
20060802,AMC,20060803,13.192193,13.137225,14.448592,13.584817
20060503,AMC,20060504,13.974755,13.771883,13.522194,13.654841
20060208,AMC,20060209,14.648684,14.648684,14.41592,14.501267
20051102,AMC,20051103,15.143064,15.420777,14.950208,14.957922
20050803,AMC,20050804,15.194653,14.903039,14.86467,14.964432
20050504,AMC,20050505,12.863046,13.04615,12.847787,12.870676
20050209,AMC,20050210,13.958114,13.601575,13.586403,14.102247
20041103,AMC,20041104,13.036915,13.27834,13.504674,13.572575
20040804,AMC,20040805,12.657616,12.627622,12.612625,12.447656
20040505,AMC,20040506,11.238192,11.238192,11.543739,11.364882
20040217,BMO,20040217,11.161915,11.028682,11.147111,11.147111
20031030,AMC,20031031,9.546202,9.597605,9.729783,9.891335
20030804,NaN,20030805,11.186085,10.981907,10.653762,10.799604
20030501,AMC,20030502,10.697896,10.828269,10.690653,10.632709
20030206,AMC,20030207,10.197626,10.176067,9.92454,10.061083
20021104,NaN,20021105,10.7075,10.771745,10.786021,11.100108
20020805,NaN,20020806,11.418639,10.993099,10.851253,10.929268
20020502,AMC,20020503,16.722836,16.574658,16.48293,16.137184
20020207,AMC,20020208,13.948149,14.172892,15.27554,15.142098
20011106,AMC,20011107,13.845862,13.908734,13.335899,13.210154
20010806,AMC,20010807,14.630969,14.241922,13.060884,13.568036
20010426,NaN,20010427,11.011416,10.976854,11.681916,11.72339
20010208,AMC,20010209,10.986023,10.848698,11.473527,11.844306
20001031,AMC,20001101,11.261842,11.475135,11.005891,11.304501
20000801,AMC,20000802,9.448403,9.617881,9.363664,9.490772
20000504,AMC,20000505,9.769015,9.937447,9.937447,9.895339
20000201,AMC,20000202,12.501367,12.334124,12.292314,12.334124
19991104,AMC,19991105,19.933291,20.058135,20.474278,20.39105
19990805,AMC,19990806,19.954597,20.037568,21.240652,20.991738
19990715,AMC,19990716,19.124884,19.207855,17.589915,17.9218
