EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150501,BMO,20150501,53.619999,52.650002,54.889999,55.189999
20150130,BMO,20150130,53.348629,53.926989,55.283138,55.991132
20141031,BMO,20141031,51.449307,51.648107,51.687868,52.015889
20140731,BMO,20140731,50.070828,50.011376,47.018819,46.820635
20140501,BMO,20140501,46.048826,46.315518,45.940173,46.167358
20140131,BMO,20140131,41.930943,42.649984,41.714244,39.488173
20131025,BMO,20131025,35.776018,36.198183,37.219234,37.582491
20130725,BMO,20130725,34.111318,33.280048,34.130878,34.267792
20130502,NaN,20130503,30.444497,30.921867,31.3213,31.954544
20130430,BMO,20130430,30.278879,30.571146,31.038774,30.444497
20130301,BMO,20130301,27.597263,27.665212,27.44195,27.539021
20130201,BMO,20130201,26.927473,26.840109,26.0053,25.752916
20121026,BMO,20121026,23.729697,23.874687,24.097001,24.628623
20120727,BMO,20120727,23.833967,24.180362,23.920566,23.833967
20120501,BMO,20120501,25.130346,24.977053,24.258496,23.817782
20120127,BMO,20120127,26.395227,26.099082,24.857179,24.465502
20111027,BMO,20111027,24.952477,25.695336,27.619153,27.695344
20110728,BMO,20110728,30.506141,28.98748,27.810514,27.924415
20110503,BMO,20110503,35.172525,35.125184,33.260048,32.673048
20110126,BMO,20110126,33.429864,33.656701,31.898727,32.144463
20101027,BMO,20101027,29.211801,29.343897,28.853259,28.824953
20100726,AMC,20100727,27.411027,28.343888,27.392181,27.250839
20100510,AMC,20100511,26.143396,28.185555,31.413483,32.166352
20100121,BMO,20100121,28.945959,29.547628,26.623889,25.373544
20091022,BMO,20091022,30.191596,29.778396,28.839311,29.956823
20090720,AMC,20090721,22.71273,23.397585,24.382647,24.692238
20090505,BMO,20090505,19.405151,21.110483,17.456203,18.468157
20090128,BMO,20090128,17.388583,17.810014,16.509077,15.345562
20081029,BMO,20081029,12.566135,11.734419,15.296331,18.767839
20080725,BMO,20080725,36.107503,34.32009,35.487745,31.930888
20080506,BMO,20080506,58.009476,56.122622,50.34582,50.086489
20080130,BMO,20080130,64.192132,63.488289,64.307951,64.103032
20071024,BMO,20071024,72.96042,74.114994,71.512753,70.757839
20070724,BMO,20070724,88.251934,87.29556,84.435295,84.364451
20070509,BMO,20070509,92.821469,93.519309,90.984118,87.141587
20070125,BMO,20070125,89.597334,91.342561,92.937953,91.457151
20061024,NaN,20061025,76.198209,76.075082,77.024923,78.977371
20060725,BMO,20060725,83.549743,82.786215,75.75645,73.062146
20060510,BMO,20060510,101.745122,102.069231,94.658437,92.135616
20060201,BMO,20060201,114.378763,113.460231,118.621499,117.484269
20051025,BMO,20051025,92.239999,95.821285,90.388215,94.755639
20050726,BMO,20050726,97.730415,97.68681,90.082557,89.550607
20050504,BMO,20050504,62.296059,61.416816,69.182058,69.060183
20050124,BMO,20050124,60.955001,61.432905,65.169279,65.838348
20041021,BMO,20041021,46.951323,46.509121,51.763508,53.202828
20040719,BMO,20040719,47.978029,47.730152,43.550883,46.064205
20040505,BMO,20040505,51.952871,52.085226,52.039192,51.204766
20040121,BMO,20040121,48.319954,48.980684,51.681094,50.853737
20031022,BMO,20031022,43.878794,43.81572,43.953343,44.956848
20030717,BMO,20030717,40.287002,40.241225,39.485843,40.155384
20030506,BMO,20030506,31.255706,31.335691,32.82678,33.278097
20030121,AMC,20030122,28.506523,28.033413,27.446291,28.301316
20021023,BMO,20021023,26.993573,25.554596,26.45325,26.658005
20020718,AMC,20020719,24.609248,24.217814,23.712926,23.088895
20020507,BMO,20020507,29.166384,28.317042,28.883274,30.547982
20020117,AMC,20020118,27.525147,28.118606,28.491636,28.689452
20011019,BMO,20011019,24.384749,23.690943,23.250968,24.424237
20010720,BMO,20010720,28.216128,27.80541,27.850418,28.041716
20010508,BMO,20010508,28.16253,28.224309,26.393597,26.702462
20010118,BMO,20010118,30.267585,30.337645,30.793064,30.232549
20001019,BMO,20001019,28.956886,28.117556,29.306611,29.866156
20000718,BMO,20000718,31.217403,30.204762,29.68098,29.227031
20000508,BMO,20000508,20.916224,20.567617,20.776779,22.554658
20000118,BMO,20000118,20.354705,21.259356,21.885655,21.18977
19991019,NaN,19991020,17.704424,17.496137,18.051572,17.391993
19990719,NaN,19990720,20.267276,20.752302,20.128694,19.955472
