EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,AMC,20150430,57.23,58.23,56.490002,57.490002
20150204,AMC,20150205,53.021979,53.012016,53.589965,55.602828
20141029,AMC,20141030,51.735731,51.944222,52.520058,54.366696
20140730,AMC,20140731,51.673059,52.464831,51.851208,50.623962
20140430,AMC,20140501,47.490672,47.865622,47.855756,48.526724
20140205,AMC,20140206,46.084786,46.33065,47.294437,48.464749
20131030,AMC,20131031,44.578904,44.373017,44.520079,44.706354
20130731,AMC,20130801,40.258714,40.737749,43.445779,43.250256
20130501,AMC,20130502,33.146763,32.474278,31.168289,32.123415
20130206,AMC,20130207,28.564139,28.641812,28.331121,28.573849
20121101,AMC,20121102,23.964938,24.583636,24.361292,24.496632
20120801,AMC,20120802,19.319763,19.117412,20.562781,21.227651
20120502,AMC,20120503,23.922038,23.595654,22.789293,22.184523
20120207,AMC,20120208,22.633653,22.796348,23.341852,23.332282
20111102,AMC,20111103,17.139171,18.006615,18.607154,18.378378
20110802,AMC,20110803,24.988321,24.180715,24.199716,22.717519
20110427,AMC,20110428,28.54922,28.795825,30.009877,29.621
20110202,AMC,20110203,28.710941,28.085966,28.370045,29.26016
20101102,AMC,20101103,22.943334,23.605069,22.971693,23.538895
20100728,AMC,20100729,23.208079,22.763952,24.342025,24.606613
20100428,AMC,20100429,28.950559,29.186697,29.772321,28.893886
20100208,AMC,20100209,22.397851,22.190114,23.134374,23.096603
20091028,AMC,20091029,22.238474,21.001955,23.918631,22.49333
20090729,AMC,20090730,17.333059,17.031121,19.14468,19.993877
20090505,AMC,20090506,11.27783,11.042089,14.681923,14.993101
20090209,AMC,20090210,15.553323,16.730178,13.576205,13.924554
20081028,AMC,20081029,17.52328,19.241066,19.138371,16.533685
20081010,NaN,20081013,17.093833,22.35922,24.627816,28.343462
20080729,AMC,20080730,40.17703,43.152082,44.211313,43.934993
20080429,AMC,20080430,47.856898,47.866026,49.061534,50.631212
20080204,AMC,20080205,50.802574,50.087044,46.563742,47.45136
20071030,AMC,20071031,60.118499,59.570087,56.072837,54.445585
20070731,AMC,20070801,54.730588,53.908376,53.62239,54.301605
20070501,AMC,20070502,63.234599,62.914648,64.034476,64.389971
20070206,AMC,20070207,60.183486,60.439737,62.224651,61.853531
20061031,AMC,20061101,56.279297,55.603032,54.935547,55.497637
20060808,AMC,20060809,49.615191,49.44931,49.588998,50.060443
20060502,AMC,20060503,49.677696,50.024545,50.596849,50.319368
20060213,AMC,20060214,47.090058,46.823042,48.399312,48.003092
20060206,AMC,20060207,45.531015,45.367356,45.358744,45.470721
20051101,AMC,20051102,43.286891,42.825026,42.611201,42.653965
20051027,AMC,20051028,41.909852,41.773004,42.50001,43.286891
20050801,AMC,20050802,41.018009,41.068965,42.291861,42.945771
20050728,AMC,20050729,40.406563,40.873641,41.018009,41.068965
20050502,AMC,20050503,38.190061,38.01172,36.304761,37.46821
20050427,AMC,20050428,36.618976,37.13701,37.035102,38.190061
20050209,AMC,20050210,39.637758,39.317622,41.112064,41.533294
20050207,AMC,20050208,39.587213,39.688307,39.637758,39.317622
20041102,AMC,20041103,35.914521,36.223768,37.226734,37.96224
20041027,AMC,20041028,36.198695,36.399286,36.424363,36.608237
20040728,AMC,20040729,35.233515,35.200329,35.789351,36.253934
20040504,AMC,20040505,36.823545,36.329602,37.762039,37.416279
20040427,AMC,20040428,38.642906,38.807555,37.506836,37.424511
20040209,AMC,20040210,36.352879,36.630819,37.750752,38.216709
20040202,AMC,20040203,36.091289,36.508197,37.170349,36.181208
20031029,AMC,20031030,30.960312,31.017045,30.976521,32.36244
20031027,AMC,20031028,30.506442,30.384872,30.960312,31.017045
20030807,BMO,20030807,28.098646,28.275368,28.114712,28.411924
20030728,AMC,20030729,30.894052,30.701267,30.010448,29.978316
20030430,BMO,20030430,26.202686,25.597581,25.446303,25.557769
20030428,AMC,20030429,25.263179,26.202686,25.597581,25.446303
20030211,BMO,20030211,22.807087,23.208593,22.720489,22.610271
20030203,AMC,20030204,25.389319,24.373746,23.814788,23.64159
20021030,BMO,20021030,22.669502,21.624896,22.802026,23.784268
20021029,AMC,20021030,22.669502,21.624896,22.802026,23.784268
20020801,BMO,20020801,27.894512,28.248678,26.83201,26.062081
20020729,AMC,20020730,25.977391,27.79442,27.894512,28.248678
20020429,AMC,20020430,37.184568,37.092906,36.58876,36.153362
20020423,BMO,20020423,39.575442,39.269898,37.505387,37.818568
20020204,AMC,20020205,38.750714,38.447086,37.171842,37.634877
20011029,AMC,20011030,33.062664,32.248163,32.579998,31.938954
20011023,NaN,20011024,31.878623,31.946498,32.263246,32.821331
20010730,AMC,20010731,36.840234,37.986576,38.233825,38.143917
20010724,BMO,20010724,36.07601,35.40169,36.038545,35.978607
20010430,AMC,20010501,33.992659,34.379956,35.266266,34.893866
20010424,BMO,20010424,32.860563,32.510509,31.989149,33.002077
20010206,BMO,20010206,33.616389,34.533534,34.208096,34.045376
20010205,AMC,20010206,33.616389,34.533534,34.208096,34.045376
20001026,AMC,20001027,34.511501,33.501856,34.098465,35.42936
20001024,BMO,20001024,32.675783,32.492211,34.006679,34.511501
20000802,AMC,20000803,32.382946,32.428556,32.702215,33.386361
20000725,BMO,20000725,31.60758,31.790019,33.067093,32.793434
20000428,BMO,20000428,23.034339,22.446036,25.206536,25.297044
20000425,BMO,20000425,24.075183,25.025519,24.210946,23.034339
20000203,AMC,20000204,27.585767,26.912943,25.97099,24.580488
20000201,NaN,20000202,26.509249,27.047508,27.585767,26.912943
19991028,AMC,19991029,32.217812,33.686303,32.840808,32.707309
19991019,BMO,19991019,27.767838,29.992825,29.948325,29.681327
19990921,BMO,19990921,31.814252,28.7212,28.235149,27.793284
19990728,AMC,19990729,37.160814,36.674763,35.96778,35.349169
19990720,BMO,19990720,38.884086,38.398035,37.823611,36.144526
19990428,AMC,19990429,33.762952,33.938801,34.092668,33.784933
19990422,BMO,19990422,32.444087,33.235406,33.543141,34.466347
