EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,BMO,20150429,122.868871,122.073544,123.962459,121.218561
20150128,BMO,20150128,123.107566,121.802539,121.239005,120.072389
20141029,BMO,20141029,123.458426,123.645315,120.605828,120.664844
20140723,BMO,20140723,128.695088,128.900647,128.372076,126.492746
20140423,BMO,20140423,129.442753,128.546621,128.28362,127.260855
20140129,BMO,20140129,121.870505,121.831736,123.411579,121.628199
20131030,BMO,20131030,119.642231,120.240252,120.085921,120.288474
20130724,BMO,20130724,112.285013,112.275414,113.292608,114.386573
20130424,BMO,20130424,104.776512,104.642857,107.659653,107.70739
20130123,BMO,20130123,107.79971,108.274515,105.188283,105.520652
20121024,BMO,20121024,99.435874,99.143022,98.802941,98.98243
20120725,BMO,20120725,99.869643,98.488306,96.731101,98.178216
20120425,BMO,20120425,105.314207,105.089877,106.34239,107.800549
20120125,BMO,20120125,101.940313,101.465997,98.648015,99.001423
20111026,BMO,20111026,95.871298,94.066774,96.537587,97.703591
20110727,BMO,20110727,96.764135,95.677725,93.624599,94.066524
20110427,BMO,20110427,97.861833,99.06209,97.211315,98.200838
20110126,BMO,20110126,83.351948,83.169634,83.397521,83.780376
20101027,BMO,20101027,85.068519,84.823577,82.111039,82.482989
20100728,BMO,20100728,77.300579,77.463032,77.869162,77.444978
20100428,BMO,20100428,79.2058,77.536804,75.67936,75.652442
20100127,BMO,20100127,70.85686,70.169971,68.483959,67.930882
20091028,BMO,20091028,72.937795,72.378507,70.922592,73.106464
20090729,BMO,20090729,68.012345,67.464859,64.912851,66.784909
20090429,BMO,20090429,63.265741,62.782599,62.94072,65.540922
20090128,BMO,20090128,52.211923,51.767159,55.813648,55.020048
20081029,BMO,20081029,43.36005,49.804291,53.450831,55.356387
20080723,BMO,20080723,79.480069,79.307564,82.507473,79.937197
20080423,BMO,20080423,80.525154,79.983905,78.497634,78.489041
20080123,BMO,20080123,67.560071,66.02092,64.096984,66.414257
20071024,BMO,20071024,69.605506,70.738752,73.934011,72.451413
20070725,BMO,20070725,66.112802,65.510234,64.848258,65.017993
20070425,BMO,20070425,54.343023,54.588079,55.720404,55.940104
20070124,NaN,20070125,52.055828,53.123683,52.375344,52.425792
20061025,NaN,20061026,49.830582,49.838955,50.27445,49.537462
20060726,BMO,20060726,43.74496,44.311993,46.321627,45.337656
20060426,BMO,20060426,45.713955,45.282299,46.668578,46.668578
20060125,BMO,20060125,43.37314,44.133346,42.844298,43.273981
20051026,BMO,20051026,39.199213,39.396858,40.006259,39.858026
20050727,BMO,20050727,39.765708,38.904265,39.503174,41.004539
20050427,BMO,20050427,37.711881,36.97628,37.360426,36.820985
20050126,BMO,20050126,33.435974,33.549951,34.127976,34.665299
20041027,BMO,20041027,33.918684,34.486701,34.121547,33.951143
20040728,BMO,20040728,30.899861,31.328351,31.279842,31.950877
20040428,BMO,20040428,30.397571,30.276784,29.632598,29.238035
20040127,AMC,20040128,28.7886,29.349935,28.876807,28.387644
20031029,BMO,20031029,26.425769,26.345871,27.444448,27.999728
20030723,BMO,20030723,25.672611,25.521313,24.884276,24.263164
20030421,BMO,20030421,22.336334,22.879864,23.006821,23.177417
20030129,BMO,20030129,20.580292,21.153174,21.236143,20.983285
20021023,BMO,20021023,21.761576,21.186624,20.79282,20.15092
20020724,BMO,20020724,17.929382,17.897989,19.734486,20.986285
20020422,BMO,20020422,23.070338,23.050787,22.339126,21.72913
20020123,BMO,20020123,19.096131,19.142906,20.175866,21.142563
20011024,BMO,20011024,18.723386,18.742814,18.46307,18.742814
20010723,BMO,20010723,17.85243,17.538822,17.442029,17.031629
20010423,BMO,20010423,18.43678,17.827109,17.830967,18.32102
20010123,NaN,20010124,15.375173,15.855647,15.639434,15.855647
20001019,BMO,20001019,13.542409,13.949159,12.513568,12.322156
20000724,BMO,20000724,15.020755,15.16381,14.520064,14.639276
20000420,BMO,20000420,14.465002,14.631267,15.985134,16.032638
20000125,BMO,20000125,17.729571,18.438753,16.618518,16.240287
19991019,AMC,19991020,16.496543,16.308011,16.472977,17.156405
19990721,BMO,19990721,17.575915,17.763893,17.481926,17.270451
19990421,BMO,19990421,17.902591,17.45737,18.254082,17.761995
