EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150427,BMO,20150427,170.050003,169.919998,172.550003,172.929993
20150126,BMO,20150126,150.010299,149.481076,155.472301,156.950133
20141027,BMO,20141027,150.059196,150.707157,150.467917,153.937029
20140728,BMO,20140728,142.314347,142.115239,147.590399,146.23654
20140428,BMO,20140428,130.934634,128.538818,136.909247,137.227356
20140127,BMO,20140127,137.974593,134.669157,134.41108,136.713958
20131028,BMO,20131028,130.410039,131.867065,123.164481,127.020177
20130729,BMO,20130729,130.232009,129.885551,125.539858,125.421066
20130429,BMO,20130429,122.254527,121.908499,117.331125,118.290101
20130128,BMO,20130128,117.094476,117.321559,116.995747,117.686858
20121025,BMO,20121025,105.238556,104.804783,107.298961,107.259534
20120730,BMO,20120730,94.392663,97.070742,98.104564,97.91749
20120423,BMO,20120423,95.319222,96.489207,97.187264,97.138109
20120202,BMO,20120202,91.686067,94.719693,91.725338,92.147493
20111024,BMO,20111024,74.810292,76.153194,77.290244,76.947169
20110725,BMO,20110725,82.130705,82.659192,85.272262,84.362091
20110426,BMO,20110426,84.417228,84.192425,85.228456,84.446548
20110131,BMO,20110131,74.83268,73.8858,75.838127,77.029047
20101025,BMO,20101025,67.433155,67.745074,68.602851,68.651591
20100726,BMO,20100726,58.518546,60.3582,61.79878,61.156361
20100426,BMO,20100426,60.6908,62.099729,59.301305,59.291589
20100203,BMO,20100203,48.981487,49.854596,51.998565,51.494105
20091026,BMO,20091026,50.412079,50.557328,50.412079,49.191961
20090728,BMO,20090728,45.598923,45.067243,45.154245,45.308916
20090423,AMC,20090424,41.873149,40.030345,44.84479,43.73525
20090205,AMC,20090206,38.762674,38.040388,42.094819,42.181493
20081023,AMC,20081024,39.307552,40.413049,35.67384,36.471717
20080724,AMC,20080725,61.400201,60.06625,57.734232,58.56915
20080424,AMC,20080425,59.630948,59.621364,59.496753,59.420071
20080221,AMC,20080222,53.663056,54.256651,56.937414,56.085316
20071025,AMC,20071026,64.104597,65.299686,63.865579,65.404855
20070726,AMC,20070727,58.28229,56.553496,55.741633,58.817167
20070426,AMC,20070427,54.507881,54.507881,54.984932,53.486992
20070222,AMC,20070223,49.117133,49.002771,52.547897,52.47166
20061026,AMC,20061027,45.815984,47.215019,47.034189,46.120535
20060727,AMC,20060728,41.545511,41.355414,42.980738,42.961728
20060427,AMC,20060428,47.834661,47.559367,45.053245,45.499412
20060223,AMC,20060224,40.484923,40.153077,43.49996,42.883677
20051027,AMC,20051028,34.244579,32.871769,35.030398,35.693136
20050727,AMC,20050728,35.239531,35.239531,37.201219,36.279462
20050428,AMC,20050429,29.916836,29.137997,31.941814,32.682891
20050223,AMC,20050224,29.627695,29.717234,29.406207,30.018836
20041028,AMC,20041029,29.058085,28.695858,29.006338,28.681746
20040728,AMC,20040729,25.902295,25.629885,25.33869,26.301513
20040428,AMC,20040429,23.419173,22.926879,22.804976,22.762779
20040218,AMC,20040219,24.236809,24.119836,23.394604,22.809739
20031024,AMC,20031027,20.814496,20.501602,20.996628,22.136126
20030902,AMC,20030903,19.895112,20.365919,20.482456,20.678238
20030528,AMC,20030529,15.720464,15.697209,16.320447,17.06461
20030226,AMC,20030227,14.537409,14.421481,13.711999,13.378126
20021211,AMC,20021212,18.646103,18.215808,17.808648,17.318204
20020903,AMC,20020904,16.036382,15.43646,16.151752,16.017923
20020523,AMC,20020524,19.885992,20.272664,18.02168,18.035489
20020221,AMC,20020222,20.33269,19.432078,20.401615,20.378639
20011211,AMC,20011212,19.86713,20.637779,20.720346,20.564384
20010828,AMC,20010829,19.457736,18.40473,19.228822,19.297497
20010517,AMC,20010518,20.285109,20.787667,18.777431,20.143478
20010226,AMC,20010227,17.005366,17.310825,17.456715,17.680109
20001211,AMC,20001212,14.81189,14.897179,14.556023,14.641312
20000824,AMC,20000825,13.303497,13.388593,14.182832,14.32466
20000518,AMC,20000519,15.816409,15.505174,15.561762,14.939291
20000208,AMC,20000209,16.204147,16.006536,15.074939,14.962018
19991208,AMC,19991209,16.846788,16.903131,16.339694,15.945287
19991105,BMO,19991105,13.719708,13.74788,13.832396,14.170459
19990817,AMC,19990818,16.084814,16.084814,16.281656,16.112934
