EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,BMO,20150429,56.435912,56.7849,53.923221,53.713827
20150203,AMC,20150204,51.558159,52.214444,54.312569,55.525703
20141022,BMO,20141022,49.13365,50.263842,48.281047,48.786658
20140723,BMO,20140723,50.697072,50.351116,49.856896,50.153431
20140430,BMO,20140430,49.447224,49.486641,49.023503,48.580073
20140128,AMC,20140129,43.91071,44.008942,44.244706,45.177932
20131023,BMO,20131023,47.412637,47.677075,44.072892,43.730104
20130724,BMO,20130724,47.819415,48.014713,47.467873,46.501132
20130424,BMO,20130424,47.190415,47.443549,47.248829,46.674404
20130129,AMC,20130130,40.921084,40.765786,41.493747,41.63934
20121024,BMO,20121024,41.196848,40.993572,41.041973,41.419481
20120725,BMO,20120725,42.043597,41.676824,39.572714,39.39898
20120426,BMO,20120426,42.348509,42.839365,42.088643,42.406259
20120131,AMC,20120201,39.840082,39.888073,40.905428,40.646289
20111026,BMO,20111026,36.249701,35.53198,35.981749,36.795169
20110727,BMO,20110727,37.679289,37.230839,36.782388,36.496145
20110504,BMO,20110504,43.685211,43.466306,42.942845,42.267105
20110201,AMC,20110202,35.421604,36.123771,35.582911,35.715754
20101020,BMO,20101020,32.201804,31.832865,31.804482,31.880164
20100728,BMO,20100728,28.440427,28.138772,26.715337,26.677629
20100429,BMO,20100429,30.314202,30.102905,29.309363,28.328004
20100202,AMC,20100203,24.870618,25.268285,25.174717,24.959507
20091021,BMO,20091021,26.22961,25.614198,25.409061,25.837984
20090722,BMO,20090722,23.469929,23.223758,23.590694,23.804352
20090430,BMO,20090430,23.19339,23.40613,21.500712,21.685703
20090203,AMC,20090204,21.419657,22.207347,22.898304,23.612292
20081022,BMO,20081022,20.034129,19.767987,18.864018,19.965298
20080723,BMO,20080723,22.97767,23.448748,24.345169,23.444174
20080423,BMO,20080423,24.044107,23.907311,24.513771,24.117064
20080129,AMC,20080130,21.786524,21.550257,21.304903,21.518452
20071025,BMO,20071025,25.925269,25.164359,23.597247,24.195104
20070718,BMO,20070718,27.056647,27.584867,26.591632,26.817368
20070426,BMO,20070426,23.89732,24.095414,25.900768,26.202412
20070131,AMC,20070201,21.171999,21.014938,22.787497,22.877247
20061019,BMO,20061019,17.957492,18.01119,18.557119,18.570543
20060727,BMO,20060727,17.351419,17.239935,16.660217,16.669136
20060420,BMO,20060420,16.939745,17.295342,17.53537,17.468695
20060201,AMC,20060202,16.777405,16.396301,16.387438,15.939864
20051020,BMO,20051020,14.241817,14.476013,13.464107,14.175536
20050728,BMO,20050728,12.708644,12.724059,12.880413,12.646984
20050428,BMO,20050428,14.061334,13.885786,13.607104,13.424974
20050209,AMC,20050210,13.473814,13.169729,13.438811,13.751647
20041021,BMO,20041021,9.986039,10.097286,10.158362,9.962044
20040721,BMO,20040721,9.54114,9.632463,9.936875,9.688997
20040422,BMO,20040422,9.470028,9.366034,9.749515,9.697517
20040204,BMO,20040204,8.878558,8.711733,8.674902,8.7074
20031022,BMO,20031022,6.930822,6.815994,6.716332,6.729332
20030723,BMO,20030723,6.083697,6.222357,7.091147,7.130145
20030423,BMO,20030423,4.89859,4.89859,4.996084,5.130411
20030130,BMO,20030130,4.447945,4.229123,4.300619,4.441446
20021024,BMO,20021024,4.164126,4.194458,4.083963,3.997301
20020724,NaN,20020725,7.192975,7.125812,7.15181,7.036983
20020423,NaN,20020424,7.90144,8.772397,9.142878,8.772397
20020131,BMO,20020131,4.636436,4.913755,5.752213,6.120529
20011025,BMO,20011025,4.918089,4.820593,5.026417,4.82926
20010724,NaN,20010725,4.571439,5.195408,5.102246,5.078414
20010424,NaN,20010425,2.48071,2.545707,2.688699,2.775362
20010131,NaN,20010201,1.760329,1.814493,2.004067,2.125931
20001026,NaN,20001027,1.543673,1.563987,1.570755,1.726479
20000720,BMO,20000720,1.773874,1.773874,1.868657,1.868657
20000420,NaN,20000424,2.667571,2.667571,2.681117,2.599871
20000131,NaN,20000201,2.924854,2.924854,3.067033,2.951936
