EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150420,AMC,20150421,66.217841,67.014801,67.502948,68.568889
20141023,AMC,20141024,52.492832,53.233838,53.352398,53.559878
20140724,AMC,20140725,52.891751,53.235905,54.406035,54.111042
20140415,BMO,20140415,52.029278,52.557793,51.65736,52.097789
20140210,BMO,20140210,46.479882,47.174779,47.047543,47.311801
20131018,BMO,20131018,47.810902,48.256916,51.282063,50.603343
20130726,BMO,20130726,42.354124,42.431291,41.920068,41.958652
20130419,NaN,20130422,35.199613,36.628311,36.676253,37.414573
20130208,BMO,20130208,36.407774,36.263944,35.794107,35.842049
20121019,BMO,20121019,35.734231,35.49733,33.611595,33.668449
20120720,BMO,20120720,34.861442,35.012113,34.428265,33.750246
20120420,NaN,20120423,34.140335,35.8904,34.224563,34.364944
20120207,BMO,20120207,38.097247,37.752772,36.704605,36.25539
20111021,BMO,20111021,32.059678,32.050418,34.068613,33.920489
20111020,AMC,20111021,32.059678,32.050418,34.068613,33.920489
20110722,BMO,20110722,35.067903,35.9423,36.310468,35.89628
20110721,AMC,20110722,35.067903,35.9423,36.310468,35.89628
20110418,NaN,20110419,33.695425,33.027374,33.219552,33.86015
20110204,NaN,20110207,31.248764,30.730377,30.190444,30.428378
20101027,NaN,20101028,29.059689,28.878858,28.924066,29.213398
20100723,NaN,20100726,24.939147,26.627501,27.06755,26.825075
20100419,NaN,20100420,27.337221,28.26542,27.747771,27.810245
20100205,BMO,20100205,23.442862,23.026455,22.83903,22.294606
20091016,BMO,20091016,25.445835,25.560138,23.142169,23.106999
20090720,NaN,20090721,20.9893,21.277302,21.294758,21.408214
20090420,NaN,20090421,21.292259,19.535214,19.561181,19.76891
20090206,NaN,20090209,19.656389,20.262267,20.279578,20.123781
20081017,NaN,20081020,22.538705,21.772372,22.36841,21.780887
20080718,NaN,20080721,25.202691,26.531375,27.166095,27.132246
20080421,NaN,20080422,27.608831,27.541535,25.379599,25.455309
20080211,NaN,20080212,22.031545,23.461618,23.453205,23.50368
20071019,NaN,20071022,24.73273,24.716125,24.716125,24.483658
20070716,NaN,20070717,22.22541,22.546922,22.241899,22.283119
20070420,NaN,20070423,22.083228,22.943613,22.116004,22.107809
20070212,NaN,20070213,20.124825,20.952435,20.682028,20.665639
20061013,NaN,20061016,17.059779,18.418093,18.67682,18.903204
20060714,NaN,20060717,16.803247,17.116201,16.963736,16.819295
20060421,NaN,20060424,15.336247,16.180736,15.909862,16.371941
20060213,NaN,20060214,15.192843,14.173083,14.244783,14.372255
20051017,NaN,20051018,15.095196,14.044959,13.91172,14.037121
20050718,NaN,20050719,16.776008,15.446677,14.933601,14.723707
20050418,BMO,20050418,15.989423,15.819651,15.827368,15.827368
20050215,BMO,20050215,17.748877,17.818329,17.085223,17.332164
20041018,NaN,20041019,15.999179,16.433236,15.839263,16.151479
20040719,NaN,20040720,15.646234,16.016604,16.606171,16.24336
20040419,BMO,20040419,14.068866,14.023846,16.282368,15.922204
20040217,BMO,20040217,15.637075,15.592055,15.419476,15.126844
20031017,BMO,20031017,16.095302,16.11008,14.794671,15.001589
20030716,BMO,20030716,17.400499,16.974843,15.778605,15.338272
20030417,BMO,20030417,15.359022,15.220521,15.745367,15.468365
20030214,BMO,20030214,15.176784,15.526681,15.934895,15.85471
20021018,NaN,20021021,15.148164,15.861273,17.251476,17.287491
20020718,AMC,20020719,14.280498,13.707846,13.013506,12.934766
20020422,BMO,20020422,16.795321,16.759723,16.994673,16.973313
20020215,NaN,20020219,13.299559,13.95457,14.032885,14.310554
20011025,BMO,20011025,12.956652,12.76034,11.92601,11.743719
20010720,NaN,20010723,13.903735,14.133607,14.050017,14.029119
20010419,BMO,20010419,14.473458,14.037802,13.194151,12.260602
20010226,BMO,20010226,15.884153,15.73202,14.853792,14.867623
20001025,BMO,20001025,13.321636,13.150846,13.150846,13.150846
20000726,BMO,20000726,12.976051,13.145673,13.018457,13.145673
20000419,BMO,20000419,12.914309,13.166706,12.661912,11.904721
20000124,NaN,20000125,11.985897,11.73532,12.111185,11.693558
19991115,NaN,19991116,12.737625,12.779388,13.489354,13.990506
19990726,AMC,19990727,14.916745,15.081571,15.163984,14.916745
