EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150506,AMC,20150507,52.122788,52.251855,53.08582,53.522657
20150203,AMC,20150204,56.670951,57.084893,55.941619,56.611815
20141105,AMC,20141106,52.302506,53.026486,53.046053,53.251506
20140806,AMC,20140807,46.044668,45.937835,46.219484,47.074143
20140507,AMC,20140508,49.320895,49.735438,48.66534,48.597856
20140204,AMC,20140205,44.660114,44.746165,44.248985,45.013879
20131106,AMC,20131107,41.744704,42.37059,42.484387,43.129239
20130806,AMC,20130807,41.787227,41.467522,41.599168,41.476928
20130501,AMC,20130502,41.393407,40.693721,41.318776,41.50536
20130206,AMC,20130207,34.68366,34.739125,34.877784,34.942492
20121107,AMC,20121108,32.547301,31.67803,31.549928,31.952536
20120808,AMC,20120809,32.803031,32.975201,33.174557,33.473589
20120502,AMC,20120503,29.44741,29.178402,29.357742,29.079766
20120207,AMC,20120208,28.916944,29.15644,28.721801,28.517786
20111109,AMC,20111110,31.08292,30.134626,30.327797,31.039015
20110803,AMC,20110804,29.236107,29.270851,27.785593,27.212336
20110504,AMC,20110505,29.767723,29.423788,29.191631,29.406591
20110208,AMC,20110209,28.304431,28.508735,28.415096,28.704525
20101103,AMC,20101104,25.077577,25.094412,25.582663,25.5995
20100804,AMC,20100805,24.418786,24.568544,24.626783,24.585182
20100505,AMC,20100506,24.068405,23.657541,22.819378,22.457818
20100202,AMC,20100203,22.408337,22.46517,22.416456,22.213482
20091110,AMC,20091111,23.400472,23.456626,22.999367,22.558152
20090804,AMC,20090805,21.886765,21.950182,21.878838,21.688587
20090430,AMC,20090501,19.427021,19.325349,20.05269,20.623614
20090203,AMC,20090204,19.313904,19.190542,18.990078,19.583759
20081111,AMC,20081112,18.160761,17.697051,17.643837,17.86429
20080805,AMC,20080806,19.696769,20.297739,20.26769,19.959693
20080501,AMC,20080502,20.552358,20.864207,20.767681,21.116657
20080205,AMC,20080206,21.213322,20.787735,20.274094,20.149353
20071107,AMC,20071108,20.181561,19.53639,19.543638,19.427652
20070807,AMC,20070808,19.839842,19.975976,19.152003,18.965713
20070502,AMC,20070503,22.77022,22.699262,22.756028,22.748933
20070206,AMC,20070207,22.112294,22.252824,22.449566,22.737651
20061107,AMC,20061108,21.729899,21.757732,21.959514,22.154339
20060809,AMC,20060810,19.491446,19.856223,19.752984,19.656627
20060504,AMC,20060505,18.335432,18.532661,18.641476,18.859107
20060207,AMC,20060208,17.543459,17.550181,17.677891,17.724944
20051108,AMC,20051109,17.456593,17.277244,17.483162,17.403452
20050808,AMC,20050809,18.959294,18.571565,18.900149,19.156444
20050509,AMC,20050510,17.383215,17.753624,17.584665,17.851099
20050208,AMC,20050209,18.049122,18.318992,18.190482,18.325417
20041109,AMC,20041110,16.388116,16.527806,16.756388,16.74369
20040810,AMC,20040811,15.493124,15.856931,15.88202,15.637392
20040511,AMC,20040512,14.66488,14.794932,14.856861,14.83209
20040210,NaN,20040211,15.658521,16.001319,16.013562,16.068655
20031111,AMC,20031112,14.689273,14.695318,14.864577,14.937116
20030813,AMC,20030814,14.469706,14.421932,14.326383,14.398045
20030513,AMC,20030514,13.808952,13.732302,13.661546,13.879707
20030211,AMC,20030212,12.504871,12.324568,12.388546,12.504871
20021113,AMC,20021114,12.221284,12.376202,12.513906,12.708988
20020814,AMC,20020815,12.113188,12.730168,12.441489,12.45281
20020515,AMC,20020516,13.273388,13.312509,13.133668,13.049836
20020212,AMC,20020213,11.764464,11.847196,11.979567,11.963021
20011107,NaN,20011108,11.640746,11.499316,11.477558,11.390525
20010726,NaN,20010727,10.739167,10.792863,10.739167,10.81971
20010425,AMC,20010426,11.482176,11.556426,11.800389,11.879942
20010123,AMC,20010124,12.543291,12.903542,13.034543,13.067293
20001108,AMC,20001109,12.266115,12.104293,12.395573,12.29848
20000727,AMC,20000728,10.127364,10.063469,10.063469,10.542681
20000427,AMC,20000428,7.408391,7.785089,7.973438,8.036221
20000208,AMC,20000209,8.576666,8.545815,8.576666,8.484112
19991110,AMC,19991111,11.027495,11.179808,11.118883,11.057958
19990811,AMC,19990812,11.997739,11.847014,11.847014,11.937449
