EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,BMO,20150422,104.309195,102.303055,102.342979,104.708428
20150225,BMO,20150225,88.947208,89.016947,92.79282,91.866287
20141030,BMO,20141030,75.314389,74.290449,74.956506,77.163449
20140723,BMO,20140723,89.797624,89.738085,93.866252,94.491436
20140424,BMO,20140424,67.390911,69.420761,70.737688,70.767392
20140219,BMO,20140219,57.978431,58.294662,61.802816,60.60708
20131023,BMO,20131023,71.442285,68.049661,62.438031,63.76944
20130724,BMO,20130724,57.927661,60.349109,58.213117,60.368796
20130424,BMO,20130424,43.573508,45.09534,46.50917,48.050639
20130220,BMO,20130220,41.914217,42.846954,40.412022,39.822927
20121024,BMO,20121024,35.153346,35.143586,35.172871,32.56639
20120725,BMO,20120725,25.225977,24.116929,26.247467,25.7805
20120425,BMO,20120425,24.205487,24.224867,26.075647,26.288825
20120222,BMO,20120222,24.743786,24.164079,22.608534,22.995004
20111026,BMO,20111026,19.91453,19.596745,20.039717,21.397526
20110727,BMO,20110727,21.258803,20.836887,20.645108,19.887577
20110427,BMO,20110427,14.447592,14.380749,16.099564,17.073557
20110223,AMC,20110224,14.075502,13.675792,14.48473,14.713135
20101027,AMC,20101028,9.442659,9.272008,10.343314,10.333833
20100729,AMC,20100730,7.605929,7.47398,8.293951,8.143152
20100427,AMC,20100428,8.572552,7.879253,7.373332,7.897991
20100224,AMC,20100225,6.052316,6.174112,6.258431,5.977364
20100203,NaN,20100204,7.588817,7.335856,5.621346,5.452706
20091029,AMC,20091030,8.919202,9.303328,7.813671,7.64503
20090730,AMC,20090731,9.827986,10.099684,11.233322,12.273272
20090429,AMC,20090430,2.632664,3.082371,2.735722,3.325963
20090316,BMO,20090316,3.063633,2.688877,2.57645,2.707615
20081028,AMC,20081029,1.452181,1.499026,3.335332,3.372807
20080807,AMC,20080808,4.529255,4.117504,4.931855,4.721405
20080429,AMC,20080430,7.075332,7.01319,7.989711,8.247157
20080220,AMC,20080221,12.284979,12.836228,8.776235,8.863735
20071025,AMC,20071026,13.866982,13.841013,13.841013,13.927574
20070726,AMC,20070727,20.024077,19.336556,17.119297,17.44587
20070426,NaN,20070427,24.326515,24.189801,23.446421,23.027735
20070215,AMC,20070216,25.498672,25.099194,25.16719,25.32868
20061031,AMC,20061101,21.466194,21.559195,21.55074,21.474649
20060801,BMO,20060801,23.95777,23.68877,21.679681,21.259369
20060425,BMO,20060425,29.158343,28.890683,28.781944,27.610925
20060208,BMO,20060208,24.952401,24.794634,24.728205,25.533656
20051025,BMO,20051025,20.832826,21.28751,22.320885,22.22168
20050726,BMO,20050726,24.442129,24.689185,25.446825,25.372708
20050426,BMO,20050426,19.812153,19.434466,21.799116,21.782696
20050218,BMO,20050218,23.370306,23.624065,24.156139,22.101516
20041021,NaN,20041022,16.924978,17.699858,18.091375,18.19741
20040722,AMC,20040723,18.427149,18.240195,18.410891,17.703719
20040426,BMO,20040426,22.981743,23.095233,22.64938,22.219738
20040224,BMO,20040224,21.590436,21.760247,21.873455,22.204994
20031028,BMO,20031028,16.617808,17.665995,15.924391,17.254782
20030723,AMC,20030724,13.375432,13.254933,15.34359,16.307584
20030425,BMO,20030425,9.511419,9.238287,9.607818,10.491481
20030226,BMO,20030226,10.073749,10.186216,10.234415,10.129982
20021030,BMO,20021030,13.214767,13.287067,13.375432,13.086235
20020731,BMO,20020731,17.994576,17.592911,16.395951,16.420051
20020424,BMO,20020424,21.866623,22.63782,22.774386,22.830618
20020220,BMO,20020220,15.544422,15.182923,15.022258,14.901758
20011024,BMO,20011024,14.018097,13.897596,13.777097,14.058263
20010725,BMO,20010725,15.022258,14.982091,14.941925,14.813393
20010430,BMO,20010430,13.897596,13.656598,14.379594,14.459927
20010221,BMO,20010221,11.889274,11.849107,10.403114,10.68428
20001023,BMO,20001023,9.388911,9.288495,9.338703,9.338703
20000726,BMO,20000726,9.840784,9.740368,10.091824,10.19224
20000426,BMO,20000426,13.254933,13.154517,13.204725,12.953685
19991027,BMO,19991027,15.96617,15.765337,15.865753,15.765337
19990728,BMO,19990728,18.024701,17.773661,17.422204,17.673244
