EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150414,AMC,20150415,45.709932,45.133717,45.868888,46.335824
20150113,AMC,20150114,44.866473,44.590065,45.034288,44.264304
20141014,AMC,20141015,38.072443,38.288259,37.954721,38.73952
20140722,AMC,20140723,46.137788,46.479042,43.817247,43.378493
20140415,AMC,20140416,45.165144,45.678828,43.682255,44.942227
20140114,AMC,20140115,42.859658,43.534003,44.449191,44.593696
20131015,AMC,20131016,38.298264,37.857945,37.436771,37.580351
20130723,AMC,20130724,38.232064,38.450804,37.642416,38.279615
20130416,AMC,20130417,34.041992,34.646511,33.172994,32.766832
20130115,AMC,20130116,33.805852,33.579156,33.881415,34.363143
20121016,AMC,20121017,29.803366,30.287066,29.970801,29.394081
20120724,AMC,20120725,28.213203,27.806993,28.7302,29.321052
20120417,AMC,20120418,29.76467,30.350628,30.25907,30.149205
20120117,AMC,20120118,27.316422,27.143765,30.278882,30.351582
20111018,AMC,20111019,27.38232,27.959548,27.265069,26.868225
20110726,AMC,20110727,27.802332,27.891729,26.908367,26.479264
20110419,AMC,20110420,29.02633,29.505664,30.650737,30.366688
20110118,AMC,20110119,31.624208,31.853435,30.46927,30.751393
20101012,AMC,20101013,27.349933,27.630086,26.964723,26.640797
20100720,AMC,20100721,27.133485,27.289924,26.386055,27.689714
20100413,AMC,20100414,25.300147,25.567463,26.912664,27.016142
20100112,NaN,20100113,26.193295,25.842798,25.535045,25.398264
20091013,AMC,20091014,24.278271,24.159552,23.633792,23.43027
20090721,AMC,20090722,21.073007,21.056191,22.796858,22.880947
20090414,NaN,20090415,19.347896,19.347896,18.798665,19.048315
20090113,AMC,20090114,17.8861,18.636508,17.869607,18.751955
20081014,AMC,20081015,22.225178,21.139231,17.96304,18.387621
20080722,AMC,20080723,26.867347,26.331785,25.244433,24.854932
20080415,AMC,20080416,24.671749,25.389795,26.616123,26.946908
20080115,AMC,20080116,22.635827,22.259496,23.116248,22.17142
20071016,AMC,20071017,27.532459,27.715583,27.038815,27.070663
20070724,AMC,20070725,29.5474,28.921596,29.365204,28.929519
20070417,AMC,20070418,25.120508,25.325507,28.416293,29.669953
20070116,AMC,20070117,25.684009,24.853216,24.390796,23.560003
20061017,AMC,20061018,26.361259,25.659333,23.84992,23.452161
20060725,AMC,20060726,23.628357,24.008709,23.325628,24.451158
20060418,AMC,20060419,27.56383,28.414087,27.988959,27.702964
20060117,AMC,20060118,30.21957,29.642126,28.764412,30.096382
20051018,AMC,20051019,27.723688,27.608524,26.963608,27.608524
20050726,NaN,20050727,31.108655,31.154606,30.105398,29.952229
20050419,AMC,20050420,28.432143,29.111825,27.194967,27.637905
20050118,AMC,20050119,28.112414,28.211429,28.645568,28.63795
20041012,AMC,20041013,27.997091,27.723503,28.065488,27.449916
20040720,AMC,20040721,27.339373,28.226671,28.272172,29.432486
20040413,AMC,20040414,29.861789,29.695303,29.778545,29.286652
20040113,AMC,20040114,33.951831,33.196506,31.987986,32.161713
20031014,AMC,20031015,30.894057,31.678477,30.833718,31.301352
20030722,AMC,20030723,25.721858,26.474839,27.596783,26.520019
20030415,AMC,20030416,23.626708,24.040156,24.904641,26.107399
20030114,AMC,20030115,22.292088,23.124947,22.03698,21.279154
20021015,AMC,20021016,17.053316,18.259105,18.311532,20.25877
20020723,AMC,20020724,21.882792,21.000602,22.017364,19.333413
20020416,AMC,20020417,30.85354,32.765086,33.004029,32.369335
20020115,AMC,20020116,30.217626,29.889418,30.635348,31.508088
20011016,AMC,20011017,29.321716,30.610831,27.600417,27.063907
20010724,AMC,20010725,29.860599,29.570257,28.133434,32.094002
20010417,AMC,20010418,28.265022,28.778255,33.099829,37.659424
20010116,AMC,20010117,41.355708,39.357624,44.980141,48.372239
20001017,AMC,20001018,46.770142,42.31142,40.964514,48.024158
20000725,AMC,20000726,44.562821,45.630472,43.820108,40.570735
20000418,AMC,20000419,34.099279,36.743713,35.073544,35.119938
20000118,AMC,20000119,33.250038,33.899272,35.2673,33.713777
19991012,AMC,19991013,22.348388,21.68802,20.680079,22.197781
19990720,AMC,19990721,26.074051,24.221543,24.036292,23.063725
19990413,AMC,19990414,21.12723,20.872685,22.585078,23.487556
