EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150507,BMO,20150507,63.934131,62.944843,65.503009,63.354549
20150205,BMO,20150205,57.634532,57.364931,59.591629,58.94259
20141113,BMO,20141113,49.391754,50.255475,50.145638,52.492156
20140807,BMO,20140807,41.373154,41.512658,38.433587,39.788777
20140508,BMO,20140508,41.470671,41.848945,43.710446,43.491444
20140206,BMO,20140206,41.08332,41.660135,49.81514,46.970833
20131115,BMO,20131115,46.443743,46.67248,44.285648,44.404993
20130808,BMO,20130808,36.977877,37.702353,37.593185,38.774173
20130509,BMO,20130509,38.614871,38.535568,38.243146,38.173753
20130207,BMO,20130207,33.804292,33.923093,35.319024,35.606131
20121115,BMO,20121115,28.849232,27.725557,28.562127,28.997737
20120807,BMO,20120807,25.100057,24.961901,26.25465,26.274387
20120503,BMO,20120503,21.703192,21.801687,22.717683,23.003315
20120202,BMO,20120202,22.130829,22.641957,22.071854,22.219294
20111110,BMO,20111110,20.203409,19.816013,20.405776,20.794036
20110804,BMO,20110804,18.833376,18.730649,18.769782,19.058398
20110505,BMO,20110505,19.019852,18.778136,19.4691,19.434918
20110203,BMO,20110203,16.664709,16.779218,16.762164,16.869362
20101111,BMO,20101111,14.866673,15.19071,14.355038,14.686383
20100805,BMO,20100805,14.503041,14.692306,14.306496,14.194879
20100506,BMO,20100506,14.906053,14.705045,14.721998,14.349043
20100204,BMO,20100204,11.596553,11.640048,12.495472,13.039174
20091112,BMO,20091112,11.164008,11.335576,10.745962,10.811206
20090806,BMO,20090806,10.411166,10.223707,10.060282,10.341469
20090507,BMO,20090507,10.046864,9.826371,10.217029,10.408763
