EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,AMC,20150501,41.25,39.849998,39.43,39.91
20150129,AMC,20150130,39.139999,39.5,34.48,33.779999
20141030,AMC,20141031,36.560001,37.040001,38.18,38.77
20140821,AMC,20140822,38.290001,39.259998,38.52,38.619999
20140501,AMC,20140502,38.41,38.630001,39.950001,38.009998
20140130,AMC,20140131,39.599998,39.740002,37.540001,36.34
20131024,AMC,20131025,36.23,36.169998,38.110001,38.5
20130822,AMC,20130823,35.32,35.099998,33.700001,33.490002
20130425,AMC,20130426,27.75,27.73,27.82,28.65
20130124,AMC,20130125,33.459999,33.990002,29.059999,29.08
20121025,AMC,20121026,28.120001,28.42,28.49,29.25
20120816,AMC,20120817,29.700001,29.799999,29.940001,30.01
20120426,AMC,20120427,33.790001,34.139999,33.400002,32.959999
20120126,AMC,20120127,37.369999,37.52,37.57,37.549999
20111027,AMC,20111028,35.25,37.860001,36.080002,34.759998
20110818,AMC,20110819,31.99,29.99,30.15,28.940001
20110428,AMC,20110429,34.669998,34.880001,35.75,36.009998
20110127,AMC,20110128,34.130001,33.950001,36.68,36.209999
20101028,AMC,20101029,29.059999,28.57,29.940001,29.299999
20100819,AMC,20100820,26.73,25.66,26.9,25.59
20100422,AMC,20100423,28.01,27.639999,27.34,28.4
20100128,AMC,20100129,27.469999,27.059999,28.26,28.17
20091022,AMC,20091023,29.280001,29.57,27.01,26.559999
20090820,AMC,20090821,27.17,27.860001,29.92,29.93
20090423,AMC,20090424,21.92,21.860001,21.52,22.17
20090122,NaN,20090123,18.32,18.41,19.190001,18.969999
20081023,AMC,20081024,20.120001,19.18,18.530001,17.76
20080821,AMC,20080822,31.1,30.530001,29.6,29.07
20080424,AMC,20080425,27.389999,27.809999,25.26,25.620001
20080124,AMC,20080125,25.0,25.700001,30.629999,31.74
20071025,NaN,20071026,31.049999,30.950001,37.189999,36.049999
20070823,AMC,20070824,29.25,28.85,28.6,28.440001
20070426,AMC,20070427,29.98,30.17,29.1,28.719999
20070125,AMC,20070126,27.99,27.610001,28.219999,29.26
20060817,NaN,20060818,30.74,32.0,31.01,30.75
20060427,AMC,20060428,28.305,28.455,31.299999,30.24
20060126,AMC,20060127,29.82,30.1,28.84,28.73
20051027,AMC,20051028,26.07,25.254999,28.5,28.32
20050818,AMC,20050819,25.075001,26.004999,22.225,21.860001
20050428,AMC,20050429,22.655001,22.105,23.125,23.135
20050127,AMC,20050128,30.23,31.205,32.09,32.134998
20041028,AMC,20041029,35.275002,35.049999,30.965,29.99
20040812,AMC,20040813,27.025,25.475,28.615,29.5
20040422,AMC,20040423,24.875,25.625,26.254999,28.0
20040122,AMC,20040123,27.17,26.875,25.35,26.299999
20031023,AMC,20031024,20.66,19.465,20.905001,20.59
20030814,AMC,20030815,16.525,17.065001,19.18,18.950001
20030424,AMC,20030425,9.8,9.7,9.575,9.8
20030123,AMC,20030124,14.04,13.9975,10.8675,11.05
20021024,AMC,20021025,13.9675,13.6225,14.5375,15.025
20020815,AMC,20020816,13.1625,14.42,15.485,16.2425
20020425,NaN,20020426,15.875,16.0,16.7075,16.5625
20020124,NaN,20020125,12.0,12.125,13.15,13.16
20011025,AMC,20011026,14.26,14.23,10.925,10.5125
20010816,NaN,20010817,12.1275,12.34,13.1475,14.1425
20010426,NaN,20010427,10.5,10.75,11.7525,12.0375
20010125,AMC,20010126,10.625,10.48438,11.03125,10.75
20001026,AMC,20001027,10.75,10.875,10.90625,11.07812
20000817,AMC,20000818,10.3125,10.25,11.73438,11.98438
20000424,AMC,20000425,8.28125,8.25,8.85938,8.5
20000127,AMC,20000128,11.09375,10.54688,10.5625,10.59375
