EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150415,AMC,20150416,17.35,17.5,17.67,17.129999
20150128,AMC,20150129,15.809265,15.303765,15.373148,15.373148
20141015,AMC,20141016,15.878049,15.504679,15.8977,15.760143
20140723,AMC,20140724,16.492944,16.385846,16.638985,16.814235
20140421,AMC,20140422,17.936706,17.840168,17.43471,17.009945
20140122,AMC,20140123,17.934588,18.240998,18.38463,17.944164
20131016,AMC,20131017,15.753205,15.914727,15.734201,15.762706
20130717,AMC,20130718,14.864114,14.986491,15.37245,15.579549
20130417,AMC,20130418,11.319079,11.096226,10.975514,11.189082
20130123,AMC,20130124,11.603193,11.842814,11.649274,11.741436
20121017,AMC,20121018,11.067402,11.250334,11.021669,10.957642
20120718,AMC,20120719,12.543686,12.480104,11.66263,11.617215
20120418,AMC,20120419,11.949343,11.823085,11.877196,11.958361
20120125,AMC,20120126,11.529092,11.448344,10.972824,11.017684
20111019,AMC,20111020,8.886719,8.797494,9.26146,9.823572
20110720,AMC,20110721,10.310487,10.230836,10.602544,10.584844
20110421,BMO,20110421,9.595037,9.718389,9.965094,10.194176
20110127,BMO,20110127,10.603612,10.5773,10.173854,9.752867
20101021,BMO,20101021,9.748703,9.836057,9.993294,9.984559
20100727,BMO,20100727,10.487858,10.670482,11.087909,10.983552
20100422,BMO,20100422,12.316457,12.420393,13.199915,13.607
20100128,BMO,20100128,11.13943,11.484572,10.733889,10.664861
20091015,BMO,20091015,8.957354,9.163665,9.026124,8.794024
20090716,BMO,20090716,6.69907,7.203853,7.238075,6.887294
20090416,BMO,20090416,8.732342,8.630308,8.681325,8.9109
20090129,BMO,20090129,7.57346,8.478891,8.250417,8.292727
20081016,BMO,20081016,12.378055,11.045812,12.04921,11.661342
20080717,BMO,20080717,7.47623,9.401547,10.901794,10.093327
20080417,NaN,20080418,12.066082,12.960778,12.689907,12.361579
20080124,NaN,20080125,11.557553,11.638659,11.833313,12.571374
20071018,BMO,20071018,14.534715,14.462564,13.893361,13.284073
20070719,NaN,20070720,17.478378,16.30256,15.873545,15.770264
20070419,NaN,20070420,20.579217,20.16921,20.350559,20.18498
20070125,NaN,20070126,22.228804,21.508209,21.766685,22.24447
20061019,BMO,20061019,22.717911,22.44542,22.227427,21.807015
20060720,BMO,20060720,19.295402,20.061338,19.759606,19.519766
20060420,NaN,20060421,22.065784,20.664538,20.040906,20.025508
20060206,BMO,20060206,21.32791,21.343243,20.959923,20.898592
20060125,BMO,20060125,22.025552,22.109882,21.872225,21.626899
20051020,NaN,20051021,18.299592,18.833999,19.391308,19.872274
20051019,AMC,20051020,17.765187,18.299592,18.833999,19.391308
20050721,BMO,20050721,18.908232,19.21259,18.695181,18.946277
20050718,AMC,20050719,18.824534,18.763662,18.908232,19.21259
20050421,BMO,20050421,17.690899,17.410092,17.668132,17.364554
20050413,AMC,20050414,17.850277,17.569469,17.531522,17.258303
20050127,NaN,20050128,18.356889,18.167643,18.122224,18.379599
20050120,AMC,20050121,17.955687,17.804291,17.78158,17.562056
20041021,NaN,20041022,17.203894,17.521087,17.241655,17.551295
20041015,AMC,20041018,17.05285,17.445564,17.626817,17.513534
20040715,NaN,20040716,16.712713,16.65246,16.757903,17.036574
20040415,NaN,20040416,14.46249,14.229709,14.815416,14.657726
20040120,NaN,20040121,15.895064,16.112395,15.925042,15.550335
20031014,NaN,20031015,15.925197,15.895275,15.259464,15.491348
20030715,NaN,20030716,14.204481,14.600086,14.629944,14.346301
20030415,BMO,20030415,13.510774,13.734216,13.853385,13.912969
20030123,BMO,20030123,14.840952,14.811227,15.049038,14.357897
20021017,BMO,20021017,11.23407,10.841063,11.656738,11.797627
20021015,BMO,20021015,10.692759,11.004198,11.23407,10.841063
20020718,BMO,20020718,11.377627,12.465086,11.828885,11.695727
20020711,BMO,20020711,12.916343,12.775788,12.058212,11.49599
20020418,BMO,20020418,11.801708,11.71314,11.809089,11.624572
20020411,BMO,20020411,11.358867,11.469577,11.469577,11.440055
20020124,BMO,20020124,9.643741,9.754165,9.754165,9.680548
20020117,BMO,20020117,9.606932,9.540677,9.680548,9.643741
20011017,AMC,20011018,9.322077,8.962406,8.933045,8.991767
20011009,AMC,20011010,9.43218,9.307396,9.542283,9.248675
20010718,AMC,20010719,8.998374,8.961795,9.064215,9.071531
20010417,BMO,20010417,6.926503,6.926503,6.97025,7.291056
20010124,BMO,20010124,7.261522,7.216138,7.079984,6.762293
