EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,93.005323,93.035304,83.900674,85.069993
20150205,BMO,20150205,84.830978,84.940851,84.151771,84.860942
20141029,BMO,20141029,65.531773,67.588061,68.386623,69.055414
20140730,BMO,20140730,74.234565,73.995165,71.631068,67.730814
20140501,BMO,20140501,72.541553,73.578289,72.232528,72.701054
20140206,BMO,20140206,62.887603,63.266141,65.328196,67.250786
20131030,BMO,20131030,66.732721,67.35983,66.463954,66.951713
20130808,BMO,20130808,57.151434,55.778848,57.976979,58.066496
20130502,BMO,20130502,49.106438,46.791224,49.086569,50.875147
20130207,BMO,20130207,48.295201,48.493739,48.672427,49.089366
20121108,BMO,20121108,36.950403,35.215409,36.504261,36.226663
20120809,BMO,20120809,34.556013,34.209461,34.882758,34.595616
20120510,BMO,20120510,33.502086,33.057236,33.413116,33.946936
20120209,BMO,20120209,39.708291,40.369765,38.701267,38.790122
20111027,BMO,20111027,29.139385,29.937861,33.890802,32.983891
20110728,BMO,20110728,34.82888,33.549493,36.738123,36.26573
20110427,BMO,20110427,36.922502,38.229582,38.573548,38.121477
20110203,BMO,20110203,35.339612,37.135545,37.665493,38.234693
20101028,BMO,20101028,28.862481,28.401856,27.235598,27.343402
20100729,BMO,20100729,25.243007,24.773552,23.257603,23.365185
20100429,BMO,20100429,29.149695,29.26684,29.061836,26.806785
20100204,BMO,20100204,22.87472,22.777297,21.617975,21.228287
20091028,BMO,20091028,24.39994,24.59436,23.427831,23.456993
20090729,BMO,20090729,20.048744,18.622927,17.361998,17.371698
20090429,BMO,20090429,15.043996,14.937575,16.998264,15.595449
20090205,NaN,20090206,13.202412,13.760531,14.963375,14.77092
20081023,NaN,20081024,20.533745,15.026096,16.110355,15.621
20080724,NaN,20080725,35.605404,33.133341,35.212557,34.340627
20080424,NaN,20080425,34.872556,32.642781,33.944282,33.398801
20080207,BMO,20080207,39.199569,38.874658,39.667821,39.132676
20071025,NaN,20071026,56.504888,52.485873,52.772263,54.290133
20070726,NaN,20070727,53.613316,52.325908,53.060206,53.899406
20070426,NaN,20070427,54.585891,54.252409,55.624443,53.242444
20070208,NaN,20070209,43.691692,43.586984,43.558424,43.310935
20061026,NaN,20061027,38.692707,36.962468,36.211429,33.89177
20060727,NaN,20060728,30.246609,29.145351,29.904839,30.806731
20060427,NaN,20060428,25.46913,27.450166,29.66817,29.364854
20060209,NaN,20060210,25.705118,23.926479,23.775104,23.529124
20051108,NaN,20051109,19.204703,19.761772,19.525726,20.422699
20050728,BMO,20050728,21.014399,21.259301,21.381752,20.910788
20050428,BMO,20050428,19.759506,19.797089,18.049457,17.232018
20050224,BMO,20050224,19.530797,19.174499,21.256033,22.128028
20041104,BMO,20041104,20.676539,20.816877,20.854301,20.770098
20040729,NaN,20040730,18.648749,18.480742,18.154063,18.368738
20040609,AMC,20040610,16.614,16.18465,16.128649,16.18465
20040422,BMO,20040422,16.277988,16.856677,17.174023,17.174023
20040308,AMC,20040309,18.238067,18.032724,17.323362,16.856677
20040205,BMO,20040205,18.667417,18.294069,18.928761,19.096766
20031208,AMC,20031209,19.227439,19.115434,18.088726,17.69671
20031023,BMO,20031023,16.950014,16.98735,16.931346,17.323362
20031002,AMC,20031003,15.941974,16.427327,16.147315,16.33399
20030724,BMO,20030724,11.760473,11.480461,11.555131,11.760473
20030528,AMC,20030529,13.216531,13.104526,13.421873,14.0939
20030424,BMO,20030424,13.011189,12.992522,12.749845,12.525837
20030227,AMC,20030228,10.323082,10.733765,10.248411,9.557717
20030130,NaN,20030131,10.62176,10.603092,10.509756,10.733765
20021203,AMC,20021204,15.867304,14.709924,14.336576,13.44054
20021031,BMO,20021031,9.147034,9.1097,9.147034,10.080405
20020926,AMC,20020927,11.107113,11.387124,10.640427,11.424459
20020725,BMO,20020725,14.280574,14.000562,13.253866,12.35783
20020529,AMC,20020530,22.438236,22.027552,21.728874,21.654204
20020425,BMO,20020425,24.062301,24.080967,23.502278,23.520946
20020228,AMC,20020301,22.214225,21.654204,22.382232,24.062301
20020131,BMO,20020131,22.867585,23.40894,23.894294,22.643577
20011205,AMC,20011206,24.342311,24.827664,26.470397,26.265055
20011025,BMO,20011025,25.331684,26.003712,25.257014,25.947708
20011001,AMC,20011002,22.120889,21.560866,24.13697,25.481023
20010726,BMO,20010726,28.579816,28.46781,29.681192,28.747821
20010523,AMC,20010524,28.990497,28.934496,28.169132,28.169132
20010426,BMO,20010426,26.881079,26.321058,27.067754,27.758448
20010227,NaN,20010228,38.548215,37.521508,33.302671,33.321339
20010125,BMO,20010125,37.10149,36.634805,35.118077,34.418049
20001129,AMC,20001130,28.234468,26.134383,28.001125,30.217881
20001026,BMO,20001026,42.701715,40.134946,40.834974,41.535002
20000920,BMO,20000920,46.318527,46.901884,47.601912,46.785213
20000727,BMO,20000727,46.668541,46.512975,42.935058,40.290512
20000524,NaN,20000525,35.156973,35.312525,33.445783,32.667979
20000427,BMO,20000427,36.245896,37.179267,41.223883,42.623939
20000127,BMO,20000127,31.967951,30.567895,30.023433,30.567895
19991130,AMC,19991201,27.456662,29.867867,27.378875,27.534439
19991028,BMO,19991028,22.867585,22.089779,22.323122,23.645391
