EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150507,AMC,20150508,31.199043,31.149441,31.347846,30.831995
20150120,AMC,20150121,30.871408,31.176578,29.473532,30.064184
20141022,AMC,20141023,26.90505,26.758615,27.090535,27.754376
20140723,AMC,20140724,27.4812,27.442495,28.681083,28.574643
20140515,BMO,20140515,28.69447,28.847968,27.869419,27.811858
20140121,AMC,20140122,32.78047,32.618613,32.656697,32.037841
20131024,AMC,20131025,28.618674,28.713155,29.667426,29.714668
20130724,AMC,20130725,27.885691,27.998132,27.848209,27.810729
20130507,AMC,20130508,25.693404,25.786261,25.173408,24.894837
20130122,AMC,20130123,22.587159,22.568772,23.046808,22.890527
20121025,AMC,20121026,22.166661,22.630171,20.657983,20.458038
20120726,AMC,20120727,23.102857,23.678853,21.986864,21.824865
20120510,AMC,20120511,23.483714,23.537187,23.278733,23.251996
20120124,AMC,20120125,19.814746,20.150289,22.101742,22.260682
20111026,AMC,20111027,19.537464,19.396526,19.511037,19.563889
20110720,AMC,20110721,19.567968,19.638261,19.893074,20.007302
20110512,AMC,20110513,21.366562,21.971523,20.077729,20.095264
20110125,AMC,20110126,22.382786,22.198963,20.518284,20.789643
20101021,AMC,20101022,19.042148,19.015931,19.985953,19.881085
20100721,AMC,20100722,16.902155,16.352705,16.657956,16.902155
20100513,AMC,20100514,19.087584,19.044063,17.851634,17.9996
20100128,NaN,20100129,19.721227,19.417155,19.147835,19.130459
20091022,AMC,20091023,20.318033,20.734279,18.739765,18.444924
20090723,AMC,20090724,16.229999,16.550271,17.865982,17.909263
20090513,AMC,20090514,15.147801,14.957805,15.778239,15.579609
20090129,BMO,20090129,15.002933,15.416568,15.106342,15.502743
20081029,AMC,20081030,13.787963,13.676214,14.94842,15.300855
20080731,AMC,20080801,20.504203,20.607154,19.122959,19.337438
20080522,AMC,20080523,20.315605,20.701019,21.497542,22.276935
20080131,AMC,20080201,19.065591,18.809103,22.493977,21.946804
20071101,NaN,20071102,22.578748,22.425092,23.201904,22.945811
20070801,NaN,20070802,21.375198,21.426334,22.176342,21.579745
20070523,NaN,20070524,23.937367,23.690591,21.758922,22.133343
20070201,AMC,20070202,20.858458,21.240793,22.676671,22.617197
20061102,AMC,20061103,20.948075,21.439973,19.429975,19.565671
20060814,AMC,20060815,18.338394,18.431526,19.676097,20.107888
20060629,AMC,20060630,17.974335,17.584878,17.398614,17.381682
20060530,BMO,20060530,18.759352,18.725551,18.176291,18.362193
20060425,BMO,20060425,21.767608,21.556354,20.931042,21.294399
20060124,NaN,20060125,24.435631,24.368129,23.397792,23.617173
20051025,NaN,20051026,23.382315,23.205369,23.988991,23.390741
20050727,NaN,20050728,24.333601,24.543954,22.928445,23.096728
20050526,AMC,20050527,24.230258,24.079029,22.936408,22.911205
20050524,AMC,20050525,24.599929,24.364684,24.230258,24.079029
20050427,BMO,20050427,23.062434,22.726368,22.751573,22.516328
20050224,AMC,20050225,22.3651,22.768377,22.642353,22.759975
20050201,BMO,20050201,22.197067,22.843992,23.280874,23.717759
20050125,AMC,20050126,23.171654,22.877597,22.432313,22.47432
20041116,AMC,20041117,25.063117,25.079897,25.188977,25.423917
20041029,NaN,20041101,23.460485,23.250717,23.38497,23.38497
20041021,BMO,20041021,22.487161,22.638194,22.613023,22.436817
20041020,AMC,20041021,22.487161,22.638194,22.613023,22.436817
20040817,AMC,20040818,19.416153,19.441326,19.516842,19.835689
20040729,AMC,20040730,20.565684,21.010393,21.178207,20.800625
20040722,AMC,20040723,20.767061,20.750279,20.574075,20.41465
20040715,BMO,20040715,21.069128,20.892922,21.169816,20.666372
20040525,AMC,20040526,21.531912,21.531912,23.039983,22.637831
20040518,AMC,20040519,21.196783,21.867038,21.942442,21.540288
20040427,AMC,20040428,24.439138,24.238062,23.618077,23.039983
20040414,BMO,20040414,22.880797,22.688099,22.629452,21.875417
20040226,AMC,20040227,22.126761,22.13514,22.252434,22.654587
20040126,AMC,20040127,22.872418,22.729989,22.009467,21.615692
20040121,AMC,20040122,23.986716,23.827532,22.855663,22.872418
20040120,BMO,20040120,23.710236,23.844287,23.986716,23.827532
20031119,AMC,20031120,18.527211,18.978891,18.610856,18.861788
20031027,AMC,20031028,19.238188,19.188002,19.48912,19.86552
20031022,AMC,20031023,21.095091,21.03654,19.254917,19.238188
