EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150507,BMO,20150507,3.4,3.34,3.39,3.37
20150219,BMO,20150219,3.19,3.33,3.22,3.3
20141105,BMO,20141105,3.68,3.71,3.41,3.35
20140807,BMO,20140807,3.73,3.66,3.68,3.66
20140508,BMO,20140508,3.19,3.21,3.72,3.76
20140220,BMO,20140220,3.33,3.25,3.45,3.4
20131107,BMO,20131107,2.92,2.83,3.22,3.24
20130808,BMO,20130808,3.4,3.4,3.32,3.35
20130509,BMO,20130509,3.44,3.44,3.41,3.51
20130227,BMO,20130227,4.2,4.15,3.23,3.25
20120808,BMO,20120808,3.79,3.74,3.94,4.37
20120503,AMC,20120504,3.61,3.56,3.87,3.95
20120209,AMC,20120210,3.74,3.68,3.85,3.72
20111103,BMO,20111103,3.08,3.28,3.28,3.17
20110804,BMO,20110804,3.36,3.47,3.24,3.18
20110505,AMC,20110506,2.9,2.94,3.23,3.25
20110215,AMC,20110216,3.1,3.1,2.79,2.75
20101103,AMC,20101104,2.48,2.58,2.67,2.62
20100804,BMO,20100804,2.99,2.95,3.0,2.97
20100506,BMO,20100506,3.35,3.28,3.34,3.34
20100211,BMO,20100211,2.77,2.8,2.88,3.06
20091104,BMO,20091104,3.02,3.06,2.93,2.98
20090804,BMO,20090804,3.13,2.99,3.12,3.17
20090505,BMO,20090505,2.77,2.84,2.65,2.67
20090205,BMO,20090205,1.42,1.42,1.53,1.67
20081030,BMO,20081030,2.11,2.45,2.75,2.39
20080731,BMO,20080731,4.25,4.32,3.9,3.75
20080430,BMO,20080430,4.65,4.64,4.64,4.64
20080207,BMO,20080207,3.89,3.82,4.31,4.05
20071102,BMO,20071102,5.42,5.08,5.39,5.28
20070802,BMO,20070802,5.16,5.09,5.16,4.95
20070508,BMO,20070508,5.28,5.25,5.53,5.55
20070220,NaN,20070221,4.93,4.44,4.57,4.7
20061102,BMO,20061102,4.69,4.63,4.61,4.42
20060802,BMO,20060802,4.01,3.92,4.5,4.48
20060502,BMO,20060502,4.2,4.16,4.26,4.28
20060210,BMO,20060210,3.45,3.46,3.76,3.99
20051108,NaN,20051109,4.0,3.83,3.84,3.84
20050809,BMO,20050809,4.44,4.26,4.14,4.02
20050503,BMO,20050503,4.0,3.95,3.8,3.89
20050215,BMO,20050215,4.38,4.33,4.59,4.65
20041103,BMO,20041103,3.43,3.49,3.53,3.69
20040728,BMO,20040728,3.84,3.84,3.86,4.01
20040428,BMO,20040428,4.21,4.18,4.0,4.18
20040322,NaN,20040323,5.07,5.0,4.17,4.06
20031030,BMO,20031030,4.84,4.9,5.21,5.11
20030731,NaN,20030801,5.87,5.64,5.42,5.09
20030506,BMO,20030506,5.0,5.03,5.25,4.8
20030327,BMO,20030327,4.34,4.3,4.15,4.04
20021029,BMO,20021029,2.0,2.08,2.4,2.36
20020725,BMO,20020725,2.86,2.19,2.25,2.1
20020417,BMO,20020417,7.0,7.73,8.6,7.8
20020131,BMO,20020131,8.2,7.9,7.99,7.49
20011016,BMO,20011016,16.120001,15.33,11.5,9.92
20010719,NaN,20010720,24.629999,24.25,25.01,25.110001
20010419,NaN,20010420,21.113294,22.895972,23.025441,23.692701
20010124,BMO,20010124,28.445681,28.632414,27.947726,27.574259
20001019,BMO,20001019,23.652864,22.843687,25.395706,26.889571
20000725,BMO,20000725,28.134459,27.823237,28.383436,28.507925
20000427,NaN,20000428,26.702838,26.516105,28.196703,30.064035
20000320,NaN,20000321,36.848672,36.786427,37.222138,36.848672
20000127,BMO,20000127,36.786427,37.844582,38.467026,38.467026
19991022,BMO,19991022,20.167178,20.229423,20.976355,20.727378
19990722,BMO,19990722,23.466131,19.731468,21.163089,21.412066
