EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,25.923156,25.643662,25.873247,26.65184
20150129,BMO,20150129,21.103531,19.559855,20.665326,20.715122
20141023,BMO,20141023,20.139003,20.166104,20.662803,20.784716
20140724,BMO,20140724,19.48221,19.504774,20.731999,19.888279
20140424,BMO,20140424,20.120573,19.629163,19.764416,19.953763
20140123,BMO,20140123,16.214439,16.471166,16.399098,15.872131
20131024,BMO,20131024,20.389555,20.44805,18.076542,17.419543
20130725,BMO,20130725,20.867138,20.651313,19.540737,19.531748
20130425,BMO,20130425,19.826464,19.61979,19.759071,19.404143
20130124,BMO,20130124,19.358816,19.376775,20.903213,21.585614
20121025,BMO,20121025,16.999942,16.685954,17.663785,17.452968
20120726,BMO,20120726,19.843129,20.219562,16.441831,16.589717
20120426,BMO,20120426,18.7845,19.200937,20.584581,20.960724
20120126,BMO,20120126,19.405969,19.468611,19.499932,19.575996
20111020,BMO,20111020,24.603359,23.753732,23.628527,23.217133
20110721,BMO,20110721,25.468349,25.088493,26.697299,25.799044
20110421,BMO,20110421,19.693376,19.956852,20.148875,20.644559
20110127,BMO,20110127,17.695384,18.208479,18.217407,17.84708
20101021,BMO,20101021,15.667544,15.979554,15.814628,15.622962
20100722,BMO,20100722,15.539859,15.758038,15.179185,15.148017
20100422,BMO,20100422,18.719184,18.554588,18.63911,18.603521
20100128,BMO,20100128,15.603452,15.945647,16.296737,16.705597
20091022,BMO,20091022,13.823114,13.774284,14.759747,14.666529
20090723,BMO,20090723,11.344583,11.632743,11.646041,11.610573
20090423,BMO,20090423,9.671549,9.817621,9.414829,9.791066
20090129,BMO,20090129,7.780135,8.72559,8.168916,8.07614
20081023,BMO,20081023,16.432008,15.438938,13.682314,13.567556
20080724,BMO,20080724,19.254263,19.113141,18.006218,18.888226
20080424,BMO,20080424,18.408776,19.021226,20.025827,21.24192
20080124,AMC,20080125,13.851614,13.627143,13.204598,13.376257
20071025,AMC,20071026,14.744276,14.660723,17.149619,17.048476
20070726,AMC,20070727,15.813896,15.181337,16.051105,16.279523
20070426,AMC,20070427,18.877929,19.461692,18.987659,18.943768
20070125,AMC,20070126,19.525077,19.358414,17.586597,18.029555
20061026,NaN,20061027,18.189503,18.452482,17.57588,18.062396
20060727,AMC,20060728,15.771712,15.395057,14.116145,15.000872
20060427,AMC,20060428,14.893748,14.884989,14.390432,14.499848
20060126,AMC,20060127,10.581261,10.817373,11.906101,11.674365
20051020,AMC,20051021,8.734536,8.848087,9.302284,9.520647
20050721,NaN,20050722,8.719686,8.824381,9.404523,9.077371
20050421,NaN,20050422,6.549448,6.57993,6.976201,6.889111
20050127,AMC,20050128,11.921584,11.965091,11.695338,12.443702
20041021,AMC,20041022,11.433862,11.575703,10.638643,10.423721
20040722,AMC,20040723,9.491936,9.418924,9.281485,9.234238
20040422,AMC,20040423,8.904611,9.007602,9.548318,9.621269
20040122,AMC,20040123,9.613344,9.754845,9.557605,10.033556
20031023,AMC,20031024,7.710841,7.58661,7.638019,7.860772
20030724,AMC,20030725,7.018029,7.116447,7.240547,7.394602
20030424,AMC,20030425,4.643737,4.579654,4.38314,4.460038
20030123,AMC,20030124,3.869567,3.929305,4.00183,3.925036
20021024,AMC,20021025,3.608525,3.536102,3.962138,3.89823
20020725,AMC,20020726,3.147549,3.185835,3.241127,3.313433
20020425,AMC,20020426,3.738146,3.759389,3.716903,3.716903
20020124,AMC,20020125,3.604837,3.486091,3.613324,3.456404
20011025,AMC,20011026,3.349045,3.365982,3.268597,3.188159
20010726,AMC,20010727,4.227944,4.299817,3.826285,3.974261
20010426,AMC,20010427,3.119618,3.157615,3.208276,3.377124
20010125,AMC,20010126,2.579633,2.526983,2.342726,2.442754
20001026,AMC,20001027,2.49354,2.49354,2.388549,2.283558
20000727,AMC,20000728,2.960808,2.882205,2.934604,3.039411
20000427,AMC,20000428,3.558634,3.427809,3.767965,3.820303
20000127,AMC,20000128,4.233652,4.338187,4.050719,4.155254
19991020,AMC,19991021,3.966801,3.992901,3.810222,3.888512
19990720,AMC,19990721,4.611425,4.611425,3.725619,3.751666
