EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150421,AMC,20150422,17.459999,17.41,17.459999,17.33
20150120,AMC,20150121,15.887254,15.68829,15.479378,16.205596
20141021,AMC,20141022,15.860005,16.246109,15.612502,15.721403
20140722,AMC,20140723,16.532211,16.423834,16.27605,16.423834
20140422,AMC,20140423,15.836281,15.865698,15.973562,16.032396
20140122,BMO,20140122,16.768967,17.052193,16.983828,16.192747
20131023,BMO,20131023,15.728608,15.835606,15.913422,16.224687
20130724,BMO,20130724,14.988133,14.988133,15.017236,14.87172
20130424,BMO,20130424,11.374184,11.596638,11.90614,11.915811
20130123,BMO,20130123,12.805621,12.921596,12.419037,12.34172
20121031,BMO,20121031,12.438182,12.331956,11.945676,12.274013
20120725,BMO,20120725,10.382716,10.247624,10.421313,10.681845
20120425,BMO,20120425,10.950993,10.941354,10.507555,10.536475
20120125,BMO,20120125,10.788103,10.749574,10.547297,10.34502
20111026,BMO,20111026,9.208126,8.861739,8.736655,9.352454
20110727,BMO,20110727,11.704485,11.541122,11.416197,11.521902
20110427,BMO,20110427,11.589349,11.752579,12.645545,12.72236
20110126,BMO,20110126,11.991771,12.087705,11.48332,11.531287
20101020,BMO,20101020,12.220099,11.999659,10.379896,10.523662
20100721,BMO,20100721,11.749605,12.027306,11.337842,11.634694
20100421,BMO,20100421,13.970217,14.046766,15.405514,16.123162
20100127,NaN,20100128,12.315633,12.7746,12.803286,12.583364
20100112,AMC,20100113,10.604066,10.4702,10.976976,11.818417
20091021,BMO,20091021,10.814201,10.489393,9.992628,10.709117
20090722,BMO,20090722,6.68052,6.09836,6.394211,6.384668
20090422,BMO,20090422,9.365903,9.251569,9.489766,9.280152
20090128,BMO,20090128,9.098009,9.516746,10.335186,9.56433
20081022,BMO,20081022,22.432832,20.946716,18.811599,17.758149
20080716,BMO,20080716,13.744259,13.018919,16.468932,17.882415
20080423,BMO,20080423,25.20436,25.112807,24.005023,24.444476
20080123,BMO,20080123,22.925371,23.577793,25.381014,26.568059
20071024,NaN,20071025,28.98446,29.343287,29.038282,29.881534
20070725,BMO,20070725,29.793964,29.438214,29.696132,29.144723
20070425,BMO,20070425,31.998889,31.981248,32.792688,32.589829
20070124,BMO,20070124,32.691884,32.849394,32.910647,32.464369
20061025,BMO,20061025,32.785124,32.542015,32.620157,32.915362
20060726,BMO,20060726,31.32748,31.439549,31.370582,30.775758
20060426,BMO,20060426,30.841001,30.798227,30.712678,30.36192
20060125,BMO,20060125,30.208318,30.420574,29.673431,29.766824
20051026,BMO,20051026,32.111968,31.876037,31.749644,31.126109
20050727,BMO,20050727,30.372248,30.882777,31.585799,31.535582
20050420,BMO,20050420,26.418636,26.393705,26.310601,26.842463
20050119,BMO,20050119,28.124914,28.652926,28.438422,28.256917
20041020,BMO,20041020,28.216888,28.020197,28.249671,28.298842
20040721,BMO,20040721,28.017443,28.587563,27.838261,27.536911
20040421,BMO,20040421,27.398393,27.341735,27.074633,27.86785
20040121,BMO,20040121,25.988615,25.811711,26.495201,26.414789
20031022,BMO,20031022,24.87588,24.764078,24.436659,24.189099
20030723,BMO,20030723,23.038654,23.173569,23.006909,23.56244
20030423,BMO,20030423,21.127594,21.39563,21.758269,21.679434
20030122,BMO,20030122,20.904,20.755301,20.536165,20.786606
20021023,BMO,20021023,21.556136,21.680468,21.758177,21.284159
20020717,NaN,20020718,20.512781,20.597705,20.312054,20.157649
20020417,BMO,20020417,23.263445,23.608714,23.585695,23.332498
20020117,BMO,20020117,21.646953,21.624072,21.852897,21.532541
20011017,BMO,20011017,19.763914,20.109693,20.146091,20.115759
20010719,BMO,20010719,18.471251,18.525507,19.080127,19.260981
20010418,BMO,20010418,17.207374,17.099603,17.213361,17.153489
20010118,BMO,20010118,17.090714,17.202175,17.313636,17.313636
20001018,BMO,20001018,13.499592,13.425825,13.352056,14.052854
20000720,BMO,20000720,14.540393,14.284013,14.503766,14.39389
20000417,AMC,20000418,13.48568,13.231235,13.085836,13.231235
20000119,NaN,20000120,14.317833,13.993246,14.137507,14.137507
19991020,BMO,19991020,14.743,14.731067,14.707188,14.707188
19990721,BMO,19990721,15.493074,15.469343,15.421896,15.493074
