EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150204,AMC,20150205,32.29983,32.082654,30.236667,31.085624
20141119,AMC,20141120,33.186266,32.352438,33.70618,32.970451
20140806,AMC,20140807,28.998674,29.018176,29.398454,30.28577
20140505,AMC,20140506,29.447152,29.14677,28.856078,28.933596
20140204,AMC,20140205,25.227418,25.160015,26.999115,26.604333
20131125,AMC,20131126,27.000905,27.249497,27.727558,28.110007
20130806,BMO,20130806,23.464018,23.350116,23.198245,23.179261
20130502,AMC,20130503,22.924003,23.460622,22.321482,22.500355
20130204,AMC,20130205,23.218239,23.096824,22.984749,22.872673
20121126,AMC,20121127,18.518321,18.379503,18.814466,19.055084
20120802,BMO,20120802,15.839062,15.527594,16.168851,16.544444
20120801,AMC,20120802,15.839062,15.527594,16.168851,16.544444
20120508,BMO,20120508,18.248145,18.239081,18.511035,18.030582
20120507,AMC,20120508,18.248145,18.239081,18.511035,18.030582
20120201,AMC,20120202,21.085681,21.490309,21.094671,21.418375
20111128,AMC,20111129,17.464011,18.836182,18.693619,20.252906
20110808,AMC,20110809,17.777506,16.542344,16.277667,16.524699
20110505,NaN,20110506,19.63114,19.639889,19.499916,19.68363
20110504,AMC,20110505,19.823602,19.63114,19.639889,19.499916
20110203,NaN,20110204,19.039289,18.78786,18.761849,18.900569
20110202,AMC,20110203,18.917909,19.039289,18.78786,18.761849
20101123,BMO,20101123,17.437871,17.300497,16.939891,16.493426
20100804,BMO,20100804,19.207235,18.832792,18.143476,17.862644
20100506,BMO,20100506,20.429272,19.965163,20.682424,20.277383
20100204,BMO,20100204,15.408924,15.526038,15.509308,15.475846
20091124,BMO,20091124,16.67696,16.527838,15.384558,15.599959
20090812,BMO,20090812,15.380022,15.347177,15.807017,16.069783
20090511,BMO,20090511,14.646718,14.427382,13.931847,13.720635
20090206,BMO,20090206,14.992071,14.831383,15.393788,15.562509
20081125,BMO,20081125,11.085351,11.784141,12.991143,13.07849
20080812,BMO,20080812,19.055282,18.79533,18.921368,18.889857
20080513,AMC,20080514,16.262934,16.747462,17.622737,18.372974
