EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,BMO,20150429,52.919398,53.058345,52.671276,53.316394
20150128,BMO,20150128,53.799575,52.991597,52.380687,52.725554
20141104,BMO,20141104,49.508796,49.508796,51.445331,51.230163
20140729,BMO,20140729,48.466663,48.51521,47.437525,46.816158
20140430,BMO,20140430,44.083699,43.618053,44.330772,43.741597
20140204,BMO,20140204,45.038786,43.453837,43.227424,44.189703
20131024,BMO,20131024,41.688827,41.548428,42.100658,42.652895
20130725,BMO,20130725,43.606038,43.912991,46.684879,45.680301
20130502,BMO,20130502,43.424507,42.416999,40.919605,42.167435
20130129,BMO,20130129,39.012206,38.654291,38.452395,38.333088
20121025,BMO,20121025,33.461522,33.097608,32.078658,32.442569
20120726,BMO,20120726,28.347522,28.311421,29.277098,30.1074
20120427,BMO,20120427,30.012625,30.191538,30.280996,29.797936
20120202,BMO,20120202,27.626703,27.839619,28.034805,28.256601
20111027,BMO,20111027,23.102772,23.366504,25.449975,25.326898
20110728,BMO,20110728,26.651248,25.973011,26.546907,25.825192
20110428,BMO,20110428,26.029021,25.856529,26.287761,26.632747
20110203,BMO,20110203,25.339794,25.168406,25.074143,25.039863
20101027,BMO,20101027,20.434982,20.358221,21.270803,20.887006
20100728,BMO,20100728,21.624116,21.615636,20.453866,20.428432
20100429,BMO,20100429,22.823514,22.933196,23.625076,22.56195
20100203,BMO,20100203,20.1432,20.244334,19.106539,18.668276
20091028,BMO,20091028,19.314742,19.053732,18.380162,19.567334
20090730,BMO,20090730,15.481405,15.46458,15.758906,15.817777
20090430,BMO,20090430,8.735869,9.147072,10.624031,10.942916
20090129,BMO,20090129,9.062762,9.436317,8.543029,7.406124
20081030,BMO,20081030,13.575631,14.195596,13.567685,13.718705
20080731,BMO,20080731,18.975266,19.164392,21.843626,22.47403
20080430,BMO,20080430,21.280226,21.32708,20.436825,20.460256
20080207,BMO,20080207,24.251936,23.96516,24.585213,24.67822
20071102,BMO,20071102,28.439172,27.754357,27.277291,27.246512
20070802,BMO,20070802,28.312404,28.174924,27.182045,26.624504
20070503,BMO,20070503,28.722958,29.147922,28.996149,28.912674
20070201,BMO,20070201,25.077877,25.401996,25.778882,26.291442
20061102,BMO,20061102,24.948482,24.716585,24.312617,23.878731
20060801,BMO,20060801,25.161362,25.495562,24.723194,24.92371
20060504,BMO,20060504,27.248746,27.322472,27.256126,27.602632
20060202,BMO,20060202,23.877521,24.177548,24.08973,23.782389
20051025,BMO,20051025,20.329136,20.590417,20.32188,20.815409
20050726,BMO,20050726,22.74396,22.751158,22.556767,22.35517
20050422,BMO,20050422,24.290208,24.504535,24.183044,24.118745
20050203,BMO,20050203,28.184947,28.582312,27.879824,28.057216
20041026,BMO,20041026,27.221458,27.369553,27.390713,26.953478
20040726,BMO,20040726,29.624995,29.660048,29.898395,30.487248
20040423,BMO,20040423,28.696267,29.971197,30.096596,29.567115
20040202,BMO,20040202,28.856939,29.279475,29.44572,28.863865
20031027,BMO,20031027,26.838076,26.445927,26.143219,26.679837
20030724,BMO,20030724,26.408495,26.381148,25.895646,26.121299
20030424,BMO,20030424,23.896223,24.256132,24.038826,24.072779
20030130,BMO,20030130,23.906113,24.330968,23.872396,24.074706
20021023,BMO,20021023,25.980811,25.51208,25.271028,24.668376
20020718,BMO,20020718,26.308322,26.740699,26.381499,25.164193
20020419,BMO,20020419,27.652839,27.335372,27.89094,27.050977
20020122,BMO,20020122,25.302435,25.131473,25.585179,25.894225
20011017,BMO,20011017,24.636828,24.571479,23.735,23.695791
20010717,BMO,20010717,25.103786,24.83099,25.331117,25.980631
20010418,NaN,20010419,23.93724,25.040547,24.834082,24.311461
20010124,BMO,20010124,22.910185,23.430871,23.230612,24.111767
20001018,NaN,20001019,17.053205,19.080509,19.517771,19.239514
20000711,BMO,20000711,19.849889,20.362906,21.783578,22.493914
20000411,NaN,20000412,26.741796,27.094691,27.369166,26.781008
20000111,NaN,20000112,36.490725,34.81433,34.229547,34.229547
19991012,NaN,19991013,30.115942,30.232373,30.659271,31.124985
19990713,NaN,19990714,33.067939,32.758892,33.415614,31.986276
19990413,AMC,19990414,28.527858,29.911962,32.141901,34.064262
