EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150427,AMC,20150428,104.775537,104.755598,107.865377,104.675858
20150126,AMC,20150127,113.835168,113.825243,97.846805,100.835936
20141106,AMC,20141107,101.938024,102.690263,102.155778,102.917917
20140728,AMC,20140729,89.534782,89.288157,91.813596,90.807369
20140428,AMC,20140429,96.591238,97.908611,94.566019,92.019743
20140127,AMC,20140128,83.714755,83.499196,90.730173,85.919322
20131107,AMC,20131108,82.891442,81.270902,80.568017,80.499681
20130729,AMC,20130730,80.489067,79.904537,79.397952,77.624894
20130429,AMC,20130430,71.211832,72.358999,72.932579,71.046564
20130128,AMC,20130129,64.075829,64.425017,66.287346,65.375585
20121108,AMC,20121109,55.177715,54.239223,56.358092,57.074059
20120724,BMO,20120724,52.12718,51.15221,51.538335,53.739259
20120723,AMC,20120724,52.12718,51.15221,51.538335,53.739259
20120423,AMC,20120424,48.597097,47.142845,53.624384,53.412505
20120123,AMC,20120124,50.586474,50.13498,48.088853,47.992788
20111103,AMC,20111104,47.961759,49.571665,48.249242,48.335487
20110725,AMC,20110726,48.885278,48.502916,50.758862,49.975016
20110425,AMC,20110426,46.083056,45.797,45.596765,46.807721
20110120,AMC,20110121,45.418308,44.8192,42.24207,41.738057
20101103,AMC,20101104,40.906376,40.830484,40.887402,41.257384
20100722,AMC,20100723,40.565525,40.679047,40.385779,40.546605
20100422,AMC,20100423,44.241722,44.515399,44.95895,44.666398
20100121,AMC,20100122,37.769619,38.880491,41.055164,40.81981
20091103,AMC,20091104,37.077488,37.068103,36.730181,37.509275
20090723,AMC,20090724,36.535477,36.872642,39.185964,40.431596
20090423,AMC,20090424,30.256633,32.825504,35.310303,35.954858
20090122,AMC,20090123,31.59497,30.76622,32.032626,32.67514
20081105,AMC,20081106,28.318048,26.916531,28.188106,28.336611
20080724,AMC,20080725,30.248316,30.127988,29.600401,28.637788
20080424,AMC,20080425,25.783665,26.171111,27.370351,26.549333
20080124,AMC,20080125,26.413011,25.025271,23.380203,23.426154
20071108,AMC,20071109,30.991284,31.724371,30.239869,30.478121
20070726,AMC,20070727,33.420702,32.625404,31.400466,31.610719
20070426,AMC,20070427,36.411176,36.739534,36.192273,35.54468
20070125,AMC,20070126,38.40497,38.16835,37.795221,37.895329
20061108,AMC,20061109,31.296619,32.041344,31.941441,32.568103
20060724,NaN,20060725,27.285069,27.720034,26.795731,26.895411
20060421,AMC,20060424,29.379192,29.840217,29.948697,29.352074
20060124,NaN,20060125,27.678479,27.732591,27.498104,27.083243
20051107,NaN,20051108,24.717324,25.064124,25.055116,25.176721
20050722,BMO,20050722,24.336694,24.493994,25.806332,25.995094
20050420,AMC,20050421,21.554583,21.384226,22.177729,21.451471
20050121,BMO,20050121,19.619411,19.319843,21.077005,21.215612
20041103,AMC,20041104,19.758867,20.285057,21.123392,20.878134
20040721,AMC,20040722,17.814641,17.743293,17.725456,17.5783
20040420,AMC,20040421,18.015307,17.520331,19.353077,18.059898
20040121,AMC,20040122,16.467952,17.011979,17.395472,17.863693
20031105,BMO,20031105,16.075539,16.022029,15.946221,15.874873
20030722,AMC,20030723,13.556072,13.997536,15.08113,14.818035
20030423,BMO,20030423,13.823626,13.756738,14.804658,14.331978
20030122,BMO,20030122,15.852577,15.634076,13.399998,12.717736
20021106,BMO,20021106,16.414442,16.655239,16.004191,16.008651
20020724,BMO,20020724,16.36539,15.977437,16.36539,16.463492
20020424,BMO,20020424,17.783426,17.787885,18.782294,18.840264
20020123,BMO,20020123,11.371047,11.495906,12.249516,11.750082
20011107,BMO,20011107,9.752346,9.177104,9.609649,9.288585
20010726,BMO,20010726,10.443526,10.693243,10.702162,10.394475
20010425,NaN,20010426,8.09351,8.249583,8.584026,9.029949
20010125,NaN,20010126,6.995424,6.688851,6.800332,6.772462
20001108,BMO,20001108,6.103577,6.242928,6.535561,6.5495
20000719,BMO,20000719,6.995424,6.800332,6.800332,6.772462
20000420,NaN,20000424,7.134775,7.079034,7.106904,6.911813
20000119,BMO,20000119,8.528285,8.528285,8.667636,8.695507
