EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,AMC,20150506,3.37,3.3,3.67,3.77
20141104,AMC,20141105,3.75,3.62,3.69,3.6
20140806,AMC,20140807,3.39,3.46,3.73,3.79
20140506,AMC,20140507,3.19,3.15,3.13,3.05
20140311,AMC,20140312,4.06,3.95,4.0,3.88
20131031,BMO,20131031,4.2,4.07,3.67,3.57
20130806,BMO,20130806,3.63,3.67,3.56,3.51
20130508,BMO,20130508,3.32,3.42,3.38,3.19
20130313,BMO,20130313,3.37,3.35,3.42,3.44
20121106,BMO,20121106,3.59,3.66,3.57,3.26
20120807,BMO,20120807,3.68,3.72,3.52,3.45
20120510,BMO,20120510,3.46,3.58,3.68,3.56
20120307,BMO,20120307,3.34,3.3,3.38,3.3
20111027,BMO,20111027,3.75,3.96,4.0,4.11
20110728,AMC,20110729,4.44,4.49,4.3,4.25
20110428,BMO,20110428,4.8,4.83,4.88,4.81
20110303,BMO,20110303,4.29,4.35,4.24,4.28
20101102,BMO,20101102,3.81,3.73,3.58,3.59
20100803,BMO,20100803,3.77,3.85,3.36,3.43
20100504,BMO,20100504,4.21,4.45,4.28,4.45
20100225,AMC,20100226,4.05,4.03,3.8,3.7
20091102,BMO,20091102,4.51,4.44,4.37,4.36
20090804,AMC,20090805,3.92,3.85,3.64,3.33
20090427,NaN,20090428,2.7,2.54,2.58,2.8
20090305,NaN,20090306,1.55,1.48,1.57,1.54
20081030,NaN,20081031,1.82,2.0,2.32,2.38
20080731,NaN,20080801,3.22,3.23,3.03,3.04
20080506,NaN,20080507,3.24,3.09,3.22,3.09
20080327,AMC,20080328,2.24,2.2,2.73,2.66
20071127,BMO,20071127,3.58,3.47,3.39,3.35
20070807,AMC,20070808,3.45,3.64,3.82,3.86
20070517,AMC,20070518,3.26,3.26,3.23,3.16
20070306,NaN,20070307,3.46,3.26,3.37,3.34
20061107,NaN,20061108,3.37,3.57,3.63,3.53
20060808,NaN,20060809,3.16,3.21,3.1,3.13
20060509,NaN,20060510,5.51,5.54,4.78,4.52
20060302,NaN,20060303,4.75,4.58,4.24,4.24
20051101,NaN,20051102,5.65,5.46,6.4,6.46
20050803,AMC,20050804,5.48,5.48,6.12,6.22
20050428,AMC,20050429,3.1,3.0,3.07,3.05
20050224,AMC,20050225,3.99,4.18,3.87,3.63
20041028,BMO,20041028,3.45,3.63,3.53,3.66
20040722,AMC,20040723,4.3,4.44,3.95,3.73
20040415,AMC,20040416,6.54,6.36,5.28,5.16
20040217,AMC,20040218,6.15,6.6,6.32,6.37
20031023,AMC,20031024,7.65,7.54,6.79,6.87
20030724,AMC,20030725,6.81,6.47,7.1,7.25
20030423,AMC,20030424,5.76,5.77,5.28,4.61
20030213,AMC,20030214,4.43,4.38,4.5,4.62
20021024,AMC,20021025,4.54,4.41,3.13,3.15
20020725,AMC,20020726,6.15,5.4,5.68,5.7
20020423,AMC,20020424,8.84,8.58,8.9,8.86
20020214,AMC,20020215,9.7,9.35,9.6,8.96
20011022,NaN,20011023,11.9,13.11,12.58,13.26
20010726,BMO,20010726,12.6,11.78,12.78,15.01
20010419,AMC,20010420,7.42,8.47,7.46,6.9
20010215,AMC,20010216,13.5625,14.0625,10.375,9.59375
20001026,AMC,20001027,14.5,14.625,12.5,12.0625
20000727,AMC,20000728,23.8125,23.0,24.6875,24.9375
20000426,AMC,20000427,29.375,31.15625,36.28125,38.71875
20000217,AMC,20000218,44.0625,45.125,46.0625,44.875
