EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150521,BMO,20150521,63.649377,62.582071,58.881407,59.639496
20150127,BMO,20150127,59.329555,59.419147,58.204685,57.109674
20141023,BMO,20141023,50.851899,49.789174,47.812702,48.001413
20140724,BMO,20140724,50.703246,50.950917,50.752779,51.020265
20140522,BMO,20140522,50.541647,49.998083,53.279238,53.308886
20140128,BMO,20140128,53.506677,54.54248,54.23667,54.72991
20131024,BMO,20131024,46.746453,46.047567,46.037725,45.584928
20130725,BMO,20130725,47.56358,47.327924,44.038533,43.694867
20130521,BMO,20130521,43.447154,43.212042,46.317508,47.571453
20130129,BMO,20130129,35.443475,35.874516,35.296527,34.209123
20121025,NaN,20121026,32.098458,33.023343,32.546298,33.023343
20120726,BMO,20120726,33.938523,34.122973,32.938619,32.560015
20120524,BMO,20120524,36.684789,35.813644,32.784003,32.629133
20120124,BMO,20120124,37.664877,38.128563,39.017294,40.591897
20111020,BMO,20111020,33.192161,32.78738,34.049917,34.772743
20110721,BMO,20110721,36.01093,35.626299,34.453182,34.53972
20110517,BMO,20110517,28.697096,28.083255,30.548213,31.104507
20110125,BMO,20110125,30.609675,30.667085,31.068965,31.61437
20101021,BMO,20101021,30.296748,30.163114,30.163114,30.163114
20100722,BMO,20100722,24.68361,24.010485,24.131134,24.505807
20100527,BMO,20100527,23.758781,23.473676,24.5254,24.956224
20100128,BMO,20100128,19.773671,20.500871,21.879405,21.639105
20091026,BMO,20091026,20.245263,20.384064,19.973988,20.112777
20090723,BMO,20090723,17.545942,17.338261,17.401188,17.652927
20090528,BMO,20090528,17.255908,16.90438,16.276672,16.77256
