EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,16.780001,16.66,16.52,16.450001
20150129,BMO,20150129,16.379999,16.08,15.38,15.75
20141104,BMO,20141104,16.98,16.440001,16.120001,16.09
20140826,BMO,20140826,14.65,14.75,14.09,14.5
20140430,BMO,20140430,13.1,13.17,13.14,12.92
20140127,BMO,20140127,13.95,13.42,12.09,12.04
20131105,BMO,20131105,14.35,14.2,14.75,15.26
20130827,BMO,20130827,16.857301,17.025973,16.648942,16.142925
20130507,BMO,20130507,18.752383,18.742461,18.782149,18.742461
20130131,BMO,20130131,16.944443,16.530443,17.496443,17.821729
20121025,AMC,20121026,19.083674,18.769378,15.714811,16.363047
20120823,BMO,20120823,17.532195,17.434304,17.365781,17.287469
20120426,BMO,20120426,17.600557,17.863979,17.707876,18.098132
20120126,BMO,20120126,15.839066,15.926573,17.278096,17.083632
20111027,BMO,20111027,15.638153,15.812556,16.190429,16.267943
20110825,BMO,20110825,13.969939,13.786633,13.555087,13.699803
20110427,BMO,20110427,16.379212,16.763701,15.831315,15.956275
20110126,BMO,20110126,16.84835,16.84835,16.407744,16.331117
20101028,BMO,20101028,19.369003,19.493285,19.369003,19.550647
20100826,BMO,20100826,15.996559,16.339955,16.168258,16.187334
20100428,BMO,20100428,19.341013,18.817512,18.332082,17.989426
20100127,BMO,20100127,14.601212,14.23096,15.45564,15.047413
20091029,BMO,20091029,15.464781,15.057564,15.881469,15.379549
20090820,BMO,20090820,13.27377,13.443825,15.739574,15.900182
20090429,BMO,20090429,16.439724,16.486856,17.731147,18.042219
20090127,AMC,20090128,10.076826,9.982825,11.75003,10.866428
20081023,BMO,20081023,14.372359,13.201209,12.807702,12.039428
20080820,BMO,20080820,28.965243,27.833204,26.776011,25.073272
20080423,NaN,20080424,25.375007,25.95426,26.69234,26.869853
20080122,BMO,20080122,21.547755,21.146649,21.323882,22.256685
20071022,NaN,20071023,31.405452,30.166378,29.150894,29.812355
20070822,NaN,20070823,31.414702,31.144851,30.968048,31.349565
20070425,NaN,20070426,38.113475,36.663303,36.291466,36.031177
20070124,NaN,20070125,37.725036,38.105816,37.938644,38.198691
20061025,NaN,20061026,35.504128,34.576401,34.854718,34.43724
20060823,NaN,20060824,33.547119,32.018036,32.092175,32.379455
20060426,NaN,20060427,32.361588,32.954019,32.70409,32.463413
20060125,BMO,20060125,37.459693,37.903553,36.433276,36.377793
20051026,NaN,20051027,33.643659,34.410388,33.615947,34.502764
20050824,BMO,20050824,35.613357,36.462391,36.637738,36.803854
20050427,BMO,20050427,32.439889,32.255521,33.297209,32.320051
20050126,BMO,20050126,36.625843,36.690308,36.81924,36.828451
20041027,BMO,20041027,39.104469,39.334496,39.288491,39.546119
20040824,BMO,20040824,37.237032,37.246226,36.01449,37.411683
20040420,BMO,20040420,40.91106,41.416134,40.91106,41.113091
20040121,BMO,20040121,36.89956,38.220677,39.119771,39.55097
20031028,BMO,20031028,31.425202,31.645217,32.589439,33.64367
20030826,BMO,20030826,31.003958,30.793296,30.710863,31.315371
20030422,BMO,20030422,24.283072,24.475213,24.612456,24.658206
20030121,BMO,20030121,24.864108,24.708766,24.672214,24.882384
20021029,BMO,20021029,26.801785,27.020873,26.363607,26.546181
20020827,BMO,20020827,22.684306,23.030771,22.319606,22.273962
20020423,BMO,20020423,26.212592,26.112405,26.595125,25.748088
20020123,NaN,20020124,23.061455,24.016663,24.016663,23.934788
20011022,BMO,20011022,18.968129,19.167986,19.122563,18.632009
20010828,BMO,20010828,18.187447,18.142092,18.640999,18.577502
20010424,BMO,20010424,14.600583,14.673042,15.895794,16.430183
20010124,BMO,20010124,12.879905,13.162359,11.976052,12.089034
20001024,NaN,20001025,14.038197,14.038197,13.587171,13.587171
20000425,BMO,20000425,14.426224,14.145558,9.711038,9.991704
20000125,BMO,20000125,16.076078,16.132092,16.132092,16.132092
19991026,BMO,19991026,15.409193,15.772749,16.276135,16.667657
19990824,BMO,19990824,17.312248,17.42394,18.317475,17.870708
