EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150508,BMO,20150508,25.898959,25.829642,25.666259,25.804888
20150227,BMO,20150227,27.697012,27.593995,27.804936,27.417393
20141107,BMO,20141107,28.999732,28.683619,28.430728,28.197291
20140806,BMO,20140806,25.66563,25.733158,25.959861,26.147976
20140509,NaN,20140512,26.893972,27.08057,26.994447,26.664314
20140228,BMO,20140228,26.422386,26.583672,27.124453,27.119708
20131112,BMO,20131112,27.795879,27.683003,26.958711,26.812911
20130808,BMO,20130808,28.483207,28.464542,28.399213,28.170563
20130503,AMC,20130506,27.806475,27.686081,27.51012,27.815736
20130228,NaN,20130301,25.035226,25.329217,25.517555,25.52215
20121108,NaN,20121109,21.925092,22.134553,21.997948,21.8067
20120807,BMO,20120807,23.785426,23.79446,23.79446,23.925472
20120508,BMO,20120508,21.492987,21.255471,21.403358,21.416803
20120504,AMC,20120507,21.708096,21.492987,21.255471,21.403358
20120228,NaN,20120229,23.988617,23.428363,23.121558,22.917021
20111108,BMO,20111108,25.093806,24.961385,24.572949,24.007953
20110808,BMO,20110808,21.237337,21.053311,19.03342,20.444277
20110509,BMO,20110509,24.06729,24.184776,24.463262,24.824423
20110228,BMO,20110228,23.029152,23.526307,23.716524,23.686263
20101108,NaN,20101109,22.105177,22.130934,21.890522,21.980677
20100805,BMO,20100805,20.454315,20.518262,20.629102,20.172951
20100506,BMO,20100506,19.018525,18.608206,18.244418,17.660663
20100224,BMO,20100224,16.737317,16.607247,16.540111,16.514937
20091105,BMO,20091105,14.584022,14.496693,14.737888,14.712937
20090806,BMO,20090806,15.254885,14.978723,14.756144,14.772632
20090511,BMO,20090511,14.219594,14.325833,14.460673,14.685408
20090226,BMO,20090226,14.342631,14.233301,14.322385,14.601788
20081106,BMO,20081106,13.663902,13.145782,13.161848,13.736198
20080807,BMO,20080807,14.489557,14.42181,13.828042,13.796161
20080509,BMO,20080509,14.639032,14.702353,14.773589,15.129769
20080228,BMO,20080228,14.275232,14.420497,14.110336,13.415419
20071108,NaN,20071109,13.933151,14.39694,14.272223,14.330685
20070808,BMO,20070808,12.929345,12.851971,13.161471,13.656669
20070508,BMO,20070508,15.393283,15.351004,15.431719,15.454779
20070228,BMO,20070228,13.255419,13.011219,13.201999,13.144766
20061108,BMO,20061108,11.810545,11.753727,12.030241,12.007514
20060808,NaN,20060809,11.011721,10.729851,10.639652,10.673477
20060508,NaN,20060509,10.311588,10.251962,10.151343,10.114077
20060227,AMC,20060228,10.845283,10.915515,10.571748,10.645676
20051108,BMO,20051108,10.128642,10.117636,10.069947,10.18
20050804,BMO,20050804,10.708465,10.664758,10.799524,10.610122
20050420,BMO,20050420,9.870926,10.015555,9.943241,10.010131
20050201,BMO,20050201,9.358773,9.56515,9.714101,9.723074
20041102,NaN,20041103,8.484577,8.504147,8.55752,8.696291
20040729,NaN,20040730,7.64858,7.85668,8.008347,8.147669
20040427,NaN,20040428,7.247254,7.257734,7.240267,7.224546
20040129,BMO,20040129,7.136033,7.110084,7.092785,7.120464
20031028,BMO,20031028,6.504361,6.548876,6.509497,6.536891
20030729,BMO,20030729,6.526356,6.494148,6.589076,6.475501
20030416,NaN,20030417,5.496339,5.630601,5.689341,5.793394
20030128,BMO,20030128,5.352098,5.272513,5.297383,5.289093
20021025,BMO,20021025,5.340013,5.259724,5.243339,5.235146
20020730,BMO,20020730,4.874578,5.004135,4.947453,5.133692
20020416,BMO,20020416,5.404589,5.380569,5.396583,5.380569
20020130,BMO,20020130,5.134727,5.079344,5.118903,5.012886
20011024,BMO,20011024,5.094335,5.149113,5.235192,5.244582
20010725,NaN,20010726,4.812324,4.812324,4.835534,4.838629
20010417,BMO,20010417,4.510385,4.510385,4.548608,4.609766
20010130,NaN,20010131,4.480371,4.561942,4.456201,4.448649
20001019,BMO,20001019,4.345004,4.326356,4.354331,4.41027
20000718,BMO,20000718,3.938082,3.91968,3.910476,3.910476
20000417,NaN,20000418,4.091455,4.08238,4.064236,4.027949
20000124,NaN,20000125,4.156293,4.156293,4.192123,4.174208
