EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,128.119995,128.509995,127.349998,128.820007
20150128,AMC,20150129,129.700499,129.411862,129.003776,125.410661
20141022,AMC,20141023,109.816701,109.539387,111.648966,111.094331
20140723,AMC,20140724,110.102722,110.014021,110.240695,108.161239
20140423,AMC,20140424,100.351259,100.027512,101.420597,100.272774
20140129,AMC,20140130,90.693752,89.815313,91.494105,91.523385
20131023,AMC,20131024,92.241577,92.542517,93.775379,95.221809
20130724,AMC,20130725,92.468987,90.534692,89.828671,89.848018
20130423,AMC,20130424,83.667202,84.881168,85.478519,85.411076
20130130,AMC,20130131,78.529144,77.089475,77.147059,77.49258
20121024,AMC,20121025,74.338913,74.061778,72.637883,72.054944
20120725,AMC,20120726,72.754808,72.831015,73.898,74.193323
20120425,AMC,20120426,73.227628,74.642423,77.58596,78.022742
20120130,AMC,20120131,70.00863,68.853964,69.592191,70.567029
20111026,AMC,20111027,61.976887,63.683535,67.257131,67.068547
20110726,AMC,20110727,81.940411,81.21552,77.995896,77.807617
20110427,AMC,20110428,75.465647,76.133234,77.609449,77.600045
20110124,AMC,20110125,66.450847,67.136297,66.422679,66.46963
20101025,AMC,20101026,65.386984,65.668262,63.830602,62.358598
20100726,AMC,20100727,53.311249,54.82774,55.36132,55.295793
20100426,AMC,20100427,60.296435,60.118878,57.399367,58.268488
20100125,AMC,20100126,42.909976,42.835348,42.648786,42.844679
20091026,AMC,20091027,39.279859,38.926073,36.859201,35.341632
20090727,AMC,20090728,21.835429,22.104772,22.801351,22.262664
