EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,BMO,20150429,48.299999,49.119999,48.900002,45.880001
20150205,BMO,20150205,45.139999,47.07,43.82,43.849998
20141028,BMO,20141028,46.130001,46.59,51.950001,50.880001
20140729,BMO,20140729,34.630001,34.66,39.720001,40.68
20140430,BMO,20140430,29.0,28.84,30.440001,30.959999
20140205,AMC,20140206,26.120001,26.67,31.559999,32.209999
20131104,AMC,20131105,33.82,37.099998,34.959999,34.939999
20130730,AMC,20130731,30.09,30.219999,34.490002,34.779999
20130501,AMC,20130502,28.34,27.4,30.219999,30.450001
20130207,AMC,20130208,24.65,24.549999,29.360001,28.860001
20121105,AMC,20121106,20.51,20.6,19.27,19.24
20120801,AMC,20120802,19.120001,18.02,22.049999,21.77
20120507,AMC,20120508,29.440001,28.34,20.219999,20.200001
20120207,AMC,20120208,34.009998,34.18,35.650002,34.98
20111101,AMC,20111102,30.059999,28.35,30.85,32.669998
20110801,AMC,20110802,29.25,28.77,35.07,33.849998
20110503,AMC,20110504,31.41,30.65,32.509998,33.0
20110207,AMC,20110208,30.33,31.15,35.02,35.200001
20101102,AMC,20101103,21.59,22.389999,26.24,27.889999
20100802,AMC,20100803,19.49,19.59,19.32,19.549999
20100503,AMC,20100504,20.43,19.98,21.75,21.57
20100204,AMC,20100205,17.24,16.49,16.690001,16.57
20091102,AMC,20091103,11.41,11.6,13.02,12.7
20090730,AMC,20090731,13.3,13.27,11.88,11.6
20090506,AMC,20090507,13.44,13.31,12.27,12.28
20090205,AMC,20090206,8.23,8.41,9.8,10.13
20081105,AMC,20081106,8.26,7.61,7.59,8.34
20080805,AMC,20080806,12.17,12.35,11.37,11.01
20080506,AMC,20080507,22.950001,22.9,13.04,12.35
20080204,AMC,20080205,22.700001,23.450001,20.209999,19.59
20071025,AMC,20071026,44.34,35.869999,39.52,38.68
20070726,AMC,20070727,32.709999,34.32,37.509998,36.580002
20070426,AMC,20070427,18.059999,18.66,22.5,22.440001
20070206,AMC,20070207,16.190001,16.17,14.95,15.24
20061107,AMC,20061108,10.15,10.82,12.6,13.58
20060731,AMC,20060801,7.55,7.75,7.35,7.27
