EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150415,AMC,20150416,53.56485,54.289638,55.798787,53.852781
20150218,AMC,20150219,51.896844,52.790416,50.000479,52.522347
20141015,AMC,20141016,41.797204,43.589638,45.362379,46.002531
20140716,AMC,20140717,45.40177,45.254044,44.820706,44.988133
20140416,AMC,20140417,51.930781,53.15672,51.979818,51.979818
20140212,AMC,20140213,48.272579,48.861028,56.020512,55.706672
20131016,AMC,20131017,41.023946,41.522093,45.575651,46.39613
20130717,AMC,20130718,37.50761,37.419701,39.197405,39.763924
20130418,NaN,20130419,33.13252,35.960787,36.573093,36.524498
20130417,AMC,20130418,33.715666,33.13252,35.960787,36.573093
20130214,BMO,20130214,39.974789,40.412151,38.730738,39.129222
20130213,AMC,20130214,39.974789,40.412151,38.730738,39.129222
20121017,AMC,20121018,40.402258,40.846982,36.15804,35.258922
20120719,AMC,20120720,38.971406,39.097086,32.861277,31.875149
20120418,NaN,20120419,31.169992,31.093055,33.641663,33.660899
20120215,AMC,20120216,31.554689,31.256549,35.440116,34.257176
20111012,AMC,20111013,24.084821,24.752784,23.865348,24.018025
20110713,AMC,20110714,23.035165,22.968369,27.796784,27.520057
20110413,AMC,20110414,32.77049,31.851247,29.226196,30.069623
20110209,AMC,20110210,36.058908,36.750708,35.641934,34.381529
20101013,AMC,20101014,29.727637,29.727637,28.342986,28.220533
20100714,AMC,20100715,31.036936,30.726094,29.529831,28.813956
20100415,BMO,20100415,39.697612,41.121742,37.196018,37.308448
20100414,AMC,20100415,39.697612,41.121742,37.196018,37.308448
20100208,AMC,20100209,31.293376,30.937342,31.977332,32.567594
20091015,AMC,20091016,38.310378,38.310378,35.580577,36.3725
20090715,AMC,20090716,30.754512,32.291773,38.021561,38.906648
20090415,AMC,20090416,28.321723,28.823816,30.404477,30.999549
20090204,NaN,20090205,19.711772,19.135294,22.240828,23.886576
20081015,AMC,20081016,24.793909,22.263541,19.177047,19.760977
20080716,AMC,20080717,22.27281,23.894841,23.014309,22.967966
20080416,AMC,20080417,28.071707,27.58133,29.542835,30.84742
20080206,AMC,20080207,31.226767,29.848161,26.905907,25.795622
20071017,AMC,20071018,27.32082,26.776066,28.548826,28.853519
20070716,AMC,20070717,40.995081,40.616523,39.563944,39.554712
20070416,AMC,20070417,47.467759,48.528335,46.610075,45.023819
20070205,AMC,20070206,46.388735,45.309715,47.569206,48.325444
20061016,AMC,20061017,47.365383,47.439076,44.519041,43.118897
20060717,AMC,20060718,52.892265,52.588289,47.135096,48.866853
20060417,AMC,20060418,59.789998,58.860383,65.827902,67.282155
20060206,AMC,20060207,50.539852,52.923721,54.249114,53.779705
20051010,AMC,20051011,49.534754,49.663487,48.743963,48.265814
20050711,AMC,20050712,39.916535,41.70041,43.732561,43.658997
20050411,AMC,20050412,34.696038,34.898081,35.853187,35.173591
20050131,AMC,20050201,35.862369,35.93584,36.275637,36.964414
20041011,AMC,20041012,33.068105,32.838784,34.049599,35.187034
20040712,AMC,20040713,27.353423,27.335077,28.298227,28.435819
20040412,AMC,20040413,27.976148,27.042085,26.263697,25.81498
20040202,AMC,20040203,27.976148,26.529264,26.501792,25.778349
20031013,AMC,20031014,25.616877,26.329979,26.723101,26.768814
20030714,AMC,20030715,19.134947,19.637776,19.555495,20.113179
20030414,AMC,20030415,15.450157,15.249504,15.431915,14.583707
20030127,AMC,20030128,18.140708,17.666443,17.903575,17.219536
20021014,AMC,20021015,15.287907,15.024009,15.788405,15.524505
20020715,AMC,20020716,19.337383,19.319182,17.471895,17.581093
20020415,AMC,20020416,22.719572,22.983012,22.964845,22.21994
20020128,AMC,20020129,18.867873,18.640768,19.394756,19.848966
20011016,BMO,20011016,17.257097,18.127202,17.447432,16.767662
20010724,BMO,20010724,19.532059,19.477678,18.535065,19.078879
20010424,BMO,20010424,12.889001,12.255857,13.160349,13.485965
20010130,BMO,20010130,12.719409,12.662878,12.493286,12.77594
20001017,BMO,20001017,11.609494,11.045926,10.256931,10.707785
20000718,NaN,20000719,13.638337,13.469267,12.623915,12.623915
20000418,BMO,20000418,11.306213,11.292172,11.797791,12.022511
20000125,BMO,20000125,12.134871,12.191051,12.51409,12.977571
19991019,NaN,19991020,13.407829,13.407829,14.024925,13.688327
19990720,NaN,19990721,18.288503,19.073899,17.503107,17.839705
