EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150501,BMO,20150501,72.847975,72.101378,71.723105,70.936688
20150213,BMO,20150213,69.458665,70.380551,74.603386,74.742164
20141020,BMO,20141020,63.148316,62.931175,63.128576,65.803347
20140718,BMO,20140718,61.606445,60.554604,59.915637,59.709202
20140425,BMO,20140425,59.238587,58.846994,60.149047,59.542075
20140214,BMO,20140214,57.828191,58.374013,55.410964,55.030836
20131021,BMO,20131021,48.973203,49.557806,51.23884,51.289782
20130719,BMO,20130719,47.690268,48.182889,47.557452,47.055169
20130426,BMO,20130426,41.866299,42.962287,42.017719,42.015313
20130215,BMO,20130215,36.415975,36.533119,37.745234,39.060149
20121022,BMO,20121022,40.136321,39.646593,37.908771,37.007764
20120719,BMO,20120719,33.242419,33.552365,36.062701,35.596597
20120427,BMO,20120427,35.133133,36.246415,36.293487,35.787451
20120216,BMO,20120216,33.637629,33.548634,34.64233,34.438581
20111024,BMO,20111024,30.68414,30.914797,31.916633,30.963722
20110721,BMO,20110721,26.737955,26.513227,28.044618,27.917195
20110429,BMO,20110429,24.740551,25.005193,23.141194,23.016927
20110222,BMO,20110222,20.029735,20.530421,22.066772,21.748985
20101021,BMO,20101021,19.428505,19.848347,19.33319,19.517012
20100722,BMO,20100722,16.884175,16.650048,17.649591,17.960259
20100430,BMO,20100430,19.135851,19.462005,19.305629,19.229676
20100211,BMO,20100211,16.073582,16.058065,16.481461,16.390576
20091026,AMC,20091027,17.219607,17.256983,16.126892,15.550854
20090721,AMC,20090722,13.3357,13.207095,13.497001,14.109511
20090428,AMC,20090429,14.2656,14.520266,12.543369,12.791561
20090210,AMC,20090211,12.165587,11.562317,11.483444,11.523947
20081017,BMO,20081017,11.539613,12.332249,11.710367,11.529072
20080715,AMC,20080716,14.595029,14.712257,15.304683,15.455407
20080422,AMC,20080423,16.305848,16.212375,15.626611,15.489517
20080205,AMC,20080206,15.723596,15.204081,15.970985,16.480193
20071018,AMC,20071019,16.330972,16.570261,16.971122,17.277903
20070719,BMO,20070719,19.429911,19.234901,18.617369,18.393921
20070424,NaN,20070425,17.335557,17.91314,17.987863,17.87073
20070206,NaN,20070207,15.519473,15.611731,15.2788,15.334957
20061020,BMO,20061020,15.125083,15.083257,14.937861,14.94782
20060719,BMO,20060719,12.961554,12.633514,13.414092,13.352832
20060425,NaN,20060426,12.343506,12.161292,12.341547,12.206356
20060208,BMO,20060208,10.751462,10.737821,11.425743,11.168504
20051021,BMO,20051021,10.90525,10.713283,10.403035,10.044309
20050721,BMO,20050721,11.807307,11.874866,11.809238,11.815029
20050426,NaN,20050427,11.064172,11.312007,11.121808,11.137178
20050208,NaN,20050209,10.528179,11.30082,11.082798,11.392618
20041021,BMO,20041021,9.358484,9.478368,9.588736,9.518328
20040721,BMO,20040721,8.956135,9.094329,9.007248,8.946669
20040427,NaN,20040428,8.909816,8.953123,8.817555,8.71023
20040324,BMO,20040324,8.068166,8.062518,8.584077,8.520059
20040211,NaN,20040212,8.381638,8.334834,8.434058,8.361044
20031219,BMO,20031219,7.855562,7.791909,7.861179,7.926704
20031023,NaN,20031024,7.770389,7.967579,7.885726,8.090358
20030925,AMC,20030926,7.284856,7.195563,7.208585,7.230908
20030722,NaN,20030723,6.628487,6.874398,6.839268,6.944658
20030717,AMC,20030718,6.770857,6.776404,6.671014,6.628487
20030715,NaN,20030716,6.71169,6.728331,6.770857,6.776404
20030501,BMO,20030501,7.379599,7.227121,7.06362,7.09485
20030422,NaN,20030423,7.08199,7.344694,7.313464,7.23998
20030320,AMC,20030321,6.745803,6.800915,7.227121,6.841332
20030211,BMO,20030211,6.221506,6.144923,6.469491,6.420259
20030110,BMO,20030110,6.755768,6.828705,6.846939,6.892524
20021219,NaN,20021220,6.646363,6.569779,6.702889,6.498666
20021017,BMO,20021017,6.659288,6.463693,7.048667,6.882049
20021009,BMO,20021009,5.811709,6.01636,5.837064,6.193844
20020925,NaN,20020926,6.699132,6.974413,6.972602,6.773385
20020718,AMC,20020719,6.40551,6.598144,6.391107,6.211076
20020717,BMO,20020717,6.364102,6.382106,6.40551,6.598144
20020709,BMO,20020709,6.862789,6.851988,6.711563,6.702561
20020426,BMO,20020426,7.783322,7.894308,7.860297,7.803014
20020423,NaN,20020424,7.779742,7.847766,7.783322,7.894308
20020320,AMC,20020321,8.003504,8.012454,7.767212,7.672337
20020212,AMC,20020213,7.306008,7.200975,7.279304,7.295326
20020109,BMO,20020109,7.24726,7.273964,7.110183,7.140447
20011219,AMC,20011220,7.07636,7.063898,6.976667,7.040755
20011017,AMC,20011018,5.891498,5.863191,5.79596,5.787114
20011004,BMO,20011004,5.222734,5.611962,5.619039,5.542962
20010925,AMC,20010926,5.610192,5.396117,5.144888,5.086504
20010724,AMC,20010725,6.870767,6.733703,6.770605,6.62827
20010717,AMC,20010718,6.570281,6.492963,6.886582,6.898882
20010713,NaN,20010716,6.378743,6.419159,6.570281,6.492963
20010424,BMO,20010424,6.718755,6.846315,6.79564,6.917958
20010321,AMC,20010322,6.23822,6.175313,5.923688,6.046005
20010206,AMC,20010207,6.057247,6.210024,6.199607,6.107594
20010110,BMO,20010110,6.380162,6.293357,6.133636,5.921832
20001218,AMC,20001219,5.711764,5.841971,6.036414,6.102386
20001018,AMC,20001019,3.973106,3.919273,4.4361,4.220755
20001004,AMC,20001005,4.263824,4.24229,4.479169,4.339198
20000921,AMC,20000922,4.134617,4.263824,4.339198,4.134617
20000725,AMC,20000726,4.075182,3.936495,3.765806,3.81915
20000719,BMO,20000719,4.363215,4.469902,4.363215,4.363215
20000627,BMO,20000627,4.011174,4.107183,4.107183,4.024508
20000427,BMO,20000427,5.01682,4.794553,4.773391,4.783972
20000425,NaN,20000426,4.646383,5.01682,4.794553,4.773391
20000322,AMC,20000323,4.233604,4.223023,4.254772,4.233604
20000208,NaN,20000209,4.38,4.359043,4.359043,4.327604
20000105,BMO,20000105,4.966794,4.914399,4.862009,4.788657
19991216,AMC,19991217,5.04014,5.008708,4.872485,4.725793
19991020,NaN,19991021,4.753467,4.992704,4.961496,4.940699
19990928,BMO,19990928,5.169525,5.242339,5.367156,5.346353
19990922,NaN,19990923,5.159127,5.169525,5.159127,5.169525
19990730,NaN,19990802,6.513606,6.534284,6.430893,6.503264
19990720,BMO,19990720,6.523948,6.327503,6.172414,6.120722
19990719,AMC,19990720,6.523948,6.327503,6.172414,6.120722
19990630,BMO,19990630,6.616997,6.699709,7.071915,7.082251
19990420,BMO,19990420,8.222887,8.686,8.408127,8.233175
